uniprotid_A,uniprotid_B
A1Z2S2,P76136
G8GYE4,G8GYE4
O32591,P0A6A8
O32591,P0A8Z3
O50329,O50330
O50329,O50334
O50329,O50331
O50329,O50333
O50329,O50335
O50329,O50336
O50334,O50336
O50337,Q04230
O50337,O50334
O50337,O50329
O50337,O50331
O50337,O50333
O50337,O50335
O50337,O50336
O50337,O50330
O52120,B7UM96
O52132,O52132
O52132,O52133
O52134,P71215
O52302,P08195
O52302,P08962
O52302,P40967
O52302,Q96DB9
O52302,P58340
O52302,Q01151
O52302,P14209
O52302,Q15365
O52302,Q7Z692
O52302,P07900
O52302,P08238
O52302,P62979
P00646,P06129
P00646,P02984
P03051,P03051
P03052,P07674
P04127,Q4FBG4
P04127,P04127
P04127,P15319
P04127,P62532
P04127,P07111
P05845,P0A988
P05846,P13988
P06716,P17315
P06717,P32890
P06717,P06717
P07111,P15319
P07620,P00760
P07674,P07673
P08083,P02931
P08407,P08408
P08407,P08407
P08408,P13720
P08408,P15319
P08504,P0A8T7
P08691,P08690
P08716,P02930
P08716,P06739
P09883,P0A855
P09883,P19934
P09883,P02931
P09883,P13479
P09883,P04482
P09883,Q03708
P09983,P10089
P09986,P09983
P0ABE7,P75864
P0ABE7,P0A6M8
P0ABE7,P31680
P0ABE7,P09030
P0ABE7,P75977
P0ABE7,P24211
P0C5W5,P37651
P10089,P09986
P10484,P10485
P10484,P10486
P10486,P10485
P13479,Q47112
P13657,P13658
P13720,P15319
P15319,P08407
P15319,Q47450
P17998,P11899
P19705,P08957
P19705,P06959
P19705,P02359
P19705,P0AG48
P19705,P60723
P19705,P00490
P19705,P0A9P0
P19705,P0ACF4
P19705,P0ACF0
P19705,P08956
P22995,P20083
P28043,P0A6A0
P28043,P0AGJ5
P28043,P77398
P28043,P0CE47
P28043,P14294
P28043,P25522
P28043,P10408
P28043,P04995
P28043,P0A7V8
P28043,P0A8T7
P28043,P0A8V2
P28043,P60438
P28043,P60422
P28043,P24230
P28043,P17888
P28043,P0AFI2
P28043,P31061
P28043,P46022
P28043,P00490
P28043,P0AES4
P28043,P0A6Y8
P28043,P75697
P28043,P0A9K9
P28043,P68679
P28043,P0A7R5
P28043,P0A7Z4
P28043,P0A7N9
P28043,P0A7M2
P28043,P60624
P28043,P61175
P28043,P0A7K6
P28043,P0A7K2
P28043,P60723
P28043,P0ACF0
P32890,A7ZRJ5
P42184,P0ADK6
P42184,P37765
P42184,P0CE47
P42184,P02359
P42184,P0A7V8
P42184,P0A7V3
P42184,P0A7V0
P42184,P0ADY7
P42184,P0A7J3
P42184,P62399
P42184,P60422
P42184,P0A9X4
P42184,P0A6F5
P42184,P0A6Y8
P42184,P08622
P42184,P75960
P42184,P77376
P42184,P45753
P42184,P0AGJ5
P42184,P0A7U7
P42184,P0A7T3
P42184,P0A7R5
P42184,P0A7W7
P42184,P0A7W1
P42184,P0A7M2
P42184,P60624
P42184,P0ADZ0
P42184,P61175
P42184,P0AG48
P42184,P0A7K6
P42184,P02413
P42184,P0ADY3
P42184,P0AA10
P42184,P0A7K2
P42184,P0A7J7
P42184,P0A7R1
P42184,P60723
P42184,P60438
P42184,P0AG30
P42184,P0AFG0
P42217,P42217
P42217,P42501
P43529,P43528
P52605,P03052
P62532,P15319
P62532,P08407
P62577,P29477
P71213,P01009
P77071,P00579
Q03708,P77754
Q04230,Q7X251
Q04230,Q04230
Q3ZTX7,Q3ZTX8
Q46702,Q46704
Q46705,Q46702
Q46705,Q46704
Q47015,Q9AJ15
Q47112,Q03708
Q47184,O52124
Q47404,P42217
Q47445,Q1R2W9
Q47506,Q47505
Q4FBG4,P07111
Q4FBG4,Q47449
Q4FBG4,P62533
Q5WMC9,P16333
Q6EZC2,Q0VCX2
Q7AJI3,P52143
Q7AJI3,P46474
Q7AJI3,P0A7K2
Q7AJI3,P0A9P0
Q7AJI3,P0AE34
Q7AJI3,P06959
Q83UM2,P31697
Q8GAV3,Q8GAV4
Q8KS88,P08192
Q8VPC3,Q8VLK7
Q8VRM4,Q8VPC3
Q9AJ18,O52142
Q9F505,P0A8J2
Q9F557,P0A6Y8
Q9F557,P76558
Q9F557,P39277
Q9F557,P16700
Q9F557,P76072
Q9F560,P0ACH8
Q9F560,P0AEZ7
Q9F577,P75885
Q9F577,P75691
Q9F577,P0A754
Q9F577,P0CE47
Q9F577,P77808
Q9F577,P0AAF3
Q9R8E4,P60953
Q9ZBB9,P28905
P03734,J7QZ11
C6ZCV8,J7QZ11
C6ZCZ0,J7QZ11
P0A7A7,O32591
B7UM94,O52124
B7UMB0,O52131
P21244,O52142
B7UM90,O52142
B7UMB8,O52142
P0A700,P00551
P25714,P00551
P0A855,P00646
P06971,P05820
P0ABH9,P05833
P03004,P05833
P02930,P06739
P61175,P07112
P0A275,P07375
P0AGE0,P07375
P06612,P08504
P0A7Z4,P08504
P00579,P08504
P02930,P09986
P12282,P0ABE7
P0AEI4,P0ABE7
P0AB06,P0ABE7
P37903,P0ABE7
P76148,P0ABE7
P0AFI7,P0ABE7
P0A8A0,P0ABE7
P77775,P0ABE7
P0A7B1,P0ABE7
P27434,P0ABE7
P0A6Z1,P0ABE7
P0AD49,P0ABE7
P63417,P0ABE7
P0AFF6,P0ABE7
P0A7V8,P0ABE7
P24230,P0ABE7
P0A7Y8,P0ABE7
P37387,P0C5W5
Q8PW07,P0C8J7
P0A6Y8,P14509
P62533,P15319
P00582,P19705
P63284,P20356
P18033,P27187
P0ABS8,P28043
P28632,P28043
P28905,P28043
P0A7Y4,P28043
P21893,P28043
P15043,P28043
P03007,P28043
P20083,P28043
P10443,P28043
P06612,P28043
P0ACF8,P28043
P69908,P28043
P0A9M0,P28043
P75869,P42184
P0AES6,P42184
P36659,P42184
P0AFF6,P42184
P0A749,P42184
P77704,P42184
P0A9R7,P52146
P21513,P52603
P35804,P62593
P0A7Z4,P77071
P0A8V2,P77071
P00581,Q14F07
P04949,Q29XT7
P0AFP2,Q3ZU56
B7UM99,Q47015
P0AAH0,Q47500
P0ACD4,Q47500
P03004,Q47523
B7UM95,Q47630
P06731,Q57254
B7UMC1,Q5K5N9
B7UM96,Q5K5N9
P24192,Q6Q099
P37009,Q79BD2
P77555,Q79BD2
P0AG18,Q79BD2
P35340,Q79BD2
P0AAZ7,Q79BD2
P0AB18,Q79BD2
P0AD21,Q79BD2
P77544,Q79BD2
P63746,Q79BD2
P06731,Q7BG35
B7UM99,Q9AJ15
P52005,Q9F541
P0AES4,Q9F557
P0A9K3,Q9F560
P10408,Q9F560
P19809,Q9KWH9
P06971,Q9X2V7
TEST2E,TEST1E
