uniprotid_A,uniprotid_B
P02299,P26017
P02299,P26017
P02299,P26017
P02299,P26017
P05205,P02299
P02299,P05205
P05205,P02299
P05205,P02299
P26017,P02299
P42124,P02299
P02299,P20659
P02299,P42124
P02299,P42124
P42124,P02299
P02299,P42124
P20659,P02299
P20659,P02299
P02299,P20659
P02299,P20659
P52034,P62152
Q9VZZ9,Q08012
Q9VZZ9,Q08012
Q9VZZ9,Q08012
Q9VZZ9,Q08012
Q08012,Q9VZZ9
P10040,Q9NB04
P22812,Q05652
P22812,Q05652
Q24218,Q9VI13
Q9VI13,Q24218
Q8WRS2,P10040
Q8T626,Q6NR03
Q6NR03,P10040
Q4AB30,P31007
Q4AB30,P31007
Q7KRY7,Q4AB30
Q7KRY7,P31007
Q7KRY7,P31007
Q4AB30,P31007
Q4AB30,P31007
Q4AB30,Q7KRY7
P08510,P31007
O97102,Q86B87
Q24478,O97102
Q86B87,Q7KNM2
Q9VX41,Q08180
Q9N9Y9,Q9VX41
Q9W2S5,Q08180
Q9W2S5,Q08180
Q9W2S5,Q08180
Q9W2S5,Q08180
P45975,Q94517
Q94517,P45975
Q9VF87,P08182
P16371,P14003
O46036,P14003
P13098,P08181
P08181,P13097
P13096,P08181
P13098,P08181
P13098,P08181
P28750,Q95RE4
P28750,Q95RE4
Q95RE4,P28750
P25028,P19889
Q24342,P07207
Q24342,P07207
P21520,P07207
Q24159,P23573
P23572,Q24158
Q24152,P23572
P23572,P54733
P23573,P91654
Q24158,P23573
P23573,Q24152
Q24159,Q24152
P13217,Q24008
Q24008,P13217
Q7K105,P08953
P08953,Q7K105
Q7K105,Q9V3B4
Q7K105,Q8IRY7
Q8WRS3,O97111
O97111,P40793
P83949,P40427
Q8SY33,P21187
P21187,Q8SY33
P21187,Q8SY33
Q8SY33,P21187
P21187,Q8SY33
P21187,Q8SY33
Q8SY33,P21187
Q8SY33,P21187
P21187,Q8SY33
Q8SY33,P21187
Q9VEX9,P02299
Q95SK9,Q8MQJ7
Q8MQJ7,Q95SK9
Q9V393,P40417
P40417,Q9V393
P40417,Q9V393
P40417,Q9V393
P40417,Q9V393
Q9V393,P40417
P40417,Q9V393
P40417,Q9V393
Q9V393,P40417
P40417,Q9V393
Q9V393,P40417
Q9V393,Q24324
Q9V393,Q03017
Q24324,P40417
P11346,Q9V393
Q9V393,Q03017
Q9V393,P40417
Q6J5K9,Q9W1H5
Q9VKM1,Q6J5K9
Q6J5K9,Q9VKM1
Q6J5K9,Q9W4W2
Q6J5K9,Q6J5K9
Q9W4W2,Q6J5K9
Q6J5K9,Q9VKM1
Q6J5K9,Q9W4W2
Q7KLI1,Q9XYF4
Q9XYF4,Q24306
Q9XYF4,Q00168
O01382,Q9XYF4
Q6J5K9,Q9VCU7
Q6J5K9,Q9VKM1
Q6J5K9,Q9W4W2
Q9VCU7,Q6J5K9
Q9VCU7,Q9W4W2
Q9VCU7,Q9VKM1
Q9VCU7,Q9VL52
Q9VCU7,Q9VCU7
Q9VCU7,P02518
Q9VCU7,Q9VNP5
Q9VCU7,Q9VXR5
Q9W0N9,P91943
P18824,Q9W0N9
P91943,Q9W0N9
Q9W0N9,P91943
P91943,Q9W0N9
Q9W0N9,P18824
Q9W0N9,P18824
P92177,A1YK11
P92177,A1YK56
P92177,A1Z6L9
P92177,A1Z9J3
P92177,A8DYF7
P92177,A8DZ29
P92177,A8JNJ6
P92177,A8WHJ2
P92177,P10987
P92177,P53501
P92177,Q26365
P92177,Q9VCA8
P92177,P18824
P92177,Q9VC45
P92177,Q9VEX6
P92177,P35381
P92177,Q05825
P92177,Q8SWR8
P92177,Q24009
P92177,P29844
P92177,P40794
P92177,Q8MQJ9
P92177,P25439
P92177,Q9I7D3
P92177,P23572
P92177,P07182
P92177,A1ZAB5
P92177,Q9VA73
P92177,P54623
P92177,Q94514
P92177,P17886
P92177,O46036
P92177,Q9VMA3
P92177,P23128
P92177,E1JGL8
P92177,Q9VVI2
P92177,Q9VKK1
P92177,P08736
P92177,Q9NJH0
P92177,P13060
P92177,Q9VN25
P92177,Q7JVI3
P92177,Q9VWE6
P92177,EBI-8283505
P92177,EBI-8283755
P92177,EBI-8283338
P92177,EBI-8283328
P92177,EBI-8283562
P92177,EBI-8283388
P92177,EBI-8283745
P92177,EBI-8283323
P92177,EBI-8283477
P92177,EBI-8283552
P92177,EBI-8283750
P92177,EBI-8283712
P92177,EBI-8283740
P92177,EBI-8283318
P92177,EBI-8283353
P92177,EBI-8283717
P92177,EBI-8283472
P92177,EBI-8283482
P92177,EBI-8283287
P92177,EBI-8283333
P92177,EBI-8283467
P92177,EBI-8283640
P92177,EBI-8283528
P92177,EBI-8283557
P92177,EBI-8283620
P92177,EBI-8283600
P92177,EBI-8283383
P92177,EBI-8283533
P92177,Q9W1V3
P92177,Q9NFU0
P92177,Q8SY33
P92177,Q9XYP7
P92177,Q9XYP8
P92177,Q9VKU7
P92177,Q7KQM6
P92177,P84051
P92177,P08985
P92177,P02283
P92177,P84040
P92177,P02517
P92177,P02518
P92177,P29843
P92177,P11147
P92177,P02828
P92177,Q02748
P92177,P52295
P92177,Q960Z0
P92177,P46863
P92177,Q9VFK6
P92177,O62619
P92177,P24156
P92177,P08928
P92177,Q9VAW5
P92177,Q8MLV1
P92177,Q86S05
P92177,Q8MSS1
P92177,P91928
P92177,P13469
P92177,P20480
P92177,Q94511
P92177,Q9VXE6
P92177,Q9V463
P92177,A0A0B4K859
P92177,Q8IQV9
P92177,Q9XZ06
P92177,Q9VWS2
P92177,Q7K0D8
P92177,Q9GYU8
P92177,Q9VCH5
P92177,O16810
P92177,Q24168
P92177,P20240
P92177,A1Z6H7
P92177,P52304
P92177,P48461
P92177,P23696
P92177,Q9V3P0
P92177,Q8T6B9
P92177,P25822
P92177,P05990
P92177,Q0E8K5
P92177,Q24150
P92177,Q27393
P92177,Q400N2
P92177,Q5BHX4
P92177,Q5BHZ4
P92177,Q6NQZ5
P92177,Q7JRH5
P92177,Q7JVY0
P92177,Q7K126
P92177,Q7YU43
P92177,Q86BR8
P92177,Q86M30
P92177,Q8IMX1
P92177,Q8MZI3
P92177,Q95R45
P92177,Q95TU9
P92177,Q95UI6
P92177,Q960Y8
P92177,Q9U5W6
P92177,Q9V397
P92177,Q9V3U6
P92177,Q9V9M7
P92177,Q9V9W3
P92177,Q9VAX7
P92177,Q9VBN5
P92177,Q9VBP5
P92177,Q9VE79
P92177,Q9VE85
P92177,Q9VEN9
P92177,Q9VFE7
P92177,Q9VFT4
P92177,Q9VFV9
P92177,Q9VG05
P92177,Q9VI72
P92177,Q9VIK6
P92177,Q9VIP1
P92177,Q9VIX7
P92177,Q9VJ35
P92177,Q9VJ57
P92177,Q9VKX1
P92177,Q9VRL0
P92177,Q9VTS3
P92177,Q9VTZ0
