uniprotid_A,uniprotid_B
Q9JLL3,Q9JLL3
Q8R4L0,Q8R4L0
P42567,P17427
P42567,P17427
P21836,P02469
P21836,P02469
P21836,P02469
Q99LI8,Q61187
Q9Z2V5,Q01853
P27612,Q9Z2V5
Q9QYR6,Q08460
Q91Y86,P16951
P16951,P63085
Q9WUI1,P16951
P47811,P16951
Q9R0U5,P16054
P20152,P16054
P16054,P07356
Q921I1,P16054
P16054,Q9WVM1
P16054,P60710
P20152,P16054
P16054,Q921I1
Q9R0U5,P16054
P60710,P16054
Q9WVM1,P16054
P07356,P16054
Q8VBY2,P29477
Q61548,P17427
P17427,P39053
Q7TQF7,P17427
P63166,Q61221
P63166,Q61221
Q61221,P63166
Q61221,P63166
P63166,Q61221
P63166,Q61221
P17156,P17156
P97814,P00520
P97814,P00520
P97814,P00520
P97814,P00520
P00520,Q8CBW3
P97814,P00520
P15208,Q60760
P15208,Q60760
P15208,Q60760
P15208,Q60760
Q60751,Q60760
P15208,Q60760
P15208,Q60760
O70263,P97792
O70263,P97792
O70263,P97792
O70263,P97792
Q9QUM4,Q9ES52
Q9QUM4,P39688
Q9QUM4,P39688
Q9QUM4,Q9ES52
Q9QUM4,Q9ES52
Q9QUM4,P39688
Q9QUM4,P39688
Q9QUM4,O88890
Q9QUM4,P39688
Q9QUM4,P39688
Q9QUM4,Q9ES52
P56371,Q9JLQ0
Q9JLQ0,P22682
Q9JLQ0,Q9JLQ0
P56371,Q9JLQ0
P56371,Q9JLQ0
Q9QZE2,O35601
Q9QZE2,P25911
Q9QZE2,Q3UND0
Q9QZE2,P39688
P06240,Q3UND0
O35601,P39688
O35601,P06240
Q3UND0,P25911
Q3UND0,P39688
O35601,P25911
O35601,Q9QZE2
P25911,P49710
Q60598,P25911
P81122,P25911
P25911,Q64355
P25911,Q61140
O70469,P25911
Q62418,P25911
Q91YX7,O70469
O55033,O70469
O70469,Q91YX7
O70469,Q91YX7
Q9QX29,P70441
Q9QUQ5,P70441
Q61085,Q9ESG2
Q9ESG2,Q9ESG2
Q61085,Q9ESG2
Q61085,Q9ESG2
Q62083,Q62083
Q925H0,Q62083
Q925H0,Q62083
P16056,Q9QYY0
Q60631,Q9QYY0
Q9QYY0,Q60631
Q80UI5,Q9QYY0
P98083,Q9QYY0
Q9QYY0,Q62077
Q8R5B8,Q9QYY0
Q80UI5,Q9QYY0
Q9QYY0,Q60631
Q80UI5,Q9QYY0
Q80UI5,Q9QYY0
Q80UI5,Q9QYY0
Q9D8B7,Q62083
O88792,Q62083
O88792,Q62083
Q9D8B7,Q62083
Q9QUM4,P39688
O88890,Q9QUM4
Q9QUM4,Q9ES52
O88890,P39688
Q9QUM4,P39688
O88890,P39688
Q9QUM4,P39688
Q9QUM4,P39688
Q9QUM4,O88890
Q9QUM4,P39688
O35601,Q62418
O35601,Q62418
O35601,Q62418
O35601,Q62418
Q9CSN1,O35613
O35613,Q9CSN1
Q9CSN1,O35613
O35613,Q9CSN1
O35613,Q9CSN1
Q9CSN1,O35613
O35613,Q9CSN1
O35613,Q9CSN1
P80206,Q91ZK4
Q91ZK4,Q91ZK4
P80206,P80206
Q91ZK4,P80206
Q91ZK4,P80206
P07356,P62991
P07356,P62991
Q5SV77,Q80WJ1
Q80WJ1,Q9R109
Q80WJ1,Q6K1E7
Q9R109,Q80WJ1
Q80WJ1,Q5SV77
Q6K1E7,Q80WJ1
Q80WJ1,Q5SV77
Q5SV77,Q80WJ1
Q9R109,Q80WJ1
Q6K1E7,Q80WJ1
Q80WJ1,Q9R109
Q5SV77,Q80WJ1
Q80WJ1,Q5SV77
Q9R109,Q80WJ1
Q9D1P4,P07901
P11499,Q9D1P4
Q9D1P4,P07901
P11499,Q9D1P4
Q9D1P4,P07901
P11499,Q9D1P4
P11499,Q9D1P4
P11499,Q9D1P4
Q9D1P4,P07901
P11499,Q9D1P4
Q8R5A3,Q03173
Q8R5A3,Q03173
Q8R5A3,P70460
Q8R5A3,P70460
Q8R5A3,Q03173
Q8R5A3,Q03173
Q8R5A3,Q03173
Q8R5A3,Q61411
Q8R5A3,Q03173
Q8R5A3,Q61411
Q8R5A3,P70460
Q8R5A3,P32883
Q8R5A3,Q03173
P52734,Q60598
Q62418-2,P52734
P52734,Q62418
P52734,Q60598
P52734,Q60598
P52734,Q60598
P52734,Q62418
P52734,Q60598
P52734,Q60598
P52734,Q62418
P52734,Q62418
Q9QVP9,Q9QWY8
Q9QWY8,Q9QVP9
Q9QWY8,Q9QVP9
Q9QWY8,Q9QVP9
Q9QVP9,Q9QWY8
Q9JKF6,Q99NH2
Q99NH2,Q9JLB9
Q9WVK0,P29754
P29754,Q9WVK0
P17427,P42567
Q7TQF1,P55821
Q7TQF1,P55821
Q7TQF1,P55821
Q7TQF1,P55821
Q99MR1,Q60760
Q6Y7W8,Q60760
Q6Y7W8,Q60760
Q99MR1,Q60760
Q99MR1,Q60760
Q99MR1,P05017
P60710,Q9ET47
O54928,Q01279
Q99PM3,Q8R4I4
Q99PM3,P62340
Q8R4I4,Q8R4I4
Q99PM3,Q8R4I4
Q99PM3,Q99PM3
Q8R4I4,Q8R4I4
Q99PM3,Q8R4I4
Q62179,Q62108
Q9WUH7,Q62108
Q64151,Q62108
Q9Z0G0,P97333
Q62179,Q9Z0G0
Q62179,Q62108
Q62179,Q62108
Q62179,Q9Z0G0
Q64151,Q62108
Q62179,Q62108
Q9WUH7,Q62108
Q62179,Q62108
P25233,Q61221
P25233,Q61221
Q62421,Q8K4B0
Q8K4B0,Q62421
Q62421,Q8K4B0
Q62421,Q8K4B0
Q62421,Q8K4B0
Q62421,Q8K4B0
Q58A65,O88447
Q58A65,O88447
Q58A65,O88447
O88447,Q58A65
O88447,Q58A65
Q91Y86,O88447
O88447,Q58A65
Q8R509,Q7TPD6
Q7TPD6,Q8R509
Q7TPD6,Q8R509
Q8R509,Q7TPD6
Q7TPD6,Q8R509
Q7TPD6,Q8R509
Q8R509,Q7TPD6
Q9D1P4,Q60676
Q9D1P4,Q60676
Q9D1P4,Q60676
Q9D1P4,Q60676
Q9D1P4,Q60676
Q62165,Q05793
Q62165,Q05793
Q3TC93,P49710
Q3TC93,P49710
Q9WU78,P05480-1
Q9WU78,P05480-1
P97814,P41047
P41047,P97814
P41047,P97814
P97814,P35831
P41047,P35831
P41047,P97814
Q61937,Q9CPP0
Q61937,P62843
Q61937,P62960
Q61937,Q6ZWU9
Q61937,Q61858
Q61937,Q9CPP0
Q9QUN3,Q03526
Q61234,P11531
Q80U87,O89100
Q80U87,O89100
Q9Z1S8,O89100
Q9QUN3,O89100
Q9QYY0,O89100
O89100,Q80U87
O89100,Q9QUN3
Q80U87,O89100
O35601,O89100
O35601,O89100
O35601,O89100
O88551,P39447
O88551,P39447
O88552,P39447
Q9Z0G9,P39447
O54942,P39447
Q9Z262,P39447
O35054,P39447
Q9Z261,P39447
Q9Z260,P39447
O88551,Q9Z0U1
O88551,Q9Z0U1
O88551,Q9QXY1
O88551,Q9Z0U1
O88551,P39447
Q9QXY1,O88551
O88551,P39447
O88551,Q9Z0U1
Q9QXY1,O88551
P05480-1,O70469
P41241,O70469
O70469,P05480
Q01279,O70469
P41241,O70469
O70469,P05480
O70469,P05480
P00520,O70469
O70469,P00520
P00520,O70469
P00520,O70469
P00520,O70469
O89100,P70218
P70218,O89100
O70421,Q62108
O70421,Q62108
Q9JIP6,Q62108
Q9JIP6,Q62108
Q61088,Q62108
Q61088,Q62108
Q61088,Q91XM9
O70421,Q811D0
O70421,Q91XM9
Q61088,Q811D0
Q61090,Q62108
Q61090,Q91XM9
Q61090,Q811D0
Q62108,Q61423
Q61090,Q62108
Q61090,Q62108
Q61090,Q62108
Q61881,P46414
Q61881,P46414
B2RXS4,Q68FM7
Q68FM7,Q8CJH3
B2RXS4,Q68FM7
Q9QY40,Q68FM7
Q8CJH3,Q68FM7
Q68FM7,Q8CJH3
Q8R4H2,Q8CJH3
Q68FM7,Q8CJH3
Q8CJH3,Q68FM7
Q8R4H2,Q8CJH3
Q8R4H2,Q8C6B2
O88643,P60766
P63001,O88643
Q61625,Q8BH60
Q61625,Q8BH60
Q61627,Q8BH60
Q8BH60,O88597
Q61625,Q8BH60
Q61625,Q8BH60
Q8BH60,O88597
Q61627,Q8BH60
O88597,Q8BH60
Q8BH60,Q61625
Q61625,O88597
O88597,Q8BH60
O88597,Q8BH60
P15409,O70293-1
Q80T11,Q9ES64-3
Q9ES64-3,Q80T11
Q9ES64,Q99PJ1
Q9ES64-1,Q9ES64-2
Q99PF4,Q9ES64-3
Q9ES64-2,Q9ES64-2
Q80T11,Q80T11
Q80T11,P97479
Q9ES64-3,Q9ES64-2
Q80T11,P97479
Q80T11,P97479
Q80T11,Q9ES64-3
Q9ES64,Q99PJ1
Q80T11,P97479
O35382,Q6KAR6
O35382,O35382
O35382,O35250
P23818,O35382
Q62108,O35382
O35250,Q62108
O35250,P23818
O35250,P23819
P23819,Q6KAR6
O35250,P35438
P23819,O35382
Q6KAR6,P35438
P35438,O35382
P35438,Q62108
P23818,P23819
O35382,O35250
Q62108,P35438
Q9JLN9,Q9DCH4
Q9DCH4,Q9JLN9
Q9DCH4,Q9JLN9
Q9JLN9,Q9DCH4
Q6NZJ6,P63073
Q9JLN9,Q9DCH4
Q8JZQ9,P63073
Q9QZD9,Q8JZQ9
Q8JZQ9,P60843
P23116,Q8JZQ9
Q6NZJ6,Q8JZQ9
Q6NZJ6,P60843
Q6NZJ6,Q8JZQ9
Q6NZJ6,P23116
Q6NZJ6,Q9QZD9
Q6NZJ6,P63073
Q6NZJ6,Q9QZD9
Q9QZD9,Q6NZJ6
Q8BGD9,Q9QZD9
P62754,Q8JZQ9
Q6NZJ6,P63073
Q6NZJ6,P63073
Q99ML9,O35625
O35625,Q99ML9
Q99ML9,O35625
O35625,Q8BUN5
Q8BUN5,O35625
O35625,O35253
O35253,O35625
O35625,O35182
O35182,O35625
O88566,Q99ML9
O35625,Q99ML9
Q9JI18,P11835
Q9JI18,P11835
Q3THE2,P62991
Q8BM54,Q3THE2
Q9JKB3,P23242
P39447,P23242
P70689,P39447
P39447,Q9JKB3
Q8BQU6,Q9JKB3
Q9JKB3,P16330
P39447,P23242
P70689,P39447
P70689,P39447
Q9JI91,P11798
Q9JI91,P11798
Q9JI91,P11798
Q80VW5,Q9QZZ4
Q80VW5,Q9QZZ4
Q80VW5,Q9QZZ4
Q80VW5,Q9QZZ4
Q80VW5,Q9QZZ4
Q8C031,Q80VW5
Q80VW5,Q80VW5
Q8C031,Q80VW5
Q8C031,Q8C031
Q8C031,Q80VW5
Q8C031,Q80VW5
P48030,Q9EQJ9
Q9ES64-3,Q99PJ1
Q9ES64-3,Q99PF4
Q9ES64,Q99PJ1
P52795,O08992
P52795,Q64512
P52795,O08992
P52795,O08992
O35393,O08992
O35393,Q99NH2
O35393,Q925T6
Q63ZW7,P35436
Q62108,P35436
Q63ZW7,P35436
Q63ZW7,P35436
Q63ZW7,P35436
Q63ZW7,Q9JM63
Q63ZW7,O88932
Q9Z206,Q6RHR9
Q9Z206,Q6RHR9
Q9Z206,Q6RHR9
Q9Z206,Q6RHR9
Q9Z206,Q6RHR9
Q08619,EBI-8064559
Q08619,EBI-8064559
Q08619,P13405
Q80Z37,Q08619
Q08619,Q8C5D8-1
Q06348,Q08619
P63015,Q08619
Q61169,Q08619
Q08619,EBI-8064559
Q61091,Q8BH60
Q9EQD0,Q8BH60
Q61091,Q8BH60
Q8BH60,Q8BH60
Q9EQD0,Q8BH60
Q8BH60,Q61091
Q9CW79,Q8BH60
Q9EQD0,Q8BH60
Q64163-4,P62259
Q61502,Q64163-4
Q64163-4,P62259
Q64163-4,P62259
Q64163-4,Q61502
Q64163-4,P62259
Q64163-4,P62259
Q64163-4,P62259
O88551,P39447
O88551,Q8VBX6
Q8VBX6,O88551
O88792,Q8VBX6
O88792,Q8VBX6
Q8VBX6,P39447
Q8VHY0,Q925T6
Q8VHY0,Q925T6
Q925T6,P23819
Q8VHY0,Q925T6
Q925T6,P23819
Q8VHY0,Q925T6
Q8VHY0,Q925T6
Q8VHY0,Q925T6
Q8VHY0,P23819
Q8VHY0,Q925T6
Q8VHY0,P23819
P23819,Q925T6
Q60737,P09803
P42859,Q8VIG1
Q8VIG1,P42859
P55284,B2RU80
B2RU80,P55284
P55284,B2RU80
Q02248,Q924A0
Q9JJN6,Q02248
Q9JJN6,Q02248
Q9JJN6,Q02248
Q02248,Q924A0
Q9JJN6,Q02248
Q9JJN6,Q02248
Q62165,Q62165
Q01279,P42567
P05480,P34152
Q8VI36,P34152
Q8BVF7,P57716
Q8BVF7,P49769
P04925,P08226
P13595,P04925
Q9Z218,P04925
O35136,P04925
P12960,P04925
P04925,P20917
P04925,P39053
P04925,Q61885
P04925,Q8BLK3
P04925,Q03157
Q06890,P04925
Q8BMT5,P04925
P04925,Q99PJ0
Q9JKF6,P04925
Q9R1V7,P04925
P09103,P04925
P04925,P11627
P70663,P04925
P04925,Q9EPL2
Q06335,P04925
P04925,P20029
P04925,Q9QXJ1
EBI-7188812,P04925
Q8VDF2,P10853
Q8VDF2,C0HKE1
Q8VDF2,P10853
Q01147,P10085
P10085,Q01147
P12023,Q8R1C9
P97318,P12023
Q9WVI9-1,P12023
P12023,P98084
P12023,Q9QXJ1
Q9WVI9-1,P12023
Q9WVI9-1,P12023-2
Q9WVI9-1,P12023
P12023-2,Q9WVI9-1
P12023,Q9WVI9
P12023,Q9WVI9
P12023,Q9QZS3
Q61477,P12023
Q61477,P12023
P12023,Q9QZS3
P63101,O88667
O35929,P63101
O35929,P63101
Q8VEL9,P63101
Q61584,P35922
P00520,Q06649
P55194,P00520
Q9ERR1,P62259
Q9ERR1,P63005
P62259,Q9ERR1
P62259,Q9ERR1
Q9ERR1,P63005
Q9ERR1,P62259
Q9ERR1,P63005
Q9ERR1,P62259
Q9ERR1,Q9CQV8
Q9ERR1,P61982
Q9ERR1,P68254
Q9ERR1,P63101
Q9ERR1,P63005
Q9ERR1,P62259
Q9ERR1,P62259
Q8CA72,P14873
Q64288,Q9R224
Q64288,Q9WTZ8
Q9WTZ8,Q64288
Q64288,Q9R224
Q64288,Q9R224
P97433,P68510
P97433,P68510
P97433,P62259
P97433,P68510
P97433,P63101
Q925H1,Q9QZS2
Q925H1,Q9QZS2
Q9ESD7,P07356
Q9ESD7,P10107
Q9ESD7,P07356
Q9ESD7,P10107
Q8K400,P70452
Q8K400,O09044
Q8K400,P70452
Q8K400,O09044
P28028,P68510
P28028,Q61411
P31938,P28028
P28028,Q63932
Q61824,Q60631
Q60631,Q61824
Q61824,Q60631
O88811,Q80U87
O88811,Q80U87
Q80U87,Q60631
Q921E6,Q61188
Q921E6,Q61188
Q9Z0R4,P42567
Q60902,Q9Z0R4
Q9Z0R4,P39054
Q9Z0R4,P39053
P39053,Q9Z0R4
Q9Z0R4,P42567
Q60760,P46935
P46935,Q60760
Q60760,P46935
Q60760,P46935
Q60760,P46935
Q60760,P46935
P46684,Q8K0K3
Q62520,Q8K0K3
P46684,Q8K0K3
Q78DX7,P29351
Q78DX7,P29351
Q78DX7,P29351
O08605,Q9WUI1
O08605,Q63844
Q63844,Q8CDB0
Q9WUI1,Q8CDB0
