IDs	Initial Pvalue	Adjusted Pvalue	Fold Change	Standard Deviation of Fold Changes
A1AG1	0.9698499769931556	0.9898468837352825	74.57	0
A1AT	0.4496917979688909	0.964088662882179	31.03	0
A1BG	0.17361733442494354	0.964088662882179	33.75	0
A2MG	0.7054569861112734	0.964088662882179	55.04	0
A4	0.8205958397554409	0.964088662882179	-57.43005906831094	0
AACT	0.21229383619233155	0.964088662882179	100.33000000000001	0
AEBP1	0.40567889528505297	0.964088662882179	-44.51440770677138	0
AGRIN	0.22647606604348625	0.964088662882179	13.260000000000005	0
AMBP	0.7623688184698398	0.964088662882179	-11.689999999999998	0
ANGI	0.9397429895770734	0.964088662882179	9.570000000000007	0
ANT3	0.9397429895770734	0.964088662882179	41.97	0
ANXA2	0.28991845394256976	0.964088662882179	-31.33	0
ANXA5	0.3643461266335529	0.964088662882179	-8.280000000000001	0
APOA1	0.9397429895770734	0.964088662882179	-11.920000000000002	0
APOA2	0.5453496680111236	0.964088662882179	-16.239999999999995	0
APOA4	0.5453496680111236	0.964088662882179	-15.709999999999994	0
APOC1	0.3257513544787166	0.964088662882179	18.010000000000005	0
APOC3	0.9397429895770734	0.964088662882179	5.200000000000003	0
APOE	0.7054569861112734	0.964088662882179	44.83053975837839	0
APOH	0.6501474440948545	0.964088662882179	14.060000000000002	0
ASPN	0.5453496680111236	0.964088662882179	15.88000000000001	0
B2MG	0.05878172135535886	0.964088662882179	45.370000000000005	0
BCAM	0.25683925795785656	0.964088662882179	41.88000000000001	0
BGH3	0.9397429895770734	0.964088662882179	29.810000000000002	0
CAD13	0.8205958397554409	0.964088662882179	34.02999999999999	0
CAN1	0.49629170223109287	0.964088662882179	13.72999999999999	0
CATB	0.6501474440948545	0.964088662882179	-4.709999999999994	0
CATD	0.22647606604348625	0.964088662882179	-43.22	0
CATG	0.5967012167293563	0.964088662882179	28.42	0
CCL18	0.40567889528505297	0.964088662882179	0.6507874701050724	0
CD44	0.7623688184698398	0.964088662882179	14.071399516647602	0
CERU	0.40567889528505297	0.964088662882179	81.92999999999999	0
CFAB	0.6501474440948545	0.964088662882179	-4.261300849969146	0
CFAD	0.9397429895770734	0.964088662882179	14.512091471480261	0
CFAH	0.3643461266335529	0.964088662882179	24.769999999999996	0
CLUS	0.6501474440948545	0.964088662882179	-21.22	0
CMA1	0.06964240479832813	0.964088662882179	84.61	0
CNN2	0.3643461266335529	0.964088662882179	-75.24552665416697	0
CO1A1	0.25683925795785656	0.964088662882179	9.909999999999997	0
CO1A2	0.3643461266335529	0.964088662882179	6.989999999999995	0
