IDs	Initial Pvalue	Adjusted Pvalue	Fold Change	Standard Deviation of Fold Changes
A1AG1	0.29197917948435836	0.987670028690209	45.42326192505975	0
A1AT	0.47424231530005656	0.987670028690209	31.05000000000001	0
A1BG	0.4502460771303408	0.987670028690209	-23.010000000000005	0
A2MG	0.32484081516865226	0.987670028690209	83.44	0
A4	0.891710200093397	0.987670028690209	-9.5	0
AACT	0.3425092728859551	0.987670028690209	22.519999999999996	0
AEBP1	0.3588361762080913	0.987670028690209	-51.41849625353538	0
AGRIN	0.04978905992069222	0.987670028690209	31.450000000000003	0
AMBP	0.4239286717403836	0.987670028690209	-27.39	0
ANGI	0.5690047748666115	0.987670028690209	36.91000000000001	0
ANT3	0.31529769231175403	0.987670028690209	72.95000000000002	0
ANXA2	0.441174482336283	0.987670028690209	-24.960000000000008	0
ANXA5	0.5049974627271832	0.987670028690209	41.99000000000001	0
APOA1	0.9710865240294725	0.987670028690209	-2.8800000000000097	0
APOA2	0.9528026186623099	0.987670028690209	-3.3700000000000045	0
APOA4	0.4750152879110081	0.987670028690209	-45.599999999999994	0
APOC1	0.39695502985357656	0.987670028690209	22.47	0
APOC3	0.9073847327281626	0.987670028690209	-3.450000000000003	0
APOE	0.7527238761890547	0.987670028690209	19.46053975837839	0
APOH	0.8624434765455363	0.987670028690209	-5.75	0
ASPN	0.22525883367014637	0.987670028690209	-67.46999999999998	0
B2MG	0.4128378799590864	0.987670028690209	20.760000000000005	0
BCAM	0.9274457205907078	0.987670028690209	3.7900000000000063	0
BGH3	0.4608007368872157	0.987670028690209	-40.10000000000001	0
CAD13	0.1920268769307791	0.987670028690209	53.06999999999999	0
CAN1	0.5225852800797768	0.987670028690209	11.530000000000001	0
CATB	0.3599792608962471	0.987670028690209	-33.94220268052669	0
CATD	0.6552940382816003	0.987670028690209	-24.58	0
CATG	0.8864938486114721	0.987670028690209	3.750000000000014	0
CCL18	0.8093668375104611	0.987670028690209	18.159999999999997	0
CD44	0.40562823409484094	0.987670028690209	39.67999999999999	0
CERU	0.6625734389473301	0.987670028690209	28.39999999999999	0
CFAB	0.586847320377649	0.987670028690209	-38.590805313723806	0
CFAD	0.808142447854758	0.987670028690209	-15.169775924825387	0
CFAH	0.8480258234047094	0.987670028690209	9.989999999999995	0
