IDs	Initial Pvalue	Adjusted Pvalue	Fold Change	Standard Deviation of Fold Changes
A1AG1	0.6918889628919618	0.9947570661353506	-58.659786706377176	0
A1AT	0.557004936808043	0.9947570661353506	30.75999999999999	0
A1BG	0.6156282120177058	0.9947570661353506	14.450000000000003	0
A2MG	0.42593203701412075	0.9947570661353506	39.230000000000004	0
A4	0.8922816895822012	0.9947570661353506	-6.213090356540931	0
AACT	0.2020022712252688	0.9947570661353506	92.60000000000001	0
AEBP1	0.915663446861585	0.9947570661353506	-6.234407706771364	0
AGRIN	0.7203444650127566	0.9947570661353506	6.110000000000014	0
AMBP	0.7038677190760951	0.9947570661353506	15.36	0
ANGI	0.9696369382026397	0.9947570661353506	-2.6299999999999955	0
ANT3	0.3819103003544583	0.9947570661353506	45.41	0
ANXA2	0.5108052299770854	0.9947570661353506	-21.61999999999999	0
ANXA5	0.1598965194389379	0.9947570661353506	33.89	0
APOA1	0.6223757441155338	0.9947570661353506	24.200000000000003	0
APOA2	0.879126047633042	0.9947570661353506	-5.179999999999993	0
APOA4	0.5670709097182398	0.9947570661353506	35.75	0
APOC1	0.4273650042991144	0.9947570661353506	-44.85000000000001	0
APOC3	0.6569009106694812	0.9947570661353506	-26.299151274204206	0
APOE	0.25261759342285245	0.9947570661353506	92.75999999999999	0
APOH	0.8651038374185014	0.9947570661353506	-5.589999999999989	0
ASPN	0.8873342100974286	0.9947570661353506	8.83999999999999	0
B2MG	0.07605368979248114	0.9947570661353506	37.81	0
BCAM	0.8374676278287925	0.9947570661353506	8.39	0
BGH3	0.632214618667067	0.9947570661353506	33.49000000000002	0
CAD13	0.5947979403158052	0.9947570661353506	30.72999999999999	0
CAN1	0.34407804122896457	0.9947570661353506	19.489999999999995	0
CATB	0.7065908704781838	0.9947570661353506	12.842556371872888	0
CATD	0.6775322482469065	0.9947570661353506	-25.070000000000007	0
CATG	0.6644690537669183	0.9947570661353506	18.86	0
CCL18	0.23360918890132473	0.9947570661353506	62.38648333085959	0
CD44	0.5245164917302156	0.9947570661353506	28.025683644974734	0
CERU	0.3546321797391939	0.9947570661353506	76.9394990528769	0
CFAB	0.9366648610522661	0.9947570661353506	-6.080118456361035	0
CFAD	0.6074793006141255	0.9947570661353506	45.22	0
CFAH	0.7844132746677863	0.9947570661353506	13.739999999999995	0
CLUS	0.753892247620858	0.9947570661353506	17.590000000000003	0
CMA1	0.16531328106187781	0.9947570661353506	59.370000000000005	0
CNN2	0.42473586519114026	0.9947570661353506	-38.95552665416696	0
CO1A1	0.6366733127152433	0.9947570661353506	-15.0	0
CO1A2	0.3650247483910355	0.9947570661353506	-42.33	0
CO2A1	0.23550664240117197	0.9947570661353506	-57.44	0
CO3	0.5413568690895059	0.9947570661353506	35.870000000000005	0
CO3A1	0.46150308032598675	0.9947570661353506	17.690000000000012	0
CO4A1	0.8278962617172593	0.9947570661353506	8.819999999999993	0
CO4A2	0.9670147591535647	0.9947570661353506	-1.519999999999996	0
CO5A1	0.9837777360186988	0.9985072998810101	0.3299999999999983	0
CO5A2	0.9596665076279037	0.9947570661353506	1.3100000000000023	0
CO5A3	0.4531222646646621	0.9947570661353506	38.63000000000001	0
CO6	0.622894463275321	0.9947570661353506	34.719999999999985	0
CO6A1	0.6704475027039021	0.9947570661353506	29.069999999999993	0
CO6A2	0.7810411104260131	0.9947570661353506	23.610000000000014	0
CO6A3	0.6316489436310114	0.9947570661353506	35.22999999999999	0
CO8A1	0.8631177937368091	0.9947570661353506	7.040000000000006	0
CO8A2	0.7432773837245121	0.9947570661353506	12.89	0
CO9	0.38849464807084444	0.9947570661353506	62.07000000000001	0
COCA1	0.8954457054030758	0.9947570661353506	-7.450000000000003	0
COEA1	0.5829227633583416	0.9947570661353506	20.810000000000002	0
COFA1	0.28994791962418	0.9947570661353506	18.24000000000001	0
COGA1	0.4023851231211302	0.9947570661353506	-30.28	0
COIA1	0.7575528282496651	0.9947570661353506	-7.1499999999999915	0
COMP	0.9370682245054903	0.9947570661353506	-4.969999999999999	0
CRAC1	0.22760724790989717	0.9947570661353506	53.03	0
CSPG2	0.6862904742129021	0.9947570661353506	18.059999999999988	0
CTGF	0.39852879979402167	0.9947570661353506	-30.309999999999988	0
CYTC	0.9228351792048445	0.9947570661353506	3.569999999999993	0
DAG1	0.07413629254832489	0.9947570661353506	69.46	0
DEF1	0.5001106565482589	0.9947570661353506	21.24000000000001	0
DERM	0.11341450132459084	0.9947570661353506	29.090000000000003	0
EDIL3	0.7405542779442628	0.9947570661353506	20.36810315893409	0
ELN	0.3765057050108499	0.9947570661353506	31.85000000000001	0
EMIL1	0.500014847160227	0.9947570661353506	10.329999999999998	0
FBLN3	0.9397374989614939	0.9947570661353506	4.340000000000003	0
FBN1	0.4780072620139172	0.9947570661353506	23.889999999999986	0
FGF2	0.5785871366579016	0.9947570661353506	15.75	0
FGL2	0.9422877610964615	0.9947570661353506	-3.119438379502526	0
FHR1	0.9605388368385779	0.9947570661353506	2.960000000000008	0
FIBA	0.3189178862569233	0.9947570661353506	66.71	0
FIBB	0.1821653207050792	0.9947570661353506	86.27000000000001	0
FIBG	0.1566766535295896	0.9947570661353506	63.400000000000006	0
FINC	0.3795983926633889	0.9947570661353506	13.86	0
FMOD	0.6450399667221249	0.9947570661353506	-12.61	0
GDF10	0.15696568682482004	0.9947570661353506	100.04000000000002	0
GELS	0.6641749665217379	0.9947570661353506	-11.519999999999996	0
HEMO	0.8410750727170685	0.9947570661353506	-11.75	0
HPLN1	0.4735354127110736	0.9947570661353506	-61.74	0
HPT	0.9934643337199949	0.9985072998810101	0.519999999999996	0
HRG	0.8449230181896343	0.9947570661353506	-12.470419002964817	0
HS71B	0.13108324405647526	0.9947570661353506	-63.91999999999999	0
HSP7C	0.48992857341166085	0.9947570661353506	-15.540000000000006	0
HSPB1	0.545412505476309	0.9947570661353506	-13.170000000000002	0
HSPB6	0.510402210892183	0.9947570661353506	22.909999999999997	0
HTRA1	0.8179336237197966	0.9947570661353506	15.539999999999992	0
IBP5	0.3563327169221293	0.9947570661353506	39.56999999999999	0
IBP7	0.4942344537303004	0.9947570661353506	-42.230000000000004	0
IC1	0.9561088491985161	0.9947570661353506	2.9468945657118155	0
IGHA1	0.43813278582555926	0.9947570661353506	30.983010533667894	0
IGHG1	0.5360747567272415	0.9947570661353506	61.519999999999996	0
IGHG2	0.49569026854248643	0.9947570661353506	-34.53999999999999	0
IGHG3	0.9108336137609846	0.9947570661353506	-5.6200000000000045	0
IGHG4	0.3356826160735462	0.9947570661353506	-53.540000000000006	0
IGKC	0.6695203468699111	0.9947570661353506	35.129999999999995	0
IGLL5	0.9083141785898369	0.9947570661353506	4.840000000000003	0
ILEU	0.1676740869786248	0.9947570661353506	63.69130819310925	0
ITIH1	0.5081439431346043	0.9947570661353506	-17.55000000000001	0
ITIH2	0.6314346421439905	0.9947570661353506	17.489999999999995	0
ITIH5	0.2894806080733613	0.9947570661353506	44.71	0
KNG1	0.5810322954193867	0.9947570661353506	-47.74000000000001	0
KV320	0.6930522971994352	0.9947570661353506	13.070000000000007	0
KVD40	0.7382265526084877	0.9947570661353506	-11.822904085925757	0
LAMA3	0.9079766435132303	0.9947570661353506	4.0366131289212035	0
LAMA4	0.8010173089909214	0.9947570661353506	16.349999999999994	0
LAMA5	0.37321026630030274	0.9947570661353506	15.47999999999999	0
LAMB1	0.4520357451115823	0.9947570661353506	24.599999999999994	0
LAMB2	0.38404185711417904	0.9947570661353506	23.460000000000008	0
LAMC1	0.25171080402250406	0.9947570661353506	23.11	0
LEG1	0.37252698969490095	0.9947570661353506	-11.439999999999998	0
LEG3	0.6265358958329634	0.9947570661353506	-10.180000000000007	0
LG3BP	0.9992900319447875	0.9992900319447875	0.060000000000002274	0
LOXL1	0.7178354496743475	0.9947570661353506	14.950000000000003	0
LOXL3	0.7347772330268665	0.9947570661353506	-9.201990652076915	0
LTBP1	0.5166164246268277	0.9947570661353506	24.47	0
LTBP2	0.9096475035751052	0.9947570661353506	5.549999999999997	0
LTBP4	0.8733015221607854	0.9947570661353506	7.739999999999995	0
LUM	0.3678481898302509	0.9947570661353506	21.989999999999995	0
LYOX	0.8465215617836703	0.9947570661353506	4.179999999999993	0
LYSC	0.7866026118836897	0.9947570661353506	20.650000000000006	0
MFAP2	0.8078334811780254	0.9947570661353506	-11.223130125539967	0
MFAP4	0.7013819560122121	0.9947570661353506	21.0	0
MFAP5	0.09453676400256834	0.9947570661353506	63.849999999999994	0
MFGM	0.6475559698957708	0.9947570661353506	-28.760000000000005	0
MGP	0.5873409667470101	0.9947570661353506	28.470000000000013	0
MIF	0.8276626790255431	0.9947570661353506	-8.756636365026225	0
MIME	0.44190331936982763	0.9947570661353506	16.72	0
MMRN2	0.8667337272923694	0.9947570661353506	11.070000000000007	0
MUC18	0.9368819163918133	0.9947570661353506	1.7399999999999949	0
NID1	0.44119201565658095	0.9947570661353506	26.74000000000001	0
NID2	0.9427340354988886	0.9947570661353506	3.75	0
NOV	0.38149647615899174	0.9947570661353506	-34.877650227790966	0
NPNT	0.8769983222375204	0.9947570661353506	7.792828165905249	0
OLFL1	0.8819203088962968	0.9947570661353506	9.420000000000002	0
OLFL3	0.8187436483350037	0.9947570661353506	10.029999999999987	0
PA2GA	0.36769329185384725	0.9947570661353506	35.129999999999995	0
PCOC1	0.894338034055604	0.9947570661353506	-8.899999999999991	0
PEDF	0.4368990488049471	0.9947570661353506	-27.659235801712953	0
PGBM	0.7732283054083327	0.9947570661353506	-4.939999999999998	0
PGCA	0.43330605054348725	0.9947570661353506	-31.760000000000005	0
PGS1	0.18511157448730325	0.9947570661353506	25.14	0
PGS2	0.7304946974973099	0.9947570661353506	10.659999999999997	0
PLMN	0.583643895830517	0.9947570661353506	-15.180000000000007	0
PODN	0.2748444011681472	0.9947570661353506	28.950000000000003	0
POSTN	0.5213747277852593	0.9947570661353506	-32.84	0
PRELP	0.7903613810663505	0.9947570661353506	-10.230000000000004	0
RNAS4	0.43781645856468954	0.9947570661353506	65.83	0
S10A4	0.9561725971760686	0.9947570661353506	-1.7900000000000063	0
S10A6	0.8415588745237584	0.9947570661353506	9.440000000000012	0
S10A9	0.5771422949440568	0.9947570661353506	46.3	0
S10AA	0.7303630395866421	0.9947570661353506	-10.969999999999999	0
S10AB	0.8895498200379779	0.9947570661353506	5.437365541272285	0
S10AD	0.44216677830399576	0.9947570661353506	-34.33000000000001	0
SAMP	0.6915131999364801	0.9947570661353506	17.129999999999995	0
SAP	0.487925810388271	0.9947570661353506	25.189999999999998	0
SBSPO	0.9054420083206456	0.9947570661353506	-2.739999999999995	0
SCUB3	0.3112657630588079	0.9947570661353506	23.68	0
SDF1	0.9192474990458743	0.9947570661353506	6.3500000000000085	0
SLPI	0.47484762302899	0.9947570661353506	55.030468649384304	0
SODE	0.8637289338387477	0.9947570661353506	7.320000000000007	0
SPRL1	0.5665914257569746	0.9947570661353506	28.250000000000007	0
SRP14	0.8667469371619656	0.9947570661353506	6.407825917237176	0
TAGL2	0.40391463421096885	0.9947570661353506	-41.08000000000001	0
TARSH	0.14652340722961174	0.9947570661353506	25.379999999999995	0
TENA	0.8084093069293076	0.9947570661353506	14.33999999999999	0
TENX	0.6624957482293463	0.9947570661353506	-7.609999999999999	0
THIO	0.3704921169324692	0.9947570661353506	-37.08000000000001	0
THSD4	0.9928469793081987	0.9985072998810101	0.2576978014967466	0
TIMP3	0.3444092581177567	0.9947570661353506	40.44	0
TINAL	0.8591888643737	0.9947570661353506	5.6000000000000085	0
TRYB2	0.42813247025573276	0.9947570661353506	33.09	0
TTHY	0.5816344171692789	0.9947570661353506	-33.749999999999986	0
VTDB	0.9380684859680064	0.9947570661353506	-5.690000000000012	0
VTNC	0.25000277407902494	0.9947570661353506	46.400000000000006	0
VWA1	0.9029752954313301	0.9947570661353506	-7.231648704178312	0
WISP2	0.2886782618925986	0.9947570661353506	32.150000000000006	0
ICAL	0.8690219626078415	0.9947570661353506	-5.8999999999999915	0
CRIP2	0.9853915911878426	0.9985072998810101	-0.6099999999999994	0
IGHM	0.4830663148363187	0.9947570661353506	-23.11	0
ITA1	0.7723715284965326	0.9947570661353506	9.730000000000004	0
ITA8	0.32286300807014523	0.9947570661353506	-22.700000000000003	0
ITAV	0.5306320442531683	0.9947570661353506	-32.47999999999999	0
ITB1	0.38574020150372346	0.9947570661353506	-50.57547967009404	0
ILK	0.7239495659018166	0.9947570661353506	16.49789839518114	0
NEST	0.8924227851738837	0.9947570661353506	4.859999999999999	0
PRDX1	0.8826972977086827	0.9947570661353506	-3.430000000000007	0
PRDX2	0.871789561888515	0.9947570661353506	3.5200000000000102	0
PRDX5	0.7257734469187878	0.9947570661353506	-7.429999999999993	0
LRP1	0.9217215239627042	0.9947570661353506	4.766995116831197	0
TGM2	0.3713940775183202	0.9947570661353506	-29.950000000000003	0
SERPH	0.4408505543188236	0.9947570661353506	-22.879999999999995	0
TAGL	0.5243505898732795	0.9947570661353506	19.92	0
