	Aorta1	Aorta2	Aorta3	Aorta4	Aorta5	Aorta6	Aorta7	Aorta8	Aorta9	Aorta10	IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10	Radial1	Radial2	Radial3	Radial4	Radial5	Radial6	Radial7	Radial8	Radial9	Radial10	Vein1	Vein2	Vein3	Vein4	Vein5	Vein6	Vein7	Vein8	Vein9	Vein10
A1BG	139.0	11.3	43.6	11.0	11.3	27.2	8.9	12.3	107.8	1.8	22.89786706377178	5.4	54.5	2.6	4.0	21.4	292.2	1291.0	4.6	7.9	271.1	6.132619250597458	10.9	18.6	347.0	36.5	10.9	5.4	97.6	24.3	32.3	5.5	315.5	30.6	4.9	12.8	683.8	8.9	21.1	4.5
AACT	178.5	36.2	55.7	58.9	139.1	123.6	37.3	52.0	124.7	38.1	25.6	56.1	182.4	26.6	20.6	100.4	223.3	88.8	57.4	65.6	443.5	46.8	25.4	50.4	147.4	50.2	101.1	77.4	162.9	49.5	37.4	23.1	301.2	30.2	25.4	53.1	461.2	58.3	47.2	117.3
AGRIN	70.8	27.5	62.1	224.4	57.9	33.7	125.6	231.6	87.1	4.1	68.5	215.7	40.8	57.2	81.8	188.6	89.1	164.7	93.9	117.5	146.7	32.8	2.4	125.2	33.0	58.5	18.9	104.6	127.0	45.6	123.5	88.9	188.5	54.0	87.7	170.3	171.8	36.7	90.1	250.8
ANXA5	111.3	48.4	26.3	52.9	100.4	23.3	26.8	90.3	118.1	16.5	21.5	26.3	204.3	49.4	16.0	44.2	313.5	21.8	31.3	44.1	872.9	82.5	21.6	74.5	49.0	27.6	121.0	95.1	60.5	44.0	17.2	46.9	152.1	10.5	24.0	252.6	318.5	23.7	83.0	236.2
ASPN	284.8	150.2	7.3	4.2	134.0	54.0	68.5	4.0	544.2	47.8	83.4	4.530312882300008	421.2	92.4	12.4	2.4	109.2	26.8	21.6	12.9	56.7	231.1	87.8	6.6	453.1	44.0	69.9	16.9	177.6	60.3	24.0	5.7	161.0	76.9	51.7	4.759671617157631	85.4	126.8	183.6	4.839737699733059
B2MG	169.2	26.6	61.0	70.7	70.9	83.3	43.4	25.0	86.0	37.4	62.3	11.2	117.6	30.9	9.8	47.9	152.5	61.0	52.6	205.0	190.1	42.0	21.5	29.4	106.7	78.1	57.0	109.1	186.7	78.1	105.6	22.2	379.8	64.6	54.9	75.5	698.7	83.3	130.1	62.1
CMA1	369.7	4.2	1.0	61.5	429.6	68.1	11.2	72.3	179.9	148.0	93.1	55.0	315.0	3.0	3.2	85.3	377.3	2.2	7.3	21.3	268.5	89.9	4.4150374646463275	56.2	101.7	6.5	131.7	43.4	127.4	1.6	2.9	117.3	94.5	2.9	3.4	38.5	409.0	142.6	35.75592293228635	53.5
CNN2	92.5	83.2	62.3	123.5	97.5	76.1	84.1	71.3	45.6	134.2	145.6	74.7	163.1	153.4	70.9	97.1	66.0	26.4	43.5	101.1	126.1	162.5	123.4	114.7	88.6	64.3	198.6	87.9	96.5	122.2	75.2	79.9	115.7	141.5	106.9	115.9	109.4	53.3	102.5	102.6
CO3A1	137.3	158.8	46.0	21.7	213.8	50.7	47.9	51.1	292.8	145.2	59.2	33.8	230.0	185.0	62.4	24.9	182.9	39.2	42.1	35.3	174.9	130.0	47.3	13.0	143.8	39.5	140.7	30.0	116.0	56.2	73.7	30.9	177.2	78.8	89.0	36.3	118.0	355.5	61.0	28.0
CO9	236.8	34.3	19.2	5.7	221.8	15.3	26.2	3.6	265.0	25.4	21.6	3.6	207.5	105.4	17.0	8.5	539.7	27.7	39.8	4.5	320.3	27.1	10.8	15.2	381.5	15.1	25.4	19.4	396.6	11.0	70.5	5.4	333.3	11.9	25.6	7.8	356.6	91.9	43.0	3.0
