,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126
BP_similarity,0.109,0.251,0.481,0.335,0.13669782,0.482,0.16,0.225569314,0.138093236,0.145,0.304201348,0.109,0.311633672,0.177,1.0,1.0,0.581061246,0.33336835,0.11,0.501,0.45,0.213783464,0.258785096,0.244099208,0.581,0.267,0.829,1.0,0.171647323,0.371,0.445,0.72,0.31124267,0.135668112,0.367,0.511,0.286,0.105150903,0.407,0.294828751,0.248363678,0.216305965,0.305,0.237003588,1.0,0.194230667,0.384,0.26881849,1.0,0.152,0.26,0.325203865,0.446,0.273468103,0.243375289,0.203292164,0.287,0.296,0.395897629,0.354,0.504,0.464,0.194343631,0.366634517,0.239770015,0.274,0.448,0.244,0.388,0.385,0.408,0.435,0.977,0.259,0.090553283,0.358,0.479,0.403861877,0.459,0.325683482,0.318304601,0.377684323,1.0,0.23,0.462,0.381,0.434,0.595,1.0,0.218,0.428,0.416,0.195582557,0.946,0.18020289,0.263,0.473,0.594883509,1.0,0.59,0.157,0.27304753,0.342,0.291974854,0.383,0.523,0.259,0.109,0.27813702,1.0,0.913,1.0,0.262484222,1.0,0.501,0.211,1.0,0.835,0.233641295,0.196851963,0.266013123,0.358,0.152,0.40508761,1.0,0.244689259,0.144
MF_similarity,0.452,0.537,0.661,0.552,0.654903498,0.563,0.537,0.524484593,0.507936149,0.437,0.632094147,0.404,0.391910278,0.427,1.0,1.0,0.668274156,0.566764401,0.467,0.55,0.605,0.474720584,0.429471435,0.394782074,0.514,0.568,0.955,1.0,0.624161072,0.559,0.57,0.653,0.548768842,0.532842699,0.591,0.655,0.574,0.506385521,0.541,0.554989041,0.519437464,0.558039743,0.572,0.454477106,1.0,0.490695999,0.903,0.465310468,1.0,0.509,0.541,0.709080015,0.539,0.333771465,0.54676208,0.459192023,0.561,0.658,0.57898609,0.592,0.583,0.559,0.599424872,0.50364895,0.530825226,0.565,0.563,0.614,0.521,0.514,0.529,0.547,0.838,0.568,0.588558306,0.514,0.837,0.394614576,0.522,0.594793607,0.452665191,0.478203606,1.0,0.524,0.568,0.328,0.71,0.652,1.0,0.536,0.543,0.569,0.297356138,0.933,0.470742761,0.531,0.591,0.651960858,1.0,0.622,0.507,0.530457662,0.516,0.540128479,0.61,0.621,0.533,0.525,0.375687386,1.0,0.915,1.0,0.497080674,1.0,0.588,0.628,1.0,0.923,0.575602888,0.614049078,0.518043265,0.6,0.561,0.585582347,1.0,0.550454038,0.541
CC_similarity,0.783,0.571,0.594,0.695,0.716458491,0.778,0.683,0.559763611,0.670069855,0.772,0.724500047,0.674,0.458114737,0.692,0.0,1.0,0.702262849,0.709326351,0.634,0.646,0.781,0.687889166,0.609169449,0.624452655,0.804,0.677,0.908,1.0,0.635524905,0.68,0.714,0.8,0.740612768,0.623152409,0.709,0.731,0.759,0.602819773,0.708,0.612877474,0.49333996,0.709223945,0.684,0.660158945,0.0,0.606947495,0.0,0.66089319,0.444494166,0.692,0.621,0.571532286,0.629,0.632244,0.704033649,0.643613525,0.764,0.763,0.732478798,0.698,0.752,0.773,0.58350075,0.702770902,0.533234473,0.79,0.703,0.723,0.596,0.711,0.699,0.717,0.837,0.651,0.491569408,0.669,0.0,0.623228021,0.627,0.731371547,0.631030609,0.637516361,0.344247332,0.649,0.582,0.885,0.696,0.751,1.0,0.683,0.636,0.722,0.559558399,0.946,0.625136861,0.744,0.813,0.75095094,1.0,0.645,0.642,0.692953295,0.636,0.682102253,0.61,0.595,0.706,0.648,0.594389446,1.0,0.885,1.0,0.628483403,0.381429062,0.639,0.748,0.295795996,0.989,0.606800605,0.607986437,0.441322754,0.634,0.69,0.647992499,1.0,0.563888613,0.61
Exists in MINT?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Exists in DIP?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Exists in APID?,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
Exists in BIOGRID?,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sequence_similarity,6.45e-78,1.29e-14,1.29e-67,3.37e-76,8.14e-143,4.79e-44,3.37e-76,1.64e-29,2.35e-33,2.43e-75,1.81e-50,9.33e-64,6.2899999999999995e-84,4.6600000000000005e-77,1.25e-76,1.64e-296,9.39e-55,4.73e-41,1.23e-34,5.9300000000000004e-96,8.03e-25,1.7699999999999998e-41,1.67e-32,1.46e-20,4.4800000000000004e-32,2.28e-90,2.51e-48,4.11e-302,4.84e-62,6.72e-63,2.9400000000000004e-103,1.3e-58,2.5e-63,1.7400000000000002e-77,3.88e-20,1.7900000000000001e-44,2.4e-36,4.55e-83,1.7400000000000002e-77,4.37e-29,5.47e-21,3.46e-46,3.4999999999999996e-61,2.43e-39,3.33e-79,2.43e-75,4.5800000000000004e-35,0.001203612,2.99e-180,4.79e-44,4.4199999999999996e-89,1.2500000000000001e-37,8.05e-100,2.59e-16,9.34e-49,6.52e-39,9.29e-46,1.81e-53,9.29e-46,3.37e-76,8.930000000000001e-79,2.5000000000000003e-66,4.86e-53,1.64e-29,3.12e-28,8.930000000000001e-79,4.2e-98,6.03e-93,8.590000000000001e-88,3.5e-58,4.71e-74,7.7e-22,4.88e-15,1.1900000000000001e-88,1.1300000000000001e-97,2.5e-45,2.35e-33,1.2999999999999999e-61,1.56e-98,4.83e-47,1.2100000000000001e-85,4.6599999999999997e-38,3.28e-82,4.6600000000000005e-77,3.4999999999999996e-61,2.0399999999999998e-108,1.07e-106,1.46e-20,6.369999999999999e-81,4.6600000000000005e-77,8.590000000000001e-88,7.900000000000001e-103,8.95e-37,9.62e-06,1.7699999999999998e-41,6.21e-87,9.200000000000001e-43,5.47e-21,6.34e-204,2.8200000000000003e-109,3.4999999999999996e-61,1.25e-76,1.2999999999999999e-61,8.72e-85,3.15e-91,4.79e-68,4.4199999999999996e-89,4.84e-62,9.36e-61,0.0,2.51e-51,0.0,3.2e-88,2.5e-63,9.39e-58,4.79e-68,6.75e-164,6.65e-05,9.36e-61,6.75e-60,2.17e-99,2.4e-78,4.73e-41,1.2600000000000002e-73,0.0,6.21e-87,9.36e-61
pfam_interaction,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A %,0.368424269,0.030278372,0.008196924,0.169587188,0.068550637,0.27375411,0.211595018,0.159414345,0.050704091,0.099567169,0.086436472,0.310857972,0.015182574,0.360200515,0.0,0.0,0.023379498,0.500227487,0.235308526,0.007580987,0.055066271,0.230397807,0.476422186,0.087656904,0.021956325,0.387264146,0.039536509,0.0,0.059742495,0.166730882,0.19540851,0.504416283,0.090689336,0.088631154,0.489277092,0.434210822,0.030298049,0.284039664,0.161363425,0.204134044,0.149546473,0.636615464,0.112020892,0.011779947,0.0,0.282083814,0.228389649,0.190196,0.0,0.303711817,0.689934697,0.36344092,0.261276113,0.42332857,0.400727016,0.006792878,0.032657797,0.17873405,0.644415074,0.099269911,0.137842223,0.000615499,0.092792131,0.254612639,0.254616351,0.015162318,0.187184756,0.408089808,0.098034913,0.033296694,0.203709816,0.175049637,0.401453006,0.22392759,0.331426347,0.297462322,0.026448496,0.019545472,0.253052359,0.319440515,0.092355314,0.453709795,0.0,0.203371264,0.070205461,0.184918144,0.107537888,0.13213017,0.0,0.057262072,0.366892003,0.083853793,0.038246591,0.030498077,0.205064427,0.587112565,0.0633876,0.13213017,0.0,0.006855146,0.154028731,0.055610437,0.047734748,0.251918545,0.517576132,0.252436412,0.475447142,0.109195249,0.084384604,0.0,0.003382959,0.0,0.452724736,0.0,0.203093879,0.125818538,0.022690363,0.118376253,0.114452485,0.072444646,0.233690417,0.097077281,0.730537921,0.022763561,0.0,0.0673437,0.514044475
