	Sample_0	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27	Sample_28	Sample_29	Sample_30	Sample_31	Sample_32	Sample_33	Sample_34	Sample_35	Sample_36	Sample_37	Sample_38	Sample_39	Sample_40	Sample_41	Sample_42	Sample_43	Sample_44	Sample_45	Sample_46	Sample_47	Sample_48	Sample_49	Sample_50	Sample_51	Sample_52	Sample_53	Sample_54	Sample_55	Sample_56	Sample_57	Sample_58	Sample_59	Sample_60	Sample_61	Sample_62	Sample_63	Sample_64	Sample_65	Sample_66	Sample_67	Sample_68	Sample_69	Sample_70	Sample_71	Sample_72	Sample_73	Sample_74	Sample_75	Sample_76	Sample_77	Sample_78	Sample_79	Sample_80	Sample_81	Sample_82	Sample_83	Sample_84	Sample_85	Sample_86	Sample_87	Sample_88	Sample_89	Sample_90	Sample_91	Sample_92	Sample_93	Sample_94	Sample_95	Sample_96	Sample_97	Sample_98	Sample_99	Sample_100	Sample_101	Sample_102	Sample_103	Sample_104	Sample_105	Sample_106	Sample_107	Sample_108	Sample_109	Sample_110	Sample_111	Sample_112	Sample_113	Sample_114	Sample_115	Sample_116	Sample_117	Sample_118	Sample_119	Sample_120	Sample_121	Sample_122	Sample_123	Sample_124	Sample_125	Sample_126	Sample_127	Sample_128	Sample_129	Sample_130	Sample_131	Sample_132	Sample_133
Feature_0	0.04128665637715729	0.05963238389224077	0.039322295496001115	0.04135681212291287	0.03770871334362284	0.021011645853795422	0.025817314438052474	0.03620036480987793	0.04549600112249193	0.06289462606987513	0.040339553809456995	0.04072541041111267	0.052371264206538516	0.017854637294794442	0.05430054721481689	0.025080679107618912	0.012277255507226041	0.022695383751929282	0.03900659464010102	0.023361863336607263	0.014732706608671249	0.03686684439455591	0.05556335063841728	0.029149712361442398	0.04405780833450259	0.028483232776764417	0.04381226322435807	0.03111407324259857	0.055668584257050645	0.05472148168935036	0.016276133015293952	0.018521116879472426	0.020941490108039848	0.05538796127402834	0.036796688648800334	0.014592395117160095	0.013294513820681912	0.03581450820822225	0.01634628876104953	0.06033394134979654	0.05970253963799634	0.0313245404798653	0.025992703802441414	0.00912024694822506	0.019187596464150414	0.019573453065806087	0.02378279781114073	0.027711519573453063	0.013048968710537394	0.028834011505542302	0.03777886908937842	0.036551143538655816	0.027185351480286234	0.015293952574715868	0.03521818436929985	0.03234179879332117	0.06878770871334361	0.02027501052336186	0.018661428370983585	0.046934193910481266	0.03798933632664515	0.02087133436228427	0.040339553809456995	0.01929283008278378	0.03830503718254525	0.031149151115476354	0.021748281184228987	0.042128525326224214	0.07085730321313315	0.051073382910060326	0.018906973481128103	0.04363687385996913	0.03865581591132314	0.02402834292128525	0.03497263925915532	0.008208222253402552	0.05665076469762873	0.02971095832748702	0.02055563350638417	0.022835695243440434	0.05752771151957345	0.023151396099340533	0.07169917216220008	0.05282727655394976	0.037813946962256206	0.038796127402834286	0.05447593657920584	0.025256068472007856	0.04591693559702539	0.03620036480987793	0.03606005331836677	0.03904167251297881	0.04489967728356952	0.058825592816051625	0.056299985968850844	0.042128525326224214	0.06784060614564333	0.019082362845517047	0.015960432159393852	0.04139188999579065	0.008523923109302651	0.03051774940367616	0.029430335344464712	0.04960011224919321	0.03321874561526589	0.047284972639259154	0.017328469201627613	0.02031008839623965	0.03044759365792058	0.026869650624386135	0.02083625648940648	0.058825592816051625	0.034656938403255226	0.0350427950049109	0.020695944997895326	0.044198119826013745	0.06114073242598569	0.02588747018380805	0.0213975024554511	0.03265749964922127	0.014381927879893362	0.028027220429353163	0.027395818717552964	0.03269257752209906	0.055843973621439585	0.040234320190823625	0.04300547214816893	0.01904728497263926	0.02669426125999719	0.026904728497263924	0.029465413217342497	0.02409849866704083	0.0412515785042795	0.04616248070716991
Feature_1	0.04128665637715729	0.05963238389224077	0.039322295496001115	0.04135681212291287	0.03770871334362284	0.021011645853795422	0.025817314438052474	0.03620036480987793	0.04549600112249193	0.06289462606987513	0.040339553809456995	0.04072541041111267	0.052371264206538516	0.017854637294794442	0.05430054721481689	0.025080679107618912	0.012277255507226041	0.022695383751929282	0.03900659464010102	0.023361863336607263	0.014732706608671249	0.03686684439455591	0.05556335063841728	0.029149712361442398	0.04405780833450259	0.028483232776764417	0.04381226322435807	0.03111407324259857	0.055668584257050645	0.05472148168935036	0.016276133015293952	0.018521116879472426	0.020941490108039848	0.05538796127402834	0.036796688648800334	0.014592395117160095	0.013294513820681912	0.03581450820822225	0.01634628876104953	0.06033394134979654	0.05970253963799634	0.0313245404798653	0.025992703802441414	0.00912024694822506	0.019187596464150414	0.019573453065806087	0.02378279781114073	0.027711519573453063	0.013048968710537394	0.028834011505542302	0.03777886908937842	0.036551143538655816	0.027185351480286234	0.015293952574715868	0.03521818436929985	0.03234179879332117	0.06878770871334361	0.02027501052336186	0.018661428370983585	0.046934193910481266	0.03798933632664515	0.02087133436228427	0.040339553809456995	0.01929283008278378	0.03830503718254525	0.031149151115476354	0.021748281184228987	0.042128525326224214	0.07085730321313315	0.051073382910060326	0.018906973481128103	0.04363687385996913	0.03865581591132314	0.02402834292128525	0.03497263925915532	0.008208222253402552	0.05665076469762873	0.02971095832748702	0.02055563350638417	0.022835695243440434	0.05752771151957345	0.023151396099340533	0.07169917216220008	0.05282727655394976	0.037813946962256206	0.038796127402834286	0.05447593657920584	0.025256068472007856	0.04591693559702539	0.03620036480987793	0.03606005331836677	0.03904167251297881	0.04489967728356952	0.058825592816051625	0.056299985968850844	0.042128525326224214	0.06784060614564333	0.019082362845517047	0.015960432159393852	0.04139188999579065	0.008523923109302651	0.03051774940367616	0.029430335344464712	0.04960011224919321	0.03321874561526589	0.047284972639259154	0.017328469201627613	0.02031008839623965	0.03044759365792058	0.026869650624386135	0.02083625648940648	0.058825592816051625	0.034656938403255226	0.0350427950049109	0.020695944997895326	0.044198119826013745	0.06114073242598569	0.02588747018380805	0.0213975024554511	0.03265749964922127	0.014381927879893362	0.028027220429353163	0.027395818717552964	0.03269257752209906	0.055843973621439585	0.040234320190823625	0.04300547214816893	0.01904728497263926	0.02669426125999719	0.026904728497263924	0.029465413217342497	0.02409849866704083	0.0412515785042795	0.04616248070716991
Feature_2	0.03297320050512137	0.05019643608811561	0.04577662410551424	0.06415742949347551	0.046828960291847896	0.02964080258173144	0.023642486319629577	0.03385014732706609	0.055528272765539496	0.04851269818998176	0.04500491090220289	0.03630559842851129	0.024800056124596605	0.0316402413357654	0.03760347972498947	0.01680230110846078	0.02837799915813105	0.09162340395678405	0.022555072260418127	0.04889855479163743	0.01869650624386137	0.05047705907113793	0.04889855479163743	0.03928721762312333	0.035709274589588884	0.03265749964922127	0.05412515785042795	0.042023291707590844	0.05037182545250456	0.04644310369019222	0.043671951732846916	0.03044759365792058	0.035709274589588884	0.05430054721481689	0.03521818436929985	0.031219306861231932	0.02736074084467518	0.028763855759786724	0.03160516346288761	0.039708152097656796	0.028834011505542302	0.024449277395818717	0.06984004489967728	0.012698189981759506	0.045039988775080676	0.03262242177634348	0.030728216640942888	0.018450961133716852	0.022484916514662546	0.032447032411954534	0.04567139048688087	0.04381226322435807	0.05356391188438332	0.045566156868247505	0.04209344745334643	0.02515083485337449	0.03984846358916795	0.040234320190823625	0.03360460221692156	0.046022169215658756	0.06366633927318648	0.05735232215518451	0.04416304195313596	0.05128385014732706	0.05068752630840465	0.03714746737757822	0.025536691455030163	0.035077872877788685	0.05412515785042795	0.04496983302932509	0.03714746737757822	0.041707590851690755	0.04739020625789252	0.03279781114073242	0.03648098779290024	0.02648379402273046	0.05963238389224077	0.051704784621860525	0.03142977409849866	0.02220429353164024	0.02627332678546373	0.02918479023432019	0.036691455030166964	0.05359898975726112	0.06093026518871895	0.05430054721481689	0.03858566016556756	0.030868528132454047	0.035639118843833306	0.02837799915813105	0.0409358776483794	0.038164725691034095	0.030693138768065103	0.04753051774940367	0.02620317103970815	0.03981338571629016	0.029254945980075768	0.0257471586922969	0.03335905710677704	0.031184228988354146	0.029360179598709134	0.05030166970674898	0.02564192507366353	0.031184228988354146	0.03946260698751228	0.045039988775080676	0.03206117581029886	0.041321734250035075	0.02055563350638417	0.036551143538655816	0.017188157710116458	0.04012908657219026	0.02083625648940648	0.02458958888732987	0.038059492072400725	0.03767363547074505	0.05051213694401571	0.027045039988775076	0.03402553669145503	0.01280342360039287	0.03307843412375473	0.04353164024133576	0.04328609513119124	0.02483513399747439	0.04072541041111267	0.05472148168935036	0.051704784621860525	0.028097376175108737	0.05963238389224077	0.047846218605303775	0.022695383751929282	0.02266030587905149	0.050056124596604454	0.021783359057106776
Feature_3	0.029290023852953553	0.058404658341518166	0.015960432159393852	0.03479724989476638	0.028974322997053454	0.021187035218184366	0.026659183387119402	0.03188578644590992	0.045285533885225195	0.041777746597446326	0.0359548196997334	0.03020204854777606	0.03991861933492353	0.03893643889434544	0.026589027641363824	0.030482671530798373	0.03956784060614564	0.02736074084467518	0.024519433141574294	0.016276133015293952	0.02679949487863056	0.04563631261400308	0.04461905430054721	0.05338852251999438	0.041041111267012764	0.027290585098919597	0.04496983302932509	0.050336747579626764	0.014662550862915671	0.0350427950049109	0.053318366774238804	0.038515504419811976	0.022239371404518028	0.04374210747860249	0.027501052336186334	0.033815069454188294	0.05556335063841728	0.03206117581029886	0.03030728216640943	0.03293812263224358	0.033113511996632525	0.017503858566016554	0.02560684720078574	0.024940367616107757	0.024273888031429772	0.04809176371544829	0.02627332678546373	0.04121650063140171	0.03209625368317665	0.027501052336186334	0.03427108180159955	0.02992142556475375	0.03539357373368879	0.046232636452925496	0.02918479023432019	0.013294513820681912	0.031675319208643186	0.02813245404798653	0.032026097937421075	0.03732285674196717	0.039427529114634485	0.04040970955521257	0.03395538094569945	0.05265188718956082	0.02964080258173144	0.02722042935316402	0.02862354426827557	0.03830503718254525	0.033709835835554924	0.0666479584677985	0.01743370282026098	0.06008839623965203	0.04514522239371404	0.03377999158131051	0.05202048547776063	0.0505472148168935	0.0403044759365792	0.044654132173424996	0.05724708853655114	0.03097376175108741	0.021081801599551003	0.04514522239371404	0.05103830503718254	0.02416865441279641	0.03560404097095552	0.026133015293952573	0.03153500771713203	0.025677002946541322	0.02539637996351901	0.035989897572611194	0.027501052336186334	0.03728777886908938	0.022590150133295916	0.04139188999579065	0.01974884243019503	0.02669426125999719	0.05682615406201767	0.02858846639539778	0.024484355268696502	0.037077311631822644	0.0548968710537393	0.037252700996211585	0.02416865441279641	0.013259435947804123	0.032026097937421075	0.06089518731584116	0.04275992703802441	0.030833450259576258	0.015960432159393852	0.02350217482811842	0.011400308685281324	0.02564192507366353	0.025045601234741127	0.039532762733267855	0.03321874561526589	0.03830503718254525	0.01469762873579346	0.032552266030587904	0.03728777886908938	0.029009400869931246	0.05359898975726112	0.03030728216640943	0.03195594219166549	0.03209625368317665	0.01361021467658201	0.058825592816051625	0.05910621579907394	0.04489967728356952	0.03956784060614564	0.02430896590430756	0.0192226743370282	0.024203732285674195	0.04083064402974604	0.011856321032692576
Feature_4	0.028553388522519995	0.0356741967167111	0.031219306861231932	0.03528834011505542	0.03556896309807773	0.037252700996211585	0.04047986530096815	0.03795425845376736	0.03458678265749964	0.03770871334362284	0.03525326224217763	0.04090079977550161	0.03648098779290024	0.036901922267433704	0.030658060895187314	0.03213133155605444	0.031043917496842988	0.027080117861652868	0.030342360039287215	0.04181282447032412	0.0316402413357654	0.039883541462045737	0.03216640942893223	0.04409288620738038	0.034095692437210605	0.0356741967167111	0.03416584818296618	0.029605724708853656	0.03648098779290024	0.034656938403255226	0.034095692437210605	0.03539357373368879	0.030658060895187314	0.032867966886488	0.03374491370843272	0.039532762733267855	0.04002385295355689	0.030938683878209625	0.03830503718254525	0.03525326224217763	0.03469201627613301	0.032201487301810015	0.023081240353584956	0.018871895608250314	0.025922548056685844	0.031078995369720776	0.03500771713203311	0.035709274589588884	0.030938683878209625	0.03700715588606707	0.03700715588606707	0.03718254525045601	0.037813946962256206	0.03395538094569945	0.04058509891960151	0.02722042935316402	0.035077872877788685	0.033815069454188294	0.040795566156868246	0.03746316823347832	0.03304335625087695	0.03385014732706609	0.03591974182685562	0.0406201767924793	0.037077311631822644	0.03178055282727655	0.031149151115476354	0.040339553809456995	0.034656938403255226	0.04026939806370141	0.03683176652167812	0.037252700996211585	0.03314858986951031	0.041882980216079696	0.03819980356391189	0.03918198400448997	0.03262242177634348	0.040865721902623824	0.04016416444506805	0.036445909920022446	0.030938683878209625	0.04174266872456854	0.04258453767363547	0.02872877788690894	0.03963799635190122	0.03493756138627753	0.040234320190823625	0.03448154903886628	0.03528834011505542	0.028693700014031147	0.02732566297179739	0.03469201627613301	0.03732285674196717	0.03858566016556756	0.038971516767223234	0.03560404097095552	0.041707590851690755	0.04209344745334643	0.03227164304756559	0.038971516767223234	0.040339553809456995	0.03500771713203311	0.03704223375894485	0.03469201627613301	0.031394696225620876	0.04026939806370141	0.03697207801318928	0.03521818436929985	0.03223656517468781	0.03742809036060053	0.02669426125999719	0.034551704784621856	0.03360460221692156	0.033709835835554924	0.03293812263224358	0.04219868107197979	0.029816191946120386	0.04307562789392451	0.039146906131612175	0.042970394275291146	0.04251438192787989	0.038515504419811976	0.0387610495299565	0.03883120527571208	0.03514802862354427	0.03855058229268977	0.039988775080679106	0.038059492072400725	0.03423600392872176	0.039146906131612175	0.038796127402834286	0.03293812263224358	0.041882980216079696	0.02536130209064122
Feature_5	0.04181282447032412	0.0403044759365792	0.03521818436929985	0.03142977409849866	0.03297320050512137	0.032026097937421075	0.04626771432580328	0.03283288901361021	0.03623544268275571	0.03904167251297881	0.03749824610635611	0.04016416444506805	0.04553107899536972	0.02627332678546373	0.033394134979654835	0.026378560404097095	0.022555072260418127	0.027115195734530657	0.03128946260698751	0.029219868107197976	0.020976567980917633	0.03560404097095552	0.029500491090220286	0.03904167251297881	0.046022169215658756	0.0387610495299565	0.029009400869931246	0.022695383751929282	0.026518871895608247	0.03427108180159955	0.029360179598709134	0.04044478742809036	0.02893924512417567	0.03346429072541041	0.04181282447032412	0.03420092605584397	0.02995650343763154	0.033920303072821664	0.038971516767223234	0.028413077031008836	0.03476217202188859	0.03837519292830083	0.024800056124596605	0.015434264066227023	0.02266030587905149	0.029009400869931246	0.03076329451382068	0.0344113932931107	0.030903606005331832	0.0365862214115336	0.03939245124175669	0.03539357373368879	0.04644310369019222	0.03637575417426687	0.04219868107197979	0.03542865160656657	0.031675319208643186	0.030552827276553944	0.03420092605584397	0.04532061175810298	0.029570646835975864	0.03402553669145503	0.0387610495299565	0.045390767503858565	0.03532341798793321	0.025992703802441414	0.036901922267433704	0.03981338571629016	0.03623544268275571	0.04861793180861512	0.043215939385435664	0.041777746597446326	0.04019924231794583	0.0381296478181563	0.03770871334362284	0.034095692437210605	0.03637575417426687	0.04405780833450259	0.035358495860810996	0.03539357373368879	0.029360179598709134	0.03206117581029886	0.04472428791918058	0.030938683878209625	0.036270520555633505	0.03469201627613301	0.03153500771713203	0.03178055282727655	0.030131892802020485	0.02964080258173144	0.027921986810719793	0.04198821383471306	0.0334993685982882	0.03946260698751228	0.03469201627613301	0.032447032411954534	0.04640802581731444	0.05030166970674898	0.04055002104672372	0.05359898975726112	0.041497123614424015	0.028763855759786724	0.036445909920022446	0.04083064402974604	0.039988775080679106	0.03704223375894485	0.03921706187736775	0.022940928862073804	0.030096814929142693	0.03732285674196717	0.02539637996351901	0.040690332538234876	0.042865160656657776	0.03728777886908938	0.03402553669145503	0.031745474954398764	0.030728216640942888	0.05009120246948225	0.05454609232496141	0.058860670688929424	0.03549880735232215	0.03858566016556756	0.039427529114634485	0.0365862214115336	0.0505472148168935	0.03532341798793321	0.04216360319910201	0.03865581591132314	0.026133015293952573	0.03486740564052196	0.03648098779290024	0.04388241897011365	0.027185351480286234	0.029360179598709134
Feature_6	0.03921706187736775	0.047074505401992414	0.027886908937842007	0.03346429072541041	0.01873158411673916	0.01715307983723867	0.03486740564052196	0.04002385295355689	0.04314578363968009	0.0365862214115336	0.033183667742388095	0.06412235162059772	0.02192367054861793	0.04416304195313596	0.029746036200364808	0.03160516346288761	0.05998316262101866	0.028237687666619896	0.02132734670969552	0.05082783779991581	0.016521678125438474	0.05079275992703802	0.024133576539918617	0.04135681212291287	0.04472428791918058	0.027711519573453063	0.05707169917216219	0.027571208081941908	0.018871895608250314	0.04626771432580328	0.042303914690613155	0.046372947944436645	0.016942612599971936	0.03963799635190122	0.023747719938262944	0.034621860530377434	0.04977550161358215	0.042935316402413354	0.038796127402834286	0.03732285674196717	0.03030728216640943	0.030622983022309525	0.03342921285253262	0.016451522379682896	0.022169215658762453	0.02971095832748702	0.061912445629297035	0.025712080819419107	0.040760488283990454	0.02904447874280903	0.03683176652167812	0.05787849024835134	0.03756840185211168	0.04409288620738038	0.04788129647818156	0.01838080538796127	0.03209625368317665	0.04040970955521257	0.04381226322435807	0.036270520555633505	0.046723726673214526	0.05303774379121649	0.04121650063140171	0.044934755156447306	0.022730461624807068	0.03297320050512137	0.041707590851690755	0.01981899817595061	0.029114634488564613	0.052371264206538516	0.060649642205696644	0.026518871895608247	0.04472428791918058	0.058509891960151536	0.02031008839623965	0.026904728497263924	0.03963799635190122	0.04272484916514662	0.03620036480987793	0.023888031429774095	0.041041111267012764	0.07057668023011084	0.038059492072400725	0.031078995369720776	0.03076329451382068	0.018942051354005892	0.02266030587905149	0.02669426125999719	0.031394696225620876	0.017819559421916653	0.03020204854777606	0.054511014452083624	0.021748281184228987	0.03984846358916795	0.022274449277395816	0.02595762592956363	0.0691384874421215	0.04065525466535709	0.029816191946120386	0.049214255647537536	0.033569524344043776	0.034727094149010804	0.026869650624386135	0.028448154903886625	0.03265749964922127	0.036551143538655816	0.037849024835134	0.04609232496141434	0.036270520555633505	0.03160516346288761	0.023011084607829378	0.02564192507366353	0.03995369720780132	0.01981899817595061	0.02409849866704083	0.031570085590009817	0.02409849866704083	0.03756840185211168	0.0456012347411253	0.0725761189841448	0.05310789953697208	0.027290585098919597	0.027886908937842007	0.038725971657078716	0.018100182404938964	0.02132734670969552	0.03700715588606707	0.039778307843412374	0.03760347972498947	0.02781675319208643	0.030377437912165003	0.03869089378420092	0.035884663953977824	0.022063982040129083
Feature_7	0.06538515504419812	0.021257190963939944	0.05665076469762873	0.02087133436228427	0.01687245685421636	0.05282727655394976	0.034095692437210605	0.04861793180861512	0.04111126701276834	0.018345727515083482	0.034656938403255226	0.022414760768906975	0.021537813946962255	0.042023291707590844	0.04496983302932509	0.06159674477339693	0.029360179598709134	0.0427950049109022	0.07148870492493335	0.025010523361863334	0.009681492914269679	0.027290585098919597	0.04360179598709134	0.008909779710958327	0.03858566016556756	0.032727655394976844	0.018801739862494737	0.020976567980917633	0.017047846218605302	0.023572330573874	0.02539637996351901	0.01873158411673916	0.04903886628314859	0.029465413217342497	0.05931668303634067	0.043671951732846916	0.04468921004630279	0.040795566156868246	0.02409849866704083	0.02669426125999719	0.03227164304756559	0.05528272765539497	0.019257752209905988	0.05966746176511856	0.028167531920864314	0.04216360319910201	0.025571769327907955	0.045110144520836254	0.07566297179739019	0.030377437912165003	0.011330152939525745	0.045110144520836254	0.02676441700575277	0.051424161638838214	0.02185351480286235	0.022063982040129083	0.020134699031850705	0.032447032411954534	0.021818436929984565	0.02627332678546373	0.02185351480286235	0.040058930826434684	0.04812684158832608	0.02266030587905149	0.019433141574294932	0.05938683878209625	0.06121088817174126	0.014802862354426828	0.013259435947804123	0.014031149151115476	0.05370422337589448	0.024975445488985545	0.04781114073242598	0.017819559421916653	0.023607408446751785	0.04314578363968009	0.051424161638838214	0.015329030447593657	0.030728216640942888	0.06685842570506524	0.05791356812122912	0.02736074084467518	0.01094429633787007	0.042970394275291146	0.033709835835554924	0.02518591272625228	0.033183667742388095	0.04553107899536972	0.04437350919040269	0.020380244141995227	0.07485618072120107	0.022590150133295916	0.03290304475936579	0.02055563350638417	0.02781675319208643	0.03921706187736775	0.006524484355268697	0.028202609793742107	0.07254104111126701	0.013434825312193067	0.023326785463729478	0.030587905149431736	0.03016697067489827	0.03416584818296618	0.009015013329591693	0.012698189981759506	0.040760488283990454	0.017258313455872035	0.05293251017258313	0.040514943173845935	0.1156868247509471	0.044759365792058366	0.05843973621439595	0.06412235162059772	0.05780833450259576	0.015925354286516064	0.028974322997053454	0.026027781675319207	0.026308404658341517	0.01841588326083906	0.025466535709274585	0.020801178616528693	0.020695944997895326	0.029605724708853656	0.022099059913006872	0.007717132033113512	0.013504981057948645	0.02813245404798653	0.019538375192928302	0.04275992703802441	0.04724989476638136	0.029605724708853656	0.015118563210326926	0.08194191104251437
Feature_8	0.03918198400448997	0.032447032411954534	0.037813946962256206	0.030482671530798373	0.029500491090220286	0.03335905710677704	0.022940928862073804	0.02722042935316402	0.031219306861231932	0.02437912165006314	0.0359548196997334	0.025326224217763434	0.03251718815771012	0.030482671530798373	0.02423881015855198	0.021467658201206677	0.025817314438052474	0.021607969692717832	0.035639118843833306	0.021116879472428792	0.02055563350638417	0.02423881015855198	0.02641363827697488	0.025115756980496697	0.040865721902623824	0.04174266872456854	0.049109022028904166	0.0480566858425705	0.05447593657920584	0.053879612740283425	0.019538375192928302	0.050897993545671386	0.036270520555633505	0.02031008839623965	0.03142977409849866	0.020695944997895326	0.015118563210326926	0.03160516346288761	0.030412515785042792	0.04626771432580328	0.06591132313736495	0.04567139048688087	0.032026097937421075	0.018906973481128103	0.024449277395818717	0.025220990599130067	0.03265749964922127	0.034095692437210605	0.037357934614844955	0.041321734250035075	0.030658060895187314	0.024729900378841024	0.03497263925915532	0.024905289743229968	0.029114634488564613	0.09976147046443103	0.04083064402974604	0.030622983022309525	0.028167531920864314	0.03946260698751228	0.022099059913006872	0.021292268836817736	0.035744352462466676	0.025571769327907955	0.036445909920022446	0.012943735091904026	0.033183667742388095	0.03841027080117861	0.03826995930966746	0.028237687666619896	0.03342921285253262	0.035358495860810996	0.023888031429774095	0.029465413217342497	0.031675319208643186	0.0567559983162621	0.02995650343763154	0.04314578363968009	0.04325101725831345	0.029254945980075768	0.027185351480286234	0.036551143538655816	0.02462466676020766	0.03420092605584397	0.03374491370843272	0.036691455030166964	0.031219306861231932	0.03234179879332117	0.024940367616107757	0.046758804546092325	0.05065244843552687	0.06471867545952013	0.06040409709555212	0.04756559562228146	0.07271643047565596	0.02999158131050933	0.031008839623965202	0.033113511996632525	0.03293812263224358	0.038725971657078716	0.033815069454188294	0.0586151255787849	0.059351760909218454	0.06194752350217482	0.06142135540900799	0.06710397081520976	0.028518310649642203	0.042128525326224214	0.04167251297881296	0.029079556615686824	0.03388522519994387	0.029886347691875963	0.045039988775080676	0.03262242177634348	0.0403044759365792	0.02515083485337449	0.06980496702679949	0.03623544268275571	0.027746597446330852	0.03539357373368879	0.029535568963098075	0.049073944156026374	0.047916374351059346	0.05963238389224077	0.0384453486740564	0.0254314578363968	0.035183106496422055	0.027080117861652868	0.03448154903886628	0.03388522519994387	0.03995369720780132	0.03185070857303213	0.03346429072541041	0.08183667742388101
Feature_9	0.04903886628314859	0.020239932650484075	0.03514802862354427	0.04553107899536972	0.04356671811421355	0.04416304195313596	0.021537813946962255	0.033394134979654835	0.034376315420232915	0.02266030587905149	0.027501052336186334	0.025677002946541322	0.03798933632664515	0.01680230110846078	0.040234320190823625	0.024975445488985545	0.02837799915813105	0.024449277395818717	0.06114073242598569	0.02669426125999719	0.04139188999579065	0.024519433141574294	0.03269257752209906	0.018521116879472426	0.06100042093447453	0.04640802581731444	0.03377999158131051	0.0313245404798653	0.06559562228146484	0.09204433843131751	0.05072260418128244	0.03700715588606707	0.05724708853655114	0.042935316402413354	0.03686684439455591	0.01974884243019503	0.029746036200364808	0.03602497544548899	0.034727094149010804	0.05230110846078293	0.03774379121650063	0.043496562368457975	0.017258313455872035	0.012698189981759506	0.02536130209064122	0.03290304475936579	0.0741195453907675	0.04570646835975867	0.05314297740984986	0.03188578644590992	0.040339553809456995	0.017714325803283287	0.04265469341939104	0.015434264066227023	0.025536691455030163	0.1478181563070015	0.05980777325662971	0.06633225761189841	0.03956784060614564	0.026062859548196995	0.025466535709274585	0.0313245404798653	0.02136242458257331	0.0542654693419391	0.045460923249614135	0.02939525747158692	0.03178055282727655	0.04356671811421355	0.034095692437210605	0.0192226743370282	0.040690332538234876	0.03293812263224358	0.02722042935316402	0.025080679107618912	0.042865160656657776	0.03848042654693419	0.019082362845517047	0.02893924512417567	0.03549880735232215	0.022063982040129083	0.019538375192928302	0.01680230110846078	0.013750526168093167	0.035639118843833306	0.027080117861652868	0.044022730461624804	0.026308404658341517	0.03051774940367616	0.017047846218605302	0.02083625648940648	0.03648098779290024	0.06268415883260839	0.042233758944857584	0.025536691455030163	0.04047986530096815	0.04121650063140171	0.031675319208643186	0.04219868107197979	0.04142696786866844	0.036691455030166964	0.03269257752209906	0.04833730882559282	0.04135681212291287	0.03841027080117861	0.01413638276974884	0.025922548056685844	0.02529114634488564	0.024764978251718812	0.01901220709976147	0.027641363827697486	0.028974322997053454	0.02192367054861793	0.03178055282727655	0.024414199522940924	0.03399045881857724	0.034727094149010804	0.07440016837378981	0.029465413217342497	0.04542584537673635	0.032727655394976844	0.016170899396660585	0.046899116037603474	0.04174266872456854	0.035744352462466676	0.044864599410691736	0.019187596464150414	0.03791918058088957	0.024449277395818717	0.02700996211589729	0.024905289743229968	0.040865721902623824	0.026729339132874983	0.027395818717552964	0.03427108180159955
