	Sample_0	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27	Sample_28	Sample_29	Sample_30	Sample_31	Sample_32	Sample_33	Sample_34	Sample_35	Sample_36	Sample_37	Sample_38	Sample_39	Sample_40	Sample_41	Sample_42	Sample_43	Sample_44	Sample_45	Sample_46	Sample_47	Sample_48	Sample_49	Sample_50	Sample_51	Sample_52	Sample_53	Sample_54	Sample_55	Sample_56	Sample_57	Sample_58	Sample_59	Sample_60	Sample_61	Sample_62	Sample_63	Sample_64	Sample_65	Sample_66	Sample_67	Sample_68	Sample_69	Sample_70	Sample_71	Sample_72	Sample_73	Sample_74	Sample_75	Sample_76	Sample_77	Sample_78	Sample_79	Sample_80	Sample_81	Sample_82	Sample_83	Sample_84	Sample_85	Sample_86	Sample_87	Sample_88	Sample_89	Sample_90	Sample_91	Sample_92	Sample_93	Sample_94	Sample_95	Sample_96	Sample_97	Sample_98	Sample_99	Sample_100	Sample_101	Sample_102	Sample_103	Sample_104	Sample_105	Sample_106	Sample_107	Sample_108	Sample_109	Sample_110	Sample_111	Sample_112	Sample_113	Sample_114	Sample_115	Sample_116	Sample_117	Sample_118	Sample_119	Sample_120	Sample_121	Sample_122	Sample_123	Sample_124	Sample_125	Sample_126	Sample_127	Sample_128	Sample_129	Sample_130	Sample_131	Sample_132	Sample_133
Feature_0	-4.598180603990563	-4.067760178003942	-4.66850864622358	-4.595731206049244	-4.728958264552184	-5.572667016240221	-5.275517252971993	-4.787851953605752	-4.458116444777307	-3.9909194361606315	-4.631661063197269	-4.61792695216344	-4.255080758894465	-5.807557362953311	-4.202889452884596	-5.317279777363255	-6.347868097196677	-5.461457307036499	-4.680138136305499	-5.419700841957745	-6.084833691362884	-4.761532255066828	-4.169722588949397	-5.100374542258662	-4.504458460137379	-5.13374329184383	-4.512521447421049	-5.006288914727943	-4.166992796193825	-4.191748895279396	-5.9410982139014346	-5.754685089670553	-5.577492087764202	-4.174283753168769	-4.764280246451739	-6.098639490887915	-6.233025170857915	-4.803312058151206	-5.934893064374727	-4.050886359439546	-4.066063887343044	-4.996562843907784	-5.2657494767231725	-6.776711396000552	-5.70368218623645	-5.674957897199819	-5.3939377458926625	-5.173370365964542	-6.259920397920975	-5.116084625347324	-4.726276674484799	-4.773939646750498	-5.201026708867406	-6.03089488425208	-4.8275356550782345	-4.950456268599669	-3.8617053888368575	-5.624153526528328	-5.743796773527817	-4.413216808387546	-4.71826168142068	-5.582333350833701	-4.631661063197269	-5.695791400616985	-4.706322068109154	-5.0046633426789	-5.522954803754769	-4.5690587733233725	-3.8189396313898496	-4.29128456883031	-5.724937746276501	-4.518308438898404	-4.6931707004578485	-5.3791190311811174	-4.837629514630811	-6.9287144894456025	-4.1417607594477195	-5.072861049696808	-5.604322354606759	-5.452565475863371	-4.119599109523561	-5.43275699478319	-3.801899728091385	-4.242573154357078	-4.724937746276501	-4.6879435387943	-4.198237094641705	-5.307226112699332	-4.444829827083765	-4.787851953605752	-4.793454659835128	-4.678841331687047	-4.477151114141644	-4.087412235464661	-4.150721627019341	-4.5690587733233725	-3.881707129552165	-5.711616367778667	-5.969356473942948	-4.594508064779803	-6.874266705423226	-5.034207618292916	-5.086552208589183	-4.333512804219607	-4.911858593560622	-4.402474427847148	-5.850711977444329	-5.62165967103977	-5.037527976584527	-5.217878627104049	-5.584760088228241	-4.087412235464661	-4.850711977444329	-4.834738341236588	-5.594508064779803	-4.499871190641728	-4.031722354903321	-5.2716022029686105	-5.546413776578758	-4.936441851470213	-6.119599109523561	-5.15702751610103	-5.189900470887027	-4.934893064374727	-4.162454588485358	-4.635429533013181	-4.539335945338225	-5.714270821224645	-5.227326565525461	-5.215996441526073	-5.084833691362884	-5.374912920210907	-4.599406864192642	-4.437135435293765
Feature_1	-4.598180603990563	-4.067760178003942	-4.66850864622358	-4.595731206049244	-4.728958264552184	-5.572667016240221	-5.275517252971993	-4.787851953605752	-4.458116444777307	-3.9909194361606315	-4.631661063197269	-4.61792695216344	-4.255080758894465	-5.807557362953311	-4.202889452884596	-5.317279777363255	-6.347868097196677	-5.461457307036499	-4.680138136305499	-5.419700841957745	-6.084833691362884	-4.761532255066828	-4.169722588949397	-5.100374542258662	-4.504458460137379	-5.13374329184383	-4.512521447421049	-5.006288914727943	-4.166992796193825	-4.191748895279396	-5.9410982139014346	-5.754685089670553	-5.577492087764202	-4.174283753168769	-4.764280246451739	-6.098639490887915	-6.233025170857915	-4.803312058151206	-5.934893064374727	-4.050886359439546	-4.066063887343044	-4.996562843907784	-5.2657494767231725	-6.776711396000552	-5.70368218623645	-5.674957897199819	-5.3939377458926625	-5.173370365964542	-6.259920397920975	-5.116084625347324	-4.726276674484799	-4.773939646750498	-5.201026708867406	-6.03089488425208	-4.8275356550782345	-4.950456268599669	-3.8617053888368575	-5.624153526528328	-5.743796773527817	-4.413216808387546	-4.71826168142068	-5.582333350833701	-4.631661063197269	-5.695791400616985	-4.706322068109154	-5.0046633426789	-5.522954803754769	-4.5690587733233725	-3.8189396313898496	-4.29128456883031	-5.724937746276501	-4.518308438898404	-4.6931707004578485	-5.3791190311811174	-4.837629514630811	-6.9287144894456025	-4.1417607594477195	-5.072861049696808	-5.604322354606759	-5.452565475863371	-4.119599109523561	-5.43275699478319	-3.801899728091385	-4.242573154357078	-4.724937746276501	-4.6879435387943	-4.198237094641705	-5.307226112699332	-4.444829827083765	-4.787851953605752	-4.793454659835128	-4.678841331687047	-4.477151114141644	-4.087412235464661	-4.150721627019341	-4.5690587733233725	-3.881707129552165	-5.711616367778667	-5.969356473942948	-4.594508064779803	-6.874266705423226	-5.034207618292916	-5.086552208589183	-4.333512804219607	-4.911858593560622	-4.402474427847148	-5.850711977444329	-5.62165967103977	-5.037527976584527	-5.217878627104049	-5.584760088228241	-4.087412235464661	-4.850711977444329	-4.834738341236588	-5.594508064779803	-4.499871190641728	-4.031722354903321	-5.2716022029686105	-5.546413776578758	-4.936441851470213	-6.119599109523561	-5.15702751610103	-5.189900470887027	-4.934893064374727	-4.162454588485358	-4.635429533013181	-4.539335945338225	-5.714270821224645	-5.227326565525461	-5.215996441526073	-5.084833691362884	-5.374912920210907	-4.599406864192642	-4.437135435293765
Feature_2	-4.922562262464007	-4.3162712523023385	-4.44924511757176	-3.96223984928029	-4.41645518245409	-5.076271677859459	-5.402474427847148	-4.884694076873564	-4.170633668891825	-4.365493767878513	-4.473773753939324	-4.7836641566423195	-5.333512804219607	-4.982095585773625	-4.732990018571234	-5.8951973632928265	-5.139083316599029	-3.4481400274825758	-5.470404281701059	-4.3540643631605835	-5.741087486269831	-4.308228332288708	-4.3540643631605835	-4.66979619208404	-4.807557362953311	-4.936441851470213	-4.207556862458271	-4.572667016240221	-4.311239175205955	-4.428391802221789	-4.517149182073563	-5.037527976584527	-4.807557362953311	-4.202889452884596	-4.8275356550782345	-5.001417683175246	-5.191748895279396	-5.119599109523561	-4.983695913215468	-4.654420966197124	-5.116084625347324	-5.3540643631605835	-3.839801703308504	-6.299233321945801	-4.472649721906704	-4.937992303033613	-5.024292149427834	-5.760160219736704	-5.474898662410266	-4.945769653625332	-4.452565475863371	-4.512521447421049	-4.222594862232155	-4.455893493581126	-4.570260518533125	-5.313249900327102	-4.649332089524324	-4.635429533013181	-4.8951973632928265	-4.441527204410923	-3.9733253761458935	-4.124004288643562	-4.50101664130999	-4.285351613076569	-4.302225431640966	-4.75059233503667	-5.29128456883031	-4.833294924366919	-4.207556862458271	-4.474898662410266	-4.75059233503667	-4.583546209283351	-4.399267249703322	-4.930256654254007	-4.776711396000552	-5.238746374816565	-4.067760178003942	-4.273558399933937	-4.991724286971403	-5.493017519600666	-5.250257300570255	-5.098639490887915	-4.768412072782065	-4.221650380993258	-4.036697170318614	-4.202889452884596	-4.695791400616985	-5.0177194955043465	-4.810394522256841	-5.139083316599029	-4.6104903633216585	-4.711616367778667	-5.025940002309316	-4.395002072787773	-5.25411477623977	-4.65060262685073	-5.095175635584343	-5.279442956185794	-4.905777678168443	-5.003039600199236	-5.089995396478662	-4.313249900327102	-5.285351613076569	-5.003039600199236	-4.663369922924607	-4.472649721906704	-4.963028853970937	-4.596955385198545	-5.604322354606759	-4.773939646750498	-5.862441270026436	-4.639207872250617	-5.584760088228241	-5.345808575018384	-4.715599881697165	-4.730300931043594	-4.307226112699332	-5.208492159113972	-4.877238271954517	-6.287326555261627	-4.91796524835391	-4.52179180889865	-4.529952529879589	-5.331473658946009	-4.61792695216344	-4.191748895279396	-4.273558399933937	-5.153420776620297	-4.067760178003942	-4.385451280004834	-5.461457307036499	-5.463688854335082	-4.3203095895532435	-5.520629750808525
Feature_3	-5.093446821667592	-4.097772747070382	-5.969356473942948	-4.8448828986421315	-5.109081237609561	-5.560674469703928	-5.229223600698059	-4.9709427248349	-4.464805923721816	-4.581121511164892	-4.797671014636198	-5.049209781632163	-4.646794366722425	-4.6827352477915385	-5.233025170857915	-5.035866842214606	-4.659527856630213	-5.191748895279396	-5.34993056365357	-5.9410982139014346	-5.221650380993258	-4.453673962311211	-4.486196253744652	-4.227326565525461	-4.60678639455824	-5.195452864042815	-4.474898662410266	-4.312244187465956	-6.091720076948124	-4.834738341236588	-4.229223600698059	-4.698416870023808	-5.4907401788896	-4.514833459199337	-5.184369364913798	-4.886189872799045	-4.169722588949397	-4.963028853970937	-5.044191706865538	-4.924097861375232	-4.916436159667165	-5.836183203691746	-5.287326555261627	-5.325373459409591	-5.364450981392282	-4.378066353249781	-5.250257300570255	-4.6006341675766445	-4.961451275857602	-5.184369364913798	-4.866864457060621	-5.0626772777107165	-4.8203687499226495	-4.434944554020955	-5.098639490887915	-6.233025170857915	-4.980497031548149	-5.151620782574086	-4.964608159044785	-4.743796773527817	-4.664652888808081	-4.629154207586694	-4.880215971754412	-4.247370947408318	-5.076271677859459	-5.199166366841879	-5.126653867057511	-4.706322068109154	-4.890686588255257	-3.9072955058106964	-5.8419771674667205	-4.056769772945008	-4.469282870808305	-4.887687221185547	-4.264776326574376	-4.306224588854259	-4.632916126382893	-4.485062505127649	-4.126653867057511	-5.012809581380541	-5.567858028317821	-4.469282870808305	-4.29227577123336	-5.370719036324715	-4.811815196956468	-5.257982593679483	-4.986901903514559	-5.283379370744964	-5.299233321945801	-4.796264193421952	-5.184369364913798	-4.745153327497902	-5.46816233091439	-4.594508064779803	-5.662088096948777	-5.227326565525461	-4.1373011112570195	-5.128422959910567	-5.351995982819354	-4.753319547646323	-4.187132267209026	-4.746511158224853	-5.370719036324715	-6.236836784807934	-4.964608159044785	-4.037527976584527	-4.547596798408795	-5.019359853885603	-5.969356473942948	-5.411061923683872	-6.454783301113189	-5.285351613076569	-5.319298944999907	-4.660807408856785	-4.911858593560622	-4.706322068109154	-6.088272775329655	-4.9410982139014346	-4.745153327497902	-5.107335689857732	-4.221650380993258	-5.044191706865538	-4.967771965226956	-4.961451275857602	-6.199166366841879	-4.087412235464661	-4.080546332959786	-4.477151114141644	-4.659527856630213	-5.362367666891793	-5.70104712606848	-5.3686266573634756	-4.6142038661207225	-6.398199772746822
Feature_4	-5.130194224762759	-4.808975245171506	-5.001417683175246	-4.82466461922348	-4.813237272025666	-4.746511158224853	-4.626651700383524	-4.7195944252021915	-4.8536353726510955	-4.728958264552184	-4.826099422962716	-4.61172713582851	-4.776711396000552	-4.760160219736704	-5.027589739528408	-4.959875420932063	-5.009545564058647	-5.206622171760926	-5.042522886504919	-4.579910688566845	-4.982095585773625	-4.648062670136759	-4.958301285433952	-4.5033102746084985	-4.874266705423226	-4.808975245171506	-4.871301246946665	-5.077980020321821	-4.776711396000552	-4.850711977444329	-4.874266705423226	-4.8203687499226495	-5.027589739528408	-4.92717397136982	-4.889186125258965	-4.660807408856785	-4.642996132740325	-5.014444363471486	-4.706322068109154	-4.826099422962716	-4.8492524982698955	-4.956728865615198	-5.437135435293765	-5.727616846472382	-5.269648654882856	-5.0079163204739885	-4.836183203691746	-4.807557362953311	-5.014444363471486	-4.756051925434459	-4.756051925434459	-4.749230659578445	-4.724937746276501	-4.880215971754412	-4.622906059921517	-5.199166366841879	-4.833294924366919	-4.886189872799045	-4.615443827555788	-4.738383277341453	-4.919495959416223	-4.884694076873564	-4.799079209029006	-4.62165967103977	-4.753319547646323	-4.975711968982772	-5.0046633426789	-4.631661063197269	-4.850711977444329	-4.634172282353319	-4.762905596475521	-4.746511158224853	-4.914908689920572	-4.577492087764202	-4.7102909703121	-4.673665738545692	-4.937992303033613	-4.612964969487364	-4.6379473260447	-4.778099270124795	-5.014444363471486	-4.582333350833701	-4.553526502773324	-5.121359567387998	-4.656972151726457	-4.839077276960926	-4.635429533013181	-4.858031602688426	-4.82466461922348	-5.123122176087258	-5.193599690967337	-4.8492524982698955	-4.743796773527817	-4.695791400616985	-4.6814361076399145	-4.811815196956468	-4.583546209283351	-4.570260518533125	-4.953589158084632	-4.6814361076399145	-4.631661063197269	-4.836183203691746	-4.754685089670553	-4.8492524982698955	-4.993335336877387	-4.634172282353319	-4.7574200573917915	-4.8275356550782345	-4.955158157739972	-4.739734748204581	-5.227326565525461	-4.855099294685268	-4.8951973632928265	-4.890686588255257	-4.924097861375232	-4.56665828185293	-5.067760178003942	-4.536984363658827	-4.674957897199819	-4.540513175139074	-4.555905225556056	-4.698416870023808	-4.689248554750213	-4.686639702247454	-4.830412415833798	-4.697103538079776	-4.6442610999769025	-4.715599881697165	-4.868341871466121	-4.674957897199819	-4.6879435387943	-4.924097861375232	-4.577492087764202	-5.301227372077889
Feature_5	-4.579910688566845	-4.632916126382893	-4.8275356550782345	-4.991724286971403	-4.922562262464007	-4.964608159044785	-4.433850359777462	-4.9287144894456025	-4.786454670163947	-4.678841331687047	-4.737033071308516	-4.6379473260447	-4.4570045410298675	-5.250257300570255	-4.904261445721063	-5.244490357351369	-5.470404281701059	-5.204754605104159	-4.998179309108702	-5.096906523663459	-5.575077534830902	-4.811815196956468	-5.083117218773863	-4.678841331687047	-4.441527204410923	-4.689248554750213	-5.107335689857732	-5.461457307036499	-5.236836784807934	-4.866864457060621	-5.089995396478662	-4.627902411377235	-5.110828899895829	-4.901233753023495	-4.579910688566845	-4.869820800392033	-5.060986949408516	-4.881707129552165	-4.6814361076399145	-5.1373011112570195	-4.846337961842519	-4.70368218623645	-5.333512804219607	-6.0177194955043465	-5.463688854335082	-5.107335689857732	-5.022646176584273	-4.860969882809768	-5.016081000108593	-4.772555766509241	-4.665936996628406	-4.8203687499226495	-4.428391802221789	-4.780879030215781	-4.56665828185293	-4.818939631389849	-4.980497031548149	-5.032550300430142	-4.869820800392033	-4.463688854335082	-5.079690388086925	-4.877238271954517	-4.689248554750213	-4.461457307036499	-4.823231241022222	-5.2657494767231725	-4.760160219736704	-4.65060262685073	-4.786454670163947	-4.362367666891793	-4.532292668334105	-4.581121511164892	-4.636687880272102	-4.712942984001698	-4.728958264552184	-4.874266705423226	-4.780879030215781	-4.504458460137379	-4.8217992855290905	-4.8203687499226495	-5.089995396478662	-4.963028853970937	-4.482797677282786	-5.014444363471486	-4.7850587387140715	-4.8492524982698955	-4.986901903514559	-4.975711968982772	-5.052564887890543	-5.076271677859459	-5.162454588485358	-4.573871772085504	-4.899722286105895	-4.663369922924607	-4.8492524982698955	-4.945769653625332	-4.42948186275033	-4.313249900327102	-4.624153526528328	-4.221650380993258	-4.590844850689218	-5.119599109523561	-4.778099270124795	-4.6142038661207225	-4.6442610999769025	-4.754685089670553	-4.672374736185817	-5.4459323835309235	-5.054245371529461	-4.743796773527817	-5.299233321945801	-4.619170119014072	-4.544050639210277	-4.745153327497902	-4.877238271954517	-4.977305227058439	-5.024292149427834	-4.319298944999907	-4.196380344011041	-4.086552208589183	-4.816085634334696	-4.695791400616985	-4.664652888808081	-4.772555766509241	-4.306224588854259	-4.823231241022222	-4.567858028317821	-4.6931707004578485	-5.257982593679483	-4.8419771674667205	-4.776711396000552	-4.510213134863187	-5.201026708867406	-5.089995396478662
Feature_6	-4.672374736185817	-4.408910252828823	-5.164268158857289	-4.901233753023495	-5.738383277341453	-5.865388554076773	-4.8419771674667205	-4.642996132740325	-4.534636608802404	-4.772555766509241	-4.913382835689611	-3.963028853970937	-5.511366829479557	-4.50101664130999	-5.071158754465808	-4.983695913215468	-4.059298599255746	-5.146234236027027	-5.551151695585421	-4.2982373294720775	-5.919495959416223	-4.299233321945801	-5.3728144543269085	-4.595731206049244	-4.482797677282786	-5.173370365964542	-4.131080673356479	-5.1806937067704	-5.727616846472382	-4.433850359777462	-4.563065017128922	-4.430572747521315	-5.883199830193234	-4.656972151726457	-5.39606718545401	-4.852172934572609	-4.328420334968455	-4.541691366336355	-4.6879435387943	-4.743796773527817	-5.044191706865538	-5.0292413653995665	-4.902746805119064	-5.92563509651363	-5.495298460851903	-5.072861049696808	-4.013626740870464	-5.2814098208951945	-4.616684855624477	-5.105592251529681	-4.762905596475521	-4.110828899895829	-4.7343364442787506	-4.5033102746084985	-4.384393973221791	-5.765656207491556	-4.961451275857602	-4.629154207586694	-4.512521447421049	-4.7850587387140715	-4.419700841957745	-4.236836784807934	-4.6006341675766445	-4.47602444868736	-5.459229206144382	-4.922562262464007	-4.583546209283351	-5.656972151726457	-5.102111682794719	-4.255080758894465	-4.043357055386725	-5.236836784807934	-4.482797677282786	-4.095175635584343	-5.62165967103977	-5.215996441526073	-4.656972151726457	-4.548780791122674	-4.787851953605752	-5.387568221016935	-4.60678639455824	-3.8246646192234794	-4.715599881697165	-5.0079163204739885	-5.022646176584273	-5.722263611978176	-5.463688854335082	-5.227326565525461	-4.993335336877387	-5.810394522256841	-5.049209781632163	-4.1973084206212965	-5.522954803754769	-4.649332089524324	-5.488466427369478	-5.267697748512695	-3.8543671479855206	-4.6204143580225345	-5.067760178003942	-4.344779915409108	-4.896704094542981	-4.847794494062034	-5.217878627104049	-5.135521104811733	-4.936441851470213	-4.773939646750498	-4.723600059540989	-4.439329648706677	-4.7850587387140715	-4.983695913215468	-5.441527204410923	-5.285351613076569	-4.645527177320894	-5.656972151726457	-5.374912920210907	-4.98529801781197	-5.374912920210907	-4.7343364442787506	-4.454783301113189	-3.784361279168997	-4.234929719043275	-5.195452864042815	-5.164268158857289	-4.690554752250837	-5.787851953605752	-5.551151695585421	-4.756051925434459	-4.6518742840867775	-4.732990018571234	-5.167902153325028	-5.040855994302282	-4.691862133437624	-4.800488779283678	-5.502163002149717
Feature_7	-3.934893064374726	-5.555905225556056	-4.1417607594477195	-5.582333350833701	-5.889186125258965	-4.242573154357078	-4.874266705423226	-4.362367666891793	-4.604322354606759	-5.768412072782065	-4.850711977444329	-5.479407088082012	-5.536984363658827	-4.572667016240221	-4.474898662410266	-4.021002079493648	-5.089995396478662	-4.546413776578758	-3.8061408728631925	-5.3213209425851185	-6.690554752250837	-5.195452864042815	-4.519468627976521	-6.810394522256841	-4.695791400616985	-4.933345938177248	-5.732990018571234	-5.575077534830902	-5.874266705423226	-5.406761786250247	-5.299233321945801	-5.738383277341453	-4.34993056365357	-5.084833691362884	-4.075418264619024	-4.517149182073563	-4.483929646772706	-4.615443827555788	-5.374912920210907	-5.227326565525461	-4.953589158084632	-4.17702738957263	-5.698416870023808	-4.066911783365621	-5.149823031511692	-4.567858028317821	-5.289304204702069	-4.470404281701059	-3.7242687478685528	-5.040855994302282	-6.463688854335082	-4.470404281701059	-5.223539962194476	-4.2814098208951945	-5.515990856005005	-5.502163002149717	-5.634172282353319	-4.945769653625332	-5.518308438898404	-5.250257300570255	-5.515990856005005	-4.641732273666164	-4.377014442856194	-5.463688854335082	-5.6853370429798185	-4.0737129511333645	-4.030067887931992	-6.077980020321821	-6.236836784807934	-6.155223019254282	-4.218820641529219	-5.323345778062609	-4.386509362223797	-5.810394522256841	-5.40461651441869	-4.534636608802404	-4.2814098208951945	-6.027589739528408	-5.024292149427834	-3.902746805119065	-4.109954804115748	-5.191748895279396	-6.513676990166759	-4.540513175139074	-4.890686588255257	-5.311239175205955	-4.913382835689611	-4.4570045410298675	-4.494157539447334	-5.616684855624477	-3.7397347482045813	-5.46816233091439	-4.92563509651363	-5.604322354606759	-5.167902153325028	-4.672374736185817	-7.259920397920975	-5.148027517850078	-3.785058738714072	-6.217878627104049	-5.421868678640455	-5.03089488425208	-5.050886359439546	-4.871301246946665	-6.793454659835128	-6.299233321945801	-4.616684855624477	-5.856564703689767	-4.239702118502323	-4.625402072725587	-3.1117035255915395	-4.481666595264137	-4.096906523663459	-3.963028853970937	-4.112578681845788	-5.972530721738091	-5.109081237609561	-5.263803832408203	-5.248332423645763	-5.762905596475521	-5.295253471033256	-5.587190914483003	-5.594508064779803	-5.077980020321821	-5.499871190641728	-7.0177194955043465	-6.210364573446743	-5.151620782574086	-5.677545691688975	-4.547596798408795	-4.403545073566703	-5.077980020321821	-6.047535149939908	-3.6092546501489893
Feature_8	-4.673665738545692	-4.945769653625332	-4.724937746276501	-5.035866842214606	-5.083117218773863	-4.905777678168443	-5.4459323835309235	-5.199166366841879	-5.001417683175246	-5.358210041418137	-4.797671014636198	-5.303224182141836	-4.942653680403476	-5.035866842214606	-5.366537308640748	-5.541691366336355	-5.275517252971993	-5.532292668334105	-4.810394522256841	-5.565459532269305	-5.604322354606759	-5.366537308640748	-5.242573154357078	-5.31526343176475	-4.612964969487364	-4.582333350833701	-4.347868097196677	-4.3791190311811174	-4.198237094641705	-4.21411670830785	-5.677545691688975	-4.296247404962262	-4.7850587387140715	-5.62165967103977	-4.991724286971403	-5.594508064779803	-6.047535149939908	-4.983695913215468	-5.039191025807171	-4.433850359777462	-3.923329857608951	-4.452565475863371	-4.964608159044785	-5.724937746276501	-5.3540643631605835	-5.309231248589708	-4.936441851470213	-4.874266705423226	-4.7424414939158055	-4.596955385198545	-5.027589739528408	-5.337599761742851	-4.837629514630811	-5.3274039946369625	-5.102111682794719	-3.325373459409591	-4.6142038661207225	-5.0292413653995665	-5.149823031511692	-4.663369922924607	-5.499871190641728	-5.553526502773324	-4.8061408728631925	-5.289304204702069	-4.778099270124795	-6.2716022029686105	-4.913382835689611	-4.702364054540471	-4.7076438227054	-5.146234236027027	-4.902746805119064	-4.8217992855290905	-5.387568221016935	-5.084833691362884	-4.980497031548149	-4.139083316599029	-5.060986949408516	-4.534636608802404	-4.531122124626168	-5.095175635584343	-5.201026708867406	-4.773939646750498	-5.343751988724446	-4.869820800392033	-4.889186125258965	-4.768412072782065	-5.001417683175246	-4.950456268599669	-5.325373459409591	-4.418618143940034	-4.303224182141836	-3.949674108081248	-4.049209781632163	-4.3939377458926625	-3.7815748079195917	-5.059298599255746	-5.011176649637575	-4.916436159667165	-4.924097861375232	-4.690554752250837	-4.886189872799045	-4.092583190967819	-4.074565355909057	-4.012809581380541	-4.025115840595449	-3.897458050682894	-5.131967666953979	-4.5690587733233725	-4.584760088228241	-5.103850917533256	-4.883199830193234	-5.064369588803168	-4.472649721906704	-4.937992303033613	-4.632916126382893	-5.313249900327102	-3.8405264935979955	-4.786454670163947	-5.171545324556215	-4.8203687499226495	-5.08140278596261	-4.348898961864253	-4.3833374407389165	-4.067760178003942	-4.70104712606848	-5.297242024126709	-4.828973318416826	-5.206622171760926	-4.858031602688426	-4.883199830193234	-4.645527177320894	-4.972530721738091	-4.901233753023495	-3.611108617044807
Feature_9	-4.34993056365357	-5.626651700383524	-4.830412415833798	-4.4570045410298675	-4.520629750808525	-4.50101664130999	-5.536984363658827	-4.904261445721063	-4.862441270026436	-5.463688854335082	-5.184369364913798	-5.283379370744964	-4.71826168142068	-5.8951973632928265	-4.635429533013181	-5.323345778062609	-5.139083316599029	-5.3540643631605835	-4.031722354903321	-5.227326565525461	-4.594508064779803	-5.34993056365357	-4.934893064374727	-5.754685089670553	-4.03503699172242	-4.42948186275033	-4.887687221185547	-4.996562843907784	-3.9302566542540074	-3.441527204410923	-4.301227372077889	-4.756051925434459	-4.126653867057511	-4.541691366336355	-4.761532255066828	-5.662088096948777	-5.071158754465808	-4.794858742710812	-4.847794494062034	-4.257014666745564	-4.727616846472382	-4.522954803754769	-5.856564703689767	-6.299233321945801	-5.301227372077889	-4.92563509651363	-3.754002157094066	-4.451457840460872	-4.233977130668693	-4.9709427248349	-4.631661063197269	-5.818939631389849	-4.551151695585421	-6.0177194955043465	-5.29128456883031	-2.7581046102117006	-4.063523185117472	-3.914145561079245	-4.659527856630213	-5.26186080849041	-5.295253471033256	-4.996562843907784	-5.548780791122674	-4.203821727579971	-4.459229206144382	-5.088272775329655	-4.975711968982772	-4.520629750808525	-4.874266705423226	-5.70104712606848	-4.619170119014072	-4.924097861375232	-5.199166366841879	-5.317279777363255	-4.544050639210277	-4.699731398625814	-5.711616367778667	-5.110828899895829	-4.816085634334696	-5.502163002149717	-5.677545691688975	-5.8951973632928265	-6.184369364913798	-4.810394522256841	-5.206622171760926	-4.505607560190872	-5.248332423645763	-5.034207618292916	-5.874266705423226	-5.584760088228241	-4.776711396000552	-3.9957552899875157	-4.565459532269305	-5.29128456883031	-4.626651700383524	-4.6006341675766445	-4.980497031548149	-4.56665828185293	-4.593285959631849	-4.768412072782065	-4.934893064374727	-4.370719036324715	-4.595731206049244	-4.702364054540471	-6.144443180501039	-5.269648654882856	-5.305223759788184	-5.335554835757827	-5.716930167675135	-5.17702738957263	-5.109081237609561	-5.511366829479557	-4.975711968982772	-5.3561357131802785	-4.878726353613925	-4.847794494062034	-3.7485503034984515	-5.084833691362884	-4.46034282645509	-4.933345938177248	-5.950456268599669	-4.414295458935654	-4.582333350833701	-4.8061408728631925	-4.478278660147369	-5.70368218623645	-4.720928401294357	-5.3540643631605835	-5.210364573446743	-5.3274039946369625	-4.612964969487364	-5.225432021535684	-5.189900470887027	-4.866864457060621
