IDs	Initial Pvalue	Adjusted Pvalue	Fold Change	Standard Deviation of Fold Changes
163	0.721194431662245	0.9669491897399503	29.146738074940245	0
174	0.9997416850958537	0.9997416850958537	-0.020000000000010232	0
67	0.048720294193197636	0.9669491897399503	56.760000000000005	0
198	0.7539239574250933	0.9669491897399503	-28.400000000000006	0
55	0.33052545844320425	0.9669491897399503	-47.93005906831094	0
104	0.2780690281048958	0.9669491897399503	77.81000000000002	0
185	0.8837313928779931	0.9669491897399503	6.904088546764001	0
17	0.22993014182515542	0.9669491897399503	-18.189999999999998	0
63	0.669889384274273	0.9669491897399503	15.700000000000003	0
167	0.6946692320447254	0.9669491897399503	-27.340000000000003	0
75	0.7039029170550951	0.9669491897399503	-30.980000000000018	0
106	0.8076866835332789	0.9669491897399503	-6.36999999999999	0
146	0.3674060773399108	0.9669491897399503	-50.27000000000001	0
123	0.9051916951675574	0.9669491897399503	-9.039999999999992	0
71	0.7957993125531213	0.9669491897399503	-12.86999999999999	0
132	0.6431836815340435	0.9669491897399503	29.89	0
88	0.8759635215753458	0.9669491897399503	-4.459999999999994	0
1	0.8043302934859288	0.9669491897399503	8.650000000000006	0
74	0.7796420385566611	0.9669491897399503	25.370000000000005	0
41	0.5608327557670785	0.9669491897399503	19.810000000000002	0
40	0.08641763646168668	0.9669491897399503	83.35	0
70	0.3763326652757365	0.9669491897399503	24.61	0
169	0.38718018040716484	0.9669491897399503	38.09	0
107	0.31569688609014557	0.9669491897399503	69.91000000000001	0
121	0.7533086449229984	0.9669491897399503	-19.040000000000006	0
105	0.914624987343231	0.9684264571869505	2.1999999999999886	0
177	0.237561065970424	0.9669491897399503	29.232202680526697	0
195	0.6799426627046952	0.9669491897399503	-18.64	0
30	0.4384921977334335	0.9669491897399503	24.669999999999987	0
193	0.8172250036824422	0.9669491897399503	-17.509212529894924	0
127	0.6345109778974953	0.9669491897399503	-25.60860048335239	0
118	0.5975690866910323	0.9669491897399503	53.53	0
180	0.6083178900377398	0.9669491897399503	34.32950446375466	0
149	0.7239259175679662	0.9669491897399503	29.68186739630565	0
181	0.7943527948301187	0.9669491897399503	14.780000000000001	0
13	0.7134219587617733	0.9669491897399503	-23.879999999999995	0
148	0.13204749831939142	0.9669491897399503	67.04	0
5	0.40857517477863514	0.9669491897399503	-20.42552665416696	0
108	0.6920875261504893	0.9669491897399503	14.75	0
162	0.6489341797928283	0.9669491897399503	15.409999999999997	0
80	0.9639121877659842	0.9940344436336712	-1.6299999999999955	0
86	0.8906824069614248	0.9669491897399503	10.239999999999995	0
166	0.1005116456629698	0.9669491897399503	44.510000000000005	0
100	0.957185913658795	0.9940344436336712	-1.9599999999999937	0
57	0.6141575626095767	0.9669491897399503	-17.08999999999999	0
16	0.24464203652949704	0.9669491897399503	24.83	0
73	0.48115836239675913	0.9669491897399503	23.900000000000006	0
194	0.3830994975028229	0.9669491897399503	53.842615373033055	0
56	0.5152390444636952	0.9669491897399503	44.67999999999999	0
23	0.44096729437989735	0.9669491897399503	48.06999999999999	0
188	0.467293055091879	0.9669491897399503	54.33000000000001	0
49	0.5139819180517995	0.9669491897399503	47.269999999999996	0
72	0.45055122351417864	0.9669491897399503	20.17	0
161	0.5537590680463336	0.9669491897399503	20.519999999999996	0
38	0.5775150023266356	0.9669491897399503	39.67	0
90	0.30816752717657664	0.9669491897399503	26.63000000000001	0
136	0.9969085303094579	0.9997416850958537	-0.1700000000000017	0
37	0.5794498977143805	0.9669491897399503	14.180000000000007	0
119	0.8503592819211581	0.9669491897399503	3.5600000000000023	0
156	0.22030826042526447	0.9669491897399503	-46.89	0
9	0.6364514860824271	0.9669491897399503	26.070000000000007	0
128	0.14684097872829424	0.9669491897399503	71.74000000000001	0
137	0.41696980265995176	0.9669491897399503	-46.44000000000001	0
122	0.21054019564198215	0.9669491897399503	-63.91	0
19	0.8103494603471637	0.9669491897399503	-9.040000000000006	0
7	0.021435111196387573	0.9087383043076402	89.94999999999999	0
18	0.661769492768859	0.9669491897399503	13.829999999999998	0
58	0.07429147653486216	0.9669491897399503	38.11	0
164	0.9404813071376552	0.9888893236534478	5.910000000000011	0
170	0.8614151247337107	0.9669491897399503	-6.289999999999992	0
145	0.5331780061502598	0.9669491897399503	-9.450000000000003	0
39	0.43158343369833163	0.9669491897399503	-45.90212539077939	0
59	0.2315345412807186	0.9669491897399503	37.52999999999999	0
130	0.6827299028521268	0.9669491897399503	-13.629999999999995	0
150	0.5068883135213831	0.9669491897399503	-33.13625586080313	0
3	0.7633505270341632	0.9669491897399503	18.14	0
192	0.7093171551021247	0.9669491897399503	-39.630000000000024	0
36	0.6826557528838124	0.9669491897399503	-52.19999999999999	0
76	0.5599205025973143	0.9669491897399503	-62.650000000000006	0
95	0.4324156829675202	0.9669491897399503	-26.439999999999998	0
89	0.7341629511562389	0.9669491897399503	-12.11	0
152	0.12204816897007698	0.9669491897399503	106.76000000000002	0
20	0.5605981644268951	0.9669491897399503	12.360000000000014	0
60	0.9777113445246948	0.9972200928192242	-1.2199999999999847	0
14	0.6312822592590095	0.9669491897399503	-30.9	0
53	0.3380707785288861	0.9669491897399503	45.81	0
175	0.9439398089419275	0.9888893236534478	4.399580997035173	0
160	0.2961726470136672	0.9669491897399503	-16.349999999999994	0
124	0.6270988297999408	0.9669491897399503	-10.200000000000003	0
138	0.1511700534311964	0.9669491897399503	-29.629999999999995	0
27	0.7774470397223157	0.9669491897399503	10.519999999999996	0
154	0.9821106974734783	0.9972200928192242	1.3499999999999943	0
187	0.9014150176892639	0.9669491897399503	6.4199999999999875	0
52	0.46154136962479175	0.9669491897399503	-44.140000000000015	0
113	0.8252429695637064	0.9669491897399503	-11.129999999999995	0
158	0.6682622296997935	0.9669491897399503	-57.64157108005331	0
135	0.8036839702755643	0.9669491897399503	30.139999999999986	0
197	0.63384665412292	0.9669491897399503	-36.849999999999994	0
93	0.8102833950493598	0.9669491897399503	-21.590000000000003	0
45	0.45747497158510075	0.9669491897399503	-64.67000000000002	0
43	0.7698289946018397	0.9669491897399503	29.039999999999992	0
34	0.6611701392681146	0.9669491897399503	-32.11999999999999	0
139	0.2826964575485101	0.9669491897399503	51.43000000000001	0
69	0.3481871466531087	0.9669491897399503	-29.900000000000006	0
186	0.6503568189646123	0.9669491897399503	-21.25	0
134	0.9778817177472371	0.9972200928192242	1.5065519660271605	0
94	0.9062384885731407	0.9669491897399503	-8.899999999999991	0
8	0.7720717183563521	0.9669491897399503	-19.269999999999996	0
61	0.5530281481411639	0.9669491897399503	-56.825980743500764	0
179	0.6720453598694243	0.9669491897399503	15.230000000000004	0
50	0.4004633853795513	0.9669491897399503	48.91	0
44	0.4429694102855902	0.9669491897399503	16.08999999999999	0
28	0.5003538670466112	0.9669491897399503	-27.700000000000003	0
109	0.11422544771255858	0.9669491897399503	40.72000000000001	0
178	0.06812673301682298	0.9669491897399503	35.67999999999999	0
31	0.8299247752089689	0.9669491897399503	2.509999999999991	0
22	0.7453824155465424	0.9669491897399503	5.849999999999994	0
83	0.6038577393213873	0.9669491897399503	-32.230000000000004	0
85	0.4068440707356846	0.9669491897399503	-33.69	0
117	0.027537524372958797	0.9087383043076402	45.90071730090479	0
12	0.5518046164791115	0.9669491897399503	-31.11	0
114	0.8719753920205744	0.9669491897399503	-8.669999999999987	0
157	0.5221829295384035	0.9669491897399503	-39.63000000000001	0
115	0.025442630930886532	0.9087383043076402	51.629999999999995	0
82	0.013553763048235917	0.9087383043076402	40.72999999999999	0
151	0.5169672426819709	0.9669491897399503	-70.19999999999999	0
51	0.4327486176953901	0.9669491897399503	-35.81313012553997	0
120	0.8154959448800954	0.9669491897399503	-13.39	0
155	0.23592294494817684	0.9669491897399503	53.66	0
29	0.43377180530798787	0.9669491897399503	-43.870000000000005	0
26	0.9603558817729466	0.9940344436336712	2.8700000000000045	0
64	0.36175568612220854	0.9669491897399503	-43.39	0
68	0.1863086621601135	0.9669491897399503	30.05000000000001	0
182	0.8726452117062935	0.9669491897399503	-7.744948626975685	0
15	0.3044049136004831	0.9669491897399503	-33.209999999999994	0
96	0.04802448596012606	0.9669491897399503	66.57000000000001	0
4	0.21726515610691843	0.9669491897399503	55.10000000000001	0
171	0.27705851328661607	0.9669491897399503	-130.38765022779097	0
87	0.4177293352955158	0.9669491897399503	-42.870000000000005	0
126	0.2536978306951544	0.9669491897399503	64.53	0
35	0.5091271306557135	0.9669491897399503	29.33999999999999	0
81	0.08119008725871173	0.9669491897399503	59.3	0
143	0.46648622070506285	0.9669491897399503	42.019999999999996	0
102	0.09651354009711187	0.9669491897399503	-44.97	0
10	0.6351265248753968	0.9669491897399503	-14.929999999999993	0
92	0.4443638108989719	0.9669491897399503	-23.290000000000006	0
101	0.15382322577819502	0.9669491897399503	33.08	0
142	0.011716176532397106	0.9087383043076402	66.39	0
84	0.2542622921972882	0.9669491897399503	34.92	0
6	0.21332053427315922	0.9669491897399503	38.33000000000001	0
110	0.1328111301361114	0.9669491897399503	-78.41999999999999	0
79	0.3267957799494199	0.9669491897399503	32.36	0
184	0.8325740250727185	0.9669491897399503	-22.460000000000008	0
168	0.8258654889505033	0.9669491897399503	-7.6200000000000045	0
99	0.6656985817051473	0.9669491897399503	-22.22	0
112	0.1619946640906619	0.9669491897399503	107.43	0
54	0.833897310699679	0.9669491897399503	5.949999999999989	0
