IDs	Initial Pvalue	Adjusted Pvalue	Fold Change	Standard Deviation of Fold Changes
A1AG1	0.7054569861112734	0.9741838321270184	133.22978670637718	0
A1AT	0.8798291600118298	0.9741838321270184	0.27000000000001023	0
A1BG	0.3643461266335529	0.9741838321270184	19.299999999999997	0
A2MG	0.5205228832757727	0.9741838321270184	15.809999999999995	0
A4	0.49629170223109287	0.9741838321270184	-51.21696871177001	0
AACT	0.8501067391385259	0.9741838321270184	7.730000000000004	0
AEBP1	0.4496917979688909	0.9741838321270184	-38.280000000000015	0
AGRIN	0.8798291600118298	0.9741838321270184	7.1499999999999915	0
AMBP	0.4496917979688909	0.9741838321270184	-27.049999999999997	0
ANGI	0.8501067391385259	0.9741838321270184	12.200000000000003	0
ANT3	0.5967012167293563	0.9741838321270184	-3.4399999999999977	0
ANXA2	0.5967012167293563	0.9741838321270184	-9.710000000000008	0
ANXA5	0.5453496680111236	0.9741838321270184	-42.17	0
APOA1	0.6501474440948545	0.9741838321270184	-36.120000000000005	0
APOA2	0.7623688184698398	0.9741838321270184	-11.060000000000002	0
APOA4	0.3643461266335529	0.9741838321270184	-51.459999999999994	0
APOC1	0.8798291600118298	0.9741838321270184	62.860000000000014	0
APOC3	0.7623688184698398	0.9741838321270184	31.49915127420421	0
APOE	0.1305700181157362	0.9741838321270184	-47.929460241621605	0
APOH	0.5453496680111236	0.9741838321270184	19.64999999999999	0
ASPN	0.8205958397554409	0.9741838321270184	7.0400000000000205	0
B2MG	0.7913367801006604	0.9741838321270184	7.560000000000002	0
BCAM	0.40567889528505297	0.9741838321270184	33.49000000000001	0
BGH3	0.8205958397554409	0.9741838321270184	-3.680000000000021	0
CAD13	0.9397429895770734	0.9741838321270184	3.299999999999997	0
CAN1	0.3257513544787166	0.9741838321270184	-5.760000000000005	0
CATB	0.9397429895770734	0.9741838321270184	-17.552556371872882	0
CATD	0.25683925795785656	0.9741838321270184	-18.14999999999999	0
CATG	0.28991845394256976	0.9741838321270184	9.560000000000002	0
CCL18	0.8205958397554409	0.9741838321270184	-61.73569586075452	0
CD44	0.3643461266335529	0.9741838321270184	-13.954284128327131	0
CERU	0.8798291600118298	0.9741838321270184	4.990500947123095	0
CFAB	0.6501474440948545	0.9741838321270184	1.8188176063918888	0
CFAD	0.4496917979688909	0.9741838321270184	-30.707908528519738	0
CFAH	0.3257513544787166	0.9741838321270184	11.030000000000001	0
CLUS	0.3643461266335529	0.9741838321270184	-38.81	0
CMA1	0.19876460637323512	0.9741838321270184	25.239999999999995	0
CNN2	0.22647606604348625	0.9741838321270184	-36.290000000000006	0
CO1A1	0.28991845394256976	0.9741838321270184	24.909999999999997	0
CO1A2	0.25683925795785656	0.9741838321270184	49.31999999999999	0
CO2A1	0.28991845394256976	0.9741838321270184	54.120000000000005	0
CO3	0.7623688184698398	0.9741838321270184	0.46999999999999886	0
CO3A1	0.49629170223109287	0.9741838321270184	10.929999999999993	0
CO4A1	0.9097218891455553	0.9741838321270184	11.320000000000007	0
CO4A2	0.8798291600118298	0.9741838321270184	14.189999999999998	0
CO5A1	0.5967012167293563	0.9741838321270184	-0.0800000000000125	0
CO5A2	0.5967012167293563	0.9741838321270184	3.700000000000003	0
CO5A3	0.7054569861112734	0.9741838321270184	-3.0727919021845764	0
CO6	0.5967012167293563	0.9741838321270184	-43.97999999999999	0
CO6A1	0.40567889528505297	0.9741838321270184	-21.39	0
CO6A2	0.5453496680111236	0.9741838321270184	-19.950000000000017	0
CO6A3	0.4496917979688909	0.9741838321270184	-33.459999999999994	0
CO8A1	0.8205958397554409	0.9741838321270184	19.0	0
CO8A2	1.0	1.0	5.3700000000000045	0
CO9	0.09630369202868826	0.9741838321270184	-101.11	0
COCA1	0.7623688184698398	0.9741838321270184	35.750000000000014	0
COEA1	0.5453496680111236	0.9741838321270184	-34.13000000000001	0
COFA1	0.5967012167293563	0.9741838321270184	-17.52000000000001	0
COGA1	0.6775849579524755	0.9741838321270184	21.47999999999999	0
COIA1	0.3643461266335529	0.9741838321270184	-19.980000000000004	0
COMP	0.5205228832757727	0.9741838321270184	-23.781381185861946	0
CRAC1	0.9397429895770734	0.9741838321270184	1.5600000000000023	0
CSPG2	0.06964240479832813	0.9741838321270184	-74.09	0
CTGF	0.6775849579524755	0.9741838321270184	-11.200000000000003	0
