IDs	Initial Pvalue	Adjusted Pvalue	Fold Change	Standard Deviation of Fold Changes
A1AG1	0.6501474440948545	0.9950219889639601	-58.659786706377176	0
A1AT	0.8205958397554409	0.9950219889639601	30.75999999999999	0
A1BG	0.7054569861112734	0.9950219889639601	14.450000000000003	0
A2MG	0.5453496680111236	0.9950219889639601	39.230000000000004	0
A4	0.5967012167293563	0.9950219889639601	-6.213090356540931	0
AACT	0.15092695006671628	0.9950219889639601	92.60000000000001	0
AEBP1	0.7623688184698398	0.9950219889639601	-6.234407706771364	0
AGRIN	0.40567889528505297	0.9950219889639601	6.110000000000014	0
AMBP	0.6501474440948545	0.9950219889639601	15.36	0
ANGI	0.9397429895770734	0.9950219889639601	-2.6299999999999955	0
ANT3	0.3257513544787166	0.9950219889639601	45.41	0
ANXA2	0.8205958397554409	0.9950219889639601	-21.61999999999999	0
ANXA5	0.05878172135535886	0.9950219889639601	33.89	0
APOA1	0.5967012167293563	0.9950219889639601	24.200000000000003	0
APOA2	0.3643461266335529	0.9950219889639601	-5.179999999999993	0
APOA4	0.7913367801006604	0.9950219889639601	35.75	0
APOC1	0.5967012167293563	0.9950219889639601	-44.85000000000001	0
APOC3	0.9397429895770734	0.9950219889639601	-26.299151274204206	0
APOE	0.28991845394256976	0.9950219889639601	92.75999999999999	0
APOH	0.8798291600118298	0.9950219889639601	-5.589999999999989	0
ASPN	0.6501474440948545	0.9950219889639601	8.83999999999999	0
B2MG	0.05878172135535886	0.9950219889639601	37.81	0
BCAM	0.8205958397554409	0.9950219889639601	8.39	0
BGH3	0.6501474440948545	0.9950219889639601	33.49000000000002	0
CAD13	0.9397429895770734	0.9950219889639601	30.72999999999999	0
CAN1	0.25683925795785656	0.9950219889639601	19.489999999999995	0
CATB	0.5453496680111236	0.9950219889639601	12.842556371872888	0
CATD	0.7054569861112734	0.9950219889639601	-25.070000000000007	0
CATG	0.3643461266335529	0.9950219889639601	18.86	0
CCL18	0.22647606604348625	0.9950219889639601	62.38648333085959	0
CD44	0.25683925795785656	0.9950219889639601	28.025683644974734	0
