	Aorta1	Aorta2	Aorta3	Aorta4	Aorta5	Aorta6	Aorta7	Aorta8	Aorta9	Aorta10	IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10	Radial1	Radial2	Radial3	Radial4	Radial5	Radial6	Radial7	Radial8	Radial9	Radial10	Vein1	Vein2	Vein3	Vein4	Vein5	Vein6	Vein7	Vein8	Vein9	Vein10
A1AG1	0.10642258765125658	0.007368910952528699	0.03242320819112628	0.007136208501396214	0.007368910952528699	0.019702140862550416	0.005507291343468818	0.008144585789636984	0.08222153273347813	0.0	0.01636508459802341	0.0027924294135898233	0.040878063915606576	0.0006205398696866274	0.0017064846416382253	0.015203226807322369	0.2252559726962457	1.0	0.0021718895439031957	0.0047316165063605335	0.20888923363326095	0.0033607037314594	0.007058641017685386	0.013031337263419174	0.2677629537697797	0.026915916847657463	0.007058641017685386	0.0027924294135898233	0.07430964939497363	0.017452683834936394	0.023658082531802665	0.0028699968973006514	0.24332919640086872	0.022339435308718587	0.002404591995035681	0.008532423208191127	0.5290102389078498	0.005507291343468818	0.014970524356189886	0.0020943220601923676
A1AT	0.35837494325919206	0.035406264185202006	0.07966409441670451	0.08692691783931003	0.26895142986836135	0.23377212891511576	0.037902859736722645	0.07126645483431684	0.2362687244666364	0.039718565592374036	0.011348161597821154	0.08057194734453019	0.36722650930549255	0.013617793917385384	0.0	0.18111665910122565	0.4600544711756696	0.1547889241942805	0.08352246935996369	0.10213345438039037	0.9598275079437132	0.059464366772582836	0.010894235133908301	0.06763504312301408	0.2877893781207445	0.06718111665910123	0.18270540172492059	0.1289151157512483	0.3229686790739901	0.06559237403540627	0.03812982296867907	0.005674080798910577	0.6368588288697231	0.02178847026781661	0.010894235133908301	0.0737630503858375	1.0	0.08556513844757149	0.06037221970040854	0.21947344530186108
A1BG	0.27536231884057966	0.10104669887278583	0.24033816425120774	0.893719806763285	0.22342995169082125	0.12600644122383253	0.4959742351046698	0.9227053140096617	0.3409822866344605	0.006843800322061191	0.2661030595813204	0.858695652173913	0.15458937198067632	0.22061191626409019	0.3196457326892109	0.7495974235104669	0.3490338164251207	0.6533816425120772	0.3683574879227053	0.4633655394524959	0.5809178743961352	0.12238325281803542	0.0	0.4943639291465378	0.12318840579710146	0.22584541062801933	0.06642512077294686	0.41143317230273746	0.501610305958132	0.17391304347826086	0.4875201288244766	0.34822866344605474	0.749194847020934	0.20772946859903382	0.3433977455716586	0.6759259259259259	0.6819645732689211	0.13808373590982287	0.35305958132045084	1.0
A2MG	0.11688311688311688	0.043947124304267164	0.018320964749536178	0.04916512059369202	0.10424397031539889	0.014842300556586273	0.01890074211502783	0.09253246753246754	0.12476808905380334	0.006957328385899814	0.012755102040816327	0.018320964749536178	0.22472170686456402	0.045106679035250466	0.006377551020408163	0.03907699443413729	0.35134508348794063	0.013102968460111318	0.02411873840445269	0.03896103896103897	1.0	0.08348794063079777	0.012871057513914659	0.07421150278293136	0.044642857142857144	0.019828385899814473	0.1281307977736549	0.09809833024118737	0.057977736549165125	0.038845083487940635	0.007769016697588125	0.04220779220779221	0.16419294990723562	0.0	0.01565398886827458	0.2807282003710575	0.35714285714285715	0.015306122448979591	0.08406771799628943	0.26171150278293137
A4	0.5212255444813584	0.27279438907345877	0.00904392764857881	0.0033222591362126247	0.24289405684754517	0.09523809523809523	0.12200073827980802	0.0029531192321889995	1.0	0.08379475821336285	0.1495016611295681	0.003931917464562583	0.7729789590254705	0.1661129568106312	0.018456995201181246	0.0	0.1971207087486157	0.04503506829088224	0.035437430786267994	0.019379844961240306	0.10022148394241417	0.4221114802510151	0.15762273901808782	0.007751937984496121	0.8318567737172388	0.07678110003691398	0.1245847176079734	0.026762643041712803	0.3233665559246954	0.10686600221483941	0.03986710963455149	0.006090808416389811	0.29272794389073453	0.13750461424880028	0.09099298634182355	0.004355244771424198	0.15319306016980433	0.22960502030269467	0.33444075304540416	0.004503022701611403
AACT	0.2313833647844389	0.02438670344026709	0.07432138191319494	0.08840179997096821	0.08869211786906663	0.10669182755116852	0.04877340688053417	0.022064160255479748	0.11061111917549715	0.040063869937581646	0.07620844825083466	0.002032225286688922	0.15648134707504716	0.030628538249383067	0.0	0.05530555958774857	0.20714182029322104	0.07432138191319494	0.06212803019306139	0.2833502685440557	0.2617215851357236	0.04674118159384526	0.016983597038757438	0.028451154013644935	0.1406590216286834	0.09914356220060964	0.06851502395122659	0.1441428364058644	0.25678618086805044	0.09914356220060964	0.13906227318914208	0.0179997096821019	0.5370881114820728	0.07954710407896645	0.0654666860211932	0.09536942952533023	1.0	0.10669182755116852	0.17462621570619827	0.07591813035273623
AEBP1	0.8602426504899673	0.007466168922071862	0.0	0.14115725618292113	1.0	0.15655622958469434	0.023798413439104056	0.16635557629491365	0.41740550629958	0.3429771348576761	0.21488567428838076	0.12599160055996267	0.7326178254783015	0.004666355576294913	0.005132991133924405	0.1966868875408306	0.877974801679888	0.0027998133457769483	0.014699020065328977	0.047363509099393374	0.6241250583294446	0.2074195053663089	0.007967889558204216	0.12879141390573962	0.2349510032664489	0.012832477834811012	0.3049463369108726	0.09892673821745217	0.2949136724218385	0.0013999066728884741	0.004433037797480168	0.2713485767615492	0.2181521231917872	0.004433037797480168	0.005599626691553896	0.08749416705552962	0.9519365375641623	0.33037797480167985	0.08109174739217534	0.12249183387774147
AGRIN	0.38385598141695704	0.3298490127758421	0.20847851335656215	0.5638792102206737	0.41289198606271776	0.2886178861788618	0.335075493612079	0.2607433217189315	0.11149825783972128	0.6260162601626016	0.6922183507549361	0.2804878048780488	0.7938443670150988	0.7375145180023229	0.25842044134727066	0.41056910569105687	0.2299651567944251	0.0	0.09930313588850176	0.4337979094076655	0.5789779326364692	0.7903600464576075	0.5632984901277585	0.5127758420441348	0.3612078977932636	0.22009291521486643	1.0	0.3571428571428572	0.4070847851335656	0.5563298490127759	0.2833914053426249	0.31068524970964	0.518583042973287	0.6684088269454124	0.467479674796748	0.5197444831591174	0.4819976771196284	0.1562137049941928	0.4419279907084785	0.4425087108013937
AMBP	0.3629197080291971	0.4256934306569343	0.09635036496350365	0.025401459854014596	0.5862773722627738	0.11007299270072994	0.1018978102189781	0.11124087591240876	0.8169343065693431	0.385985401459854	0.1348905109489051	0.06072992700729926	0.6335766423357664	0.5021897810218978	0.14423357664233577	0.034744525547445254	0.49605839416058395	0.07649635036496351	0.08496350364963504	0.06510948905109488	0.4727007299270073	0.3416058394160584	0.10014598540145984	0.0	0.3818978102189781	0.07737226277372262	0.37284671532846714	0.049635036496350364	0.3007299270072993	0.12613138686131387	0.1772262773722628	0.052262773722627734	0.47941605839416057	0.19211678832116788	0.22189781021897811	0.06802919708029197	0.30656934306569344	1.0	0.14014598540145987	0.043795620437956206
ANGI	0.43562511645239427	0.05831935904602198	0.030184460592509777	0.005030743432084963	0.4076765418297	0.022917831190609278	0.04322712874976709	0.0011179429849077697	0.4881684367430594	0.0417365381032234	0.03465623253214086	0.0011179429849077697	0.38103223402273145	0.1907956027575927	0.026085336314514623	0.010247810694987888	1.0	0.046021986212036514	0.06856716974100986	0.002794857462269424	0.5912055151853922	0.04490404322712875	0.014533258803801007	0.022731507359791313	0.7052356996459846	0.022545183528973355	0.0417365381032234	0.0305571082541457	0.7333705980994969	0.014905906465436929	0.12576858580212408	0.004471771939631079	0.6154276131917272	0.016582820942798584	0.04210918576485932	0.008943543879262156	0.6588410657723123	0.1656418855971679	0.07452953232718464	0.0
ANT3	0.2544947735191638	0.03916376306620209	0.0	0.03219512195121951	0.14076655052264808	0.07804878048780488	0.011846689895470384	0.05616724738675958	0.2529616724738676	0.0699651567944251	0.024947735191637628	0.03205574912891986	0.2673170731707317	0.01979094076655052	0.027456445993031358	0.06592334494773519	0.32905923344947735	0.09547038327526132	0.00878048780487805	0.016864111498257842	1.0	0.0699651567944251	0.07623693379790941	0.007247386759581881	0.252404181184669	0.04682926829268293	0.19149825783972127	0.033449477351916376	0.2445993031358885	0.030104529616724742	0.027177700348432057	0.0012543554006968645	0.4234146341463415	0.031219512195121948	0.03484320557491289	0.08362369337979095	0.5096864111498257	0.3321254355400697	0.03177700348432056	0.04543554006968641
