# Feature,Accuracy,F1_weighted, F2_weighted, Precision_weighted,Recall_weighted,Roc_auc,SVs-Trees-Neurons,Distance,Weighted_Sum,Classification_Model
5.555555555555555247e-02,8.893464609170373958e-01,8.846329291720698151e-01,8.858372706212070957e-01,8.955140870167805911e-01,8.893464609170373958e-01,8.445867566572612395e-01,9.729837107667858032e-01,8.893464609170373958e-01,2.475957526936189090e+00,3.031372572036990505e+02
4.761904761904761640e-02,8.823953106756287079e-01,8.763984093905488049e-01,8.783969736041747911e-01,8.913241262170006340e-01,8.823953106756287079e-01,8.329622365077945512e-01,9.980135081446166456e-01,8.831897503865693277e-01,2.457627600381115052e+00,1.290918417608925211e+02
4.761904761904761640e-02,7.554636466912808546e-01,6.973059718009230190e-01,7.237173888395823651e-01,8.212699351624225264e-01,7.554636466912808546e-01,6.336367456983686974e-01,1.000000000000000000e+00,7.554636466912809656e-01,2.056600327659193539e+00,1.290918417608925211e+02
4.545454545454545581e-02,8.869631417842152032e-01,8.820512610426959332e-01,8.833311264729044598e-01,8.932555528557237778e-01,8.869631417842152032e-01,8.415998732811562633e-01,9.729837107667858032e-01,8.869631417842152032e-01,2.468192442098271489e+00,1.000000000000000021e-03
4.166666666666666435e-02,8.871619489412729820e-01,8.821782716780328659e-01,8.834419748656646698e-01,8.938794656541497741e-01,8.871619489412729820e-01,8.411596795747524613e-01,9.729837107667858032e-01,8.871619489412729820e-01,2.468188405851372114e+00,1.000000000000000021e-03
4.761904761904761640e-02,8.855722806021016913e-01,8.807036583001817132e-01,8.820107031917630014e-01,8.913506092095729860e-01,8.855722806021016913e-01,8.404089582029969918e-01,9.729837107667858032e-01,8.855722806021015803e-01,2.464744966512789404e+00,3.031372572036990505e+02
4.761904761904761640e-02,8.855722806021016913e-01,8.807036583001817132e-01,8.820107031917630014e-01,8.913506092095729860e-01,8.855722806021016913e-01,8.404089582029969918e-01,9.729837107667858032e-01,8.855722806021015803e-01,2.464744966512789404e+00,3.031372572036990505e+02
4.166666666666666435e-02,8.865663163873899189e-01,8.815226990523102879e-01,8.828101691479272040e-01,8.932745442838883054e-01,8.865663163873899189e-01,8.402699425243330689e-01,9.729837107667858032e-01,8.865663163873899189e-01,2.466495722685999592e+00,3.031372572036990505e+02
4.545454545454545581e-02,8.871611600239830420e-01,8.821295509842894678e-01,8.834142500189330338e-01,8.938589920204369488e-01,8.871611600239830420e-01,8.410148785584480313e-01,9.729837107667858032e-01,8.871611600239830420e-01,2.468532738547317251e+00,1.000000000000000021e-03
3.846153846153846367e-02,8.885516267474518060e-01,8.837491102540357968e-01,8.849715595839933169e-01,8.949292454862216584e-01,8.885516267474518060e-01,8.433940541092654897e-01,9.729837107667858032e-01,8.885516267474518060e-01,2.471811011685570048e+00,1.000000000000000021e-03
4.545454545454545581e-02,8.859698949162169157e-01,8.809609044209079087e-01,8.822685605511576545e-01,8.923146211727436272e-01,8.859698949162169157e-01,8.399656444041554426e-01,9.729837107667858032e-01,8.859698949162169157e-01,2.465362774515206468e+00,1.290918417608925211e+02
5.000000000000000278e-02,7.979716936476379807e-01,7.821734563714038968e-01,7.882602274046763835e-01,8.024690691461051628e-01,7.979716936476379807e-01,7.234580758525592792e-01,9.729837107667858032e-01,7.979716936476379807e-01,2.215177141889798307e+00,1.000000000000000021e-03
4.000000000000000083e-02,8.790187446748083389e-01,8.725107089742593081e-01,8.746629741644870171e-01,8.887149781491341383e-01,8.790187446748083389e-01,8.278986988709149397e-01,9.980135081446166456e-01,8.774278929597020271e-01,2.447067048943848633e+00,1.000000000000000021e-03
4.545454545454545581e-02,8.871611600239830420e-01,8.821295509842894678e-01,8.834142500189330338e-01,8.938589920204369488e-01,8.871611600239830420e-01,8.410148785584480313e-01,9.729837107667858032e-01,8.871611600239830420e-01,2.468532738547317251e+00,1.000000000000000021e-03
4.166666666666666435e-02,8.865663163873899189e-01,8.815226990523102879e-01,8.828101691479272040e-01,8.932745442838883054e-01,8.865663163873899189e-01,8.402699425243330689e-01,9.729837107667858032e-01,8.865663163873899189e-01,2.466495722685999592e+00,3.031372572036990505e+02
4.166666666666666435e-02,8.867659124617375266e-01,8.817013588617278463e-01,8.829867243030493640e-01,8.935988029563091128e-01,8.867659124617375266e-01,8.404169645783060583e-01,9.729837107667858032e-01,8.867659124617375266e-01,2.467010166107500790e+00,1.290918417608925211e+02
4.000000000000000083e-02,8.859698949162169157e-01,8.807897088894132143e-01,8.820962267047909311e-01,8.930977963214745685e-01,8.859698949162169157e-01,8.390727819414476318e-01,9.729837107667858032e-01,8.859698949162169157e-01,2.464535160967446181e+00,1.290918417608925211e+02
5.263157894736841813e-02,7.513064470320931498e-01,6.998863326226408832e-01,7.231154725521745652e-01,7.975377774454411872e-01,7.513064470320931498e-01,6.353275857666329518e-01,1.000000000000000000e+00,7.513064470320931498e-01,2.052427406476783123e+00,3.031372572036990505e+02
4.347826086956521618e-02,8.883536085076840783e-01,8.835720764880907740e-01,8.847931963746991091e-01,8.946368015506511728e-01,8.883536085076840783e-01,8.432514794504806233e-01,9.729837107667858032e-01,8.883536085076840783e-01,2.471861545275290339e+00,4.472149645444332009e+02
5.000000000000000278e-02,8.881551958092714916e-01,8.832759419218764174e-01,8.845062046735723271e-01,8.948050983874746844e-01,8.881551958092714916e-01,8.426500011703671467e-01,9.729837107667858032e-01,8.881551958092714916e-01,2.471934620902105806e+00,1.290918417608925211e+02
