# Feature,NegativeMSE, R2, Negative_MedianAbsoluteError, explained_variance,SVs-Trees-Neurons, Distance, RMSE, correlation, Weighted_Sum, Classification_Model
7.692307692307692735e-02,9.730643963663686558e-01,-7.568948212650632168e-02,9.043461489462091274e-01,-2.724041093391745688e-02,9.665551839464883166e-01,9.966666666666667007e-01,9.737667052202787499e-01,2.562511141789286517e-01,1.422839588868693550e+00,2.999000000000000110e+00
2.000000000000000111e-01,9.706229022469247125e-01,-1.590119589799341981e-01,9.005045601647857501e-01,-1.107460277815250915e-01,9.565217391304348116e-01,9.966666666666667007e-01,9.723084595395455887e-01,2.972728276471411357e-01,1.418119846909966064e+00,2.999000000000000110e+00
1.428571428571428492e-01,9.730300144653688532e-01,-5.455471836825662862e-02,9.037374063494090226e-01,1.862060318012837056e-04,4.849538758088943746e-01,9.966666666666667007e-01,9.730575385862957338e-01,2.153781429535905068e-01,1.377323970985840473e+00,6.690484253637521972e-01
1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04
1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04
2.500000000000000000e-01,9.700857243434041211e-01,-1.856557459308823266e-01,8.890442965446569978e-01,-1.504363887006220091e-01,9.565217391304348116e-01,9.966666666666667007e-01,9.692414564481783845e-01,2.787077775175123007e-01,1.412031153160369090e+00,2.999000000000000110e+00
1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04
1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04
2.000000000000000111e-01,9.729868770880277795e-01,-5.632462329230403242e-02,9.038033325508085802e-01,-1.091009018638477903e-03,4.838386341732066609e-01,9.966666666666667007e-01,9.730144981570507667e-01,1.264092249378495347e-01,1.373279869820916765e+00,5.449143853976098351e-01
2.000000000000000111e-01,9.718510350118114705e-01,-1.062798236795641227e-01,9.033650116173713718e-01,-5.449383094123070453e-02,9.565217391304348116e-01,9.966666666666667007e-01,9.717987126796540087e-01,2.757626052899627145e-01,1.429464973801637839e+00,2.999000000000000110e+00
1.428571428571428492e-01,9.724608514917558733e-01,-9.231936731215764635e-02,9.059939789995873349e-01,-2.518595473439010426e-02,6.354515050167224288e-01,9.966666666666667007e-01,9.718213355250100438e-01,2.484326967277742659e-01,1.390184427999694439e+00,2.999000000000000110e+00
1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04
8.333333333333332871e-02,9.712215007005400302e-01,-1.675061620553887354e-01,9.007474222103994954e-01,-1.201387498733054865e-01,9.665551839464883166e-01,9.966666666666667007e-01,9.732186664136845966e-01,2.546833977257277337e-01,1.400345344300704342e+00,2.999000000000000110e+00
1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04
1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04
2.000000000000000111e-01,9.729991115113131306e-01,-5.583221228544898995e-02,9.039483272369014388e-01,-7.513830140405075792e-04,4.849538758088943746e-01,9.966666666666667007e-01,9.730267290461757090e-01,1.642293971162797073e-01,1.377729538780210428e+00,5.449143853976098351e-01
1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04
2.500000000000000000e-01,9.725610950314218517e-01,-7.441082768145551585e-02,9.017331461509554558e-01,-1.447598723344322227e-02,4.752925788241773586e-01,9.966666666666667007e-01,9.725890589612646853e-01,1.161469500060545446e-01,1.372498429926863661e+00,5.449143853976098351e-01
