# Feature,NegativeMSE, R2, Negative_MedianAbsoluteError, explained_variance,SVs-Trees-Neurons, Distance, RMSE, correlation, Weighted_Sum, Classification_Model
1.111111111111111049e-01,9.755743390168031270e-01,2.478907045103547618e-02,9.134302502037832117e-01,8.007351618372693380e-02,9.030100334448160071e-01,9.966666666666667007e-01,9.759719591248329218e-01,2.826393394454737029e-01,1.449640963348090228e+00,2.999000000000000110e+00
1.000000000000000056e-01,9.743607210672836638e-01,-1.917837377128115556e-02,9.039092861051631900e-01,2.356074224941596615e-02,8.695652173913043237e-02,9.966666666666667007e-01,9.743753131482770780e-01,3.092353799326956199e-01,1.346940675564026524e+00,2.999000000000000110e+00
5.555555555555555247e-02,9.745928275178914468e-01,-1.180306550902883098e-02,9.030347683634453171e-01,3.762614583756009740e-02,1.204013377926421435e-01,9.966666666666667007e-01,9.746490925804873751e-01,3.181197714090594486e-01,1.349279097912070791e+00,2.999000000000000110e+00
7.692307692307692735e-02,9.724943299810940855e-01,-1.027662459376124104e-01,9.015486375093997307e-01,-5.678433945781794639e-02,9.665551839464883166e-01,9.966666666666667007e-01,9.709805550664182272e-01,2.840657201588948633e-01,1.418385098668865085e+00,2.999000000000000110e+00
1.000000000000000056e-01,9.730290076821107581e-01,-7.247856315699716112e-02,8.983811291096139851e-01,-2.522311824863211413e-02,9.030100334448160071e-01,9.966666666666667007e-01,9.732077607561372412e-01,2.590063527074425997e-01,1.418465963492610005e+00,2.999000000000000110e+00
1.250000000000000000e-01,9.742802211723512462e-01,-3.646891368647288412e-02,9.084097568607486517e-01,1.270918041212469943e-02,9.030100334448160071e-01,9.966666666666667007e-01,9.744896350042673294e-01,2.568504037163302778e-01,1.431866923052814267e+00,2.999000000000000110e+00
1.111111111111111049e-01,9.728066848784400200e-01,-7.396747361542699295e-02,9.007142617017812602e-01,-2.687343770852417338e-02,9.030100334448160071e-01,9.966666666666667007e-01,9.730869089195174348e-01,2.607055927885774116e-01,1.419539316158472619e+00,2.999000000000000110e+00
5.000000000000000000e-01,9.729800372210967163e-01,-5.630423338588401438e-02,9.032615958794822930e-01,-1.228148466893585946e-03,4.816081509018311779e-01,9.966666666666667007e-01,9.730082587372503866e-01,2.446620570532549443e-01,1.419423116992223122e+00,9.433351058739195549e-01
5.000000000000000000e-01,9.729655920940997182e-01,-5.688748790812794137e-02,9.031957105495274085e-01,-1.347041430950945929e-03,4.812364036899352548e-01,9.966666666666667007e-01,9.729938757170277785e-01,2.446620570532549443e-01,1.419278826512407221e+00,8.094509248149467373e-01
1.000000000000000056e-01,9.752020797629472604e-01,1.366108003118304826e-02,9.110664957552541132e-01,7.818588931483959337e-02,9.030100334448160071e-01,9.966666666666667007e-01,9.754409819468513598e-01,2.439408863849139020e-01,1.441925129389703519e+00,2.999000000000000110e+00
1.111111111111111049e-01,9.720228235923606963e-01,-9.653244066081961838e-02,9.009791801190504268e-01,-4.871929425671824021e-02,9.030100334448160071e-01,9.966666666666667007e-01,9.710537347049592594e-01,2.951710324986335232e-01,1.417366843653848685e+00,2.999000000000000110e+00
5.000000000000000000e-01,9.729655920940997182e-01,-5.688748790812794137e-02,9.031957105495274085e-01,-1.347041430950945929e-03,4.812364036899352548e-01,9.966666666666667007e-01,9.729938757170277785e-01,2.446620570532549443e-01,1.419278826512407221e+00,8.094509248149467373e-01
7.142857142857142461e-02,9.716405130602967510e-01,-1.260384501720134276e-01,9.018137583932617218e-01,-7.944131538790227820e-02,9.665551839464883166e-01,9.966666666666667007e-01,9.714376880699315819e-01,2.441643119435748799e-01,1.407369430980542235e+00,2.999000000000000110e+00
5.555555555555555247e-02,9.711766588418511148e-01,-1.628763663073548584e-01,8.934578195638441800e-01,-1.045307537804549131e-01,9.665551839464883166e-01,9.966666666666667007e-01,9.731731734879109919e-01,2.573486033800556627e-01,1.398938867140506082e+00,2.999000000000000110e+00
