# Feature,NegativeMSE, R2, Negative_MedianAbsoluteError, explained_variance,SVs-Trees-Neurons, Distance, RMSE, correlation, Weighted_Sum, Classification_Model
5.555555555555555247e-02,9.873285962504033675e-01,1.886410958830007228e-02,9.395815506402618311e-01,4.509781482471578729e-01,8.193979933110367986e-01,9.906249999999999778e-01,9.879813994010321343e-01,3.383622433318472789e-01,1.498222995842136251e+00,2.999000000000000110e+00
5.882352941176470507e-02,9.864599766900873368e-01,-1.290208265170827706e-01,9.393711109700891848e-01,3.824676467132042679e-01,8.193979933110367986e-01,9.906249999999999778e-01,9.868808890767830633e-01,3.371771622972824511e-01,1.473299696907105716e+00,2.999000000000000110e+00
5.555555555555555247e-02,9.865257293006701733e-01,-3.760521558903289208e-01,9.357407965556731044e-01,1.485732356563949086e-01,9.665551839464883166e-01,9.906249999999999778e-01,9.858325940431177381e-01,3.241898177093717193e-01,1.433961368953663440e+00,2.999000000000000110e+00
5.882352941176470507e-02,9.875387717945750543e-01,-5.040397126039730669e-02,9.383141710460425333e-01,4.132869726984217951e-01,8.193979933110367986e-01,9.906249999999999778e-01,9.879906430170253273e-01,3.348567025214499449e-01,1.486405973187899576e+00,2.999000000000000110e+00
6.250000000000000000e-02,9.864674156822568207e-01,-4.795963969959703144e-02,9.421221604408547279e-01,4.216125625546381928e-01,8.193979933110367986e-01,9.906249999999999778e-01,9.858157682775068320e-01,3.347846777954305852e-01,1.486994186611382274e+00,2.999000000000000110e+00
5.263157894736841813e-02,9.861114536669981501e-01,-8.404849870592892014e-01,9.414289511869990967e-01,-2.190793614587333293e-01,9.665551839464883166e-01,9.906249999999999778e-01,9.879517177751223622e-01,3.314717311701459446e-01,1.342398816797564676e+00,2.999000000000000110e+00
5.882352941176470507e-02,9.864657297005701153e-01,-1.458172342698843271e-01,9.399298426866918854e-01,3.394363456733223705e-01,8.193979933110367986e-01,9.906249999999999778e-01,9.871502576054458356e-01,3.456198339500330396e-01,1.467688651708234593e+00,2.999000000000000110e+00
5.000000000000000278e-02,9.872948321782772929e-01,4.294856278413394790e-02,9.418195751118703107e-01,4.351326732235037409e-01,8.193979933110367986e-01,9.906249999999999778e-01,9.874788475619087347e-01,3.402935619543019374e-01,1.498891059525502945e+00,2.999000000000000110e+00
5.263157894736841813e-02,9.873732904511122177e-01,-6.997180555084456244e-02,9.401427050380203321e-01,3.583474647457599582e-01,8.193979933110367986e-01,9.906249999999999778e-01,9.875577311612037112e-01,3.368369884491860811e-01,1.477630617845872685e+00,2.999000000000000110e+00
5.555555555555555247e-02,9.880890206243108098e-01,-2.880678363576941875e-02,9.366369359195029221e-01,4.482752188346250111e-01,8.193979933110367986e-01,9.906249999999999778e-01,9.879848878800345791e-01,3.392442735228838879e-01,1.493242031958997851e+00,2.999000000000000110e+00
5.882352941176470507e-02,9.870522162660362309e-01,-8.409561416637020836e-02,9.403959913569915896e-01,3.991468256304320783e-01,4.949832775919732475e-01,9.906249999999999778e-01,9.871639251690229599e-01,3.300671302818727892e-01,1.444111914215116421e+00,2.999000000000000110e+00
6.250000000000000000e-02,9.867262013990444336e-01,-2.154048708163311399e-01,9.334133305910253808e-01,3.066528766727028010e-01,8.193979933110367986e-01,9.906249999999999778e-01,9.866950208624564178e-01,3.307632122074916081e-01,1.454586619646536239e+00,2.999000000000000110e+00
5.000000000000000000e-01,9.614409472629489306e-01,-6.730353751546521046e+00,8.840967814954585613e-01,-3.186641794908724901e+00,8.193979933110367986e-01,9.906249999999999778e-01,9.623767085247056929e-01,2.642654974873716034e-01,3.475056563325351622e-01,2.999000000000000110e+00
6.250000000000000000e-02,9.857780855565118072e-01,-4.294898258554493142e-01,9.374361690629491317e-01,1.822687655221329472e-01,8.193979933110367986e-01,9.906249999999999778e-01,9.861837354594786831e-01,3.366011384240227278e-01,1.416964314609920894e+00,2.999000000000000110e+00
5.555555555555555247e-02,9.867795469548961140e-01,-2.597194416197029510e-01,9.402542767453496708e-01,1.966274206369300059e-01,8.193979933110367986e-01,9.906249999999999778e-01,9.864978139154949588e-01,3.340685360554780936e-01,1.437830847127677947e+00,2.999000000000000110e+00
5.555555555555555247e-02,9.886049409684019018e-01,-5.176478366273280785e-02,9.375431837044660988e-01,4.433341416671119362e-01,4.515050167224080035e-01,9.906249999999999778e-01,9.887201358574749799e-01,3.460941502992381236e-01,1.450781867758615729e+00,2.999000000000000110e+00
6.666666666666666574e-02,9.854727397315828918e-01,-5.976825341719953499e-01,9.401299669266331982e-01,-7.043891085469326796e-02,8.193979933110367986e-01,9.906249999999999778e-01,9.843277503870421219e-01,3.138019730720842948e-01,1.367881144739178101e+00,2.999000000000000110e+00
