# Feature,NegativeMSE, R2, Negative_MedianAbsoluteError, explained_variance,SVs-Trees-Neurons, Distance, RMSE, correlation, Weighted_Sum, Classification_Model
5.263157894736841813e-02,9.876143740359921708e-01,-2.073434901521639395e-01,9.382278876675663737e-01,3.460742888297822506e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.882464073667749371e-01,3.456278160302922453e-01,1.468800765695211119e+00,2.999000000000000110e+00
6.250000000000000000e-02,9.878849140330289158e-01,-2.246840094921038755e-01,9.367781093126048564e-01,2.457438070311705469e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.874739964757667243e-01,3.451797473625547452e-01,1.456826605914181894e+00,2.999000000000000110e+00
5.000000000000000278e-02,9.882502724250890047e-01,-6.033697787279793806e-02,9.383550460809680915e-01,4.325744366860929668e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.886016708444425038e-01,3.524365499007183766e-01,1.495970234677518995e+00,2.999000000000000110e+00
4.545454545454545581e-02,9.887885017033141155e-01,1.004598186407064525e-01,9.386686013213910718e-01,5.486158624491948022e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.894955798121168877e-01,3.585133821748109906e-01,1.527632385454807062e+00,2.999000000000000110e+00
5.263157894736841813e-02,9.874731661181559428e-01,-1.171961011105745465e-01,9.377839459414593071e-01,3.967027611669739495e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.875675191208379555e-01,3.415799492330523490e-01,1.483711108520892719e+00,2.999000000000000110e+00
5.263157894736841813e-02,9.882970762322397240e-01,-5.738092576033615444e-02,9.431936110017837827e-01,4.721831886007727408e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.873737454621085430e-01,3.377392083701821202e-01,1.499812203461292626e+00,2.999000000000000110e+00
5.555555555555555247e-02,9.877403271256024464e-01,-1.178507179846673691e-01,9.370732197088166293e-01,3.431861430557142656e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.871691793898118572e-01,3.269082526976228031e-01,1.476560396209581461e+00,2.999000000000000110e+00
4.761904761904761640e-02,9.881151734729568537e-01,-1.303466516910437543e-02,9.433475992508976171e-01,4.099035955101785200e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.876445464978311772e-01,3.504375458389575870e-01,1.498518674053859190e+00,2.999000000000000110e+00
5.882352941176470507e-02,9.884257408459239391e-01,2.068048423404090716e-02,9.396700938734765529e-01,4.982988509865927118e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.879644512591433392e-01,3.337364806268151574e-01,1.511447773450936616e+00,2.999000000000000110e+00
6.666666666666666574e-02,9.884057482207184719e-01,-3.664482281190684088e-01,9.421485419203248224e-01,1.335919951591680865e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.881272026283651755e-01,3.529000376029071684e-01,1.431182484474767147e+00,2.999000000000000110e+00
5.263157894736841813e-02,9.877481571666422155e-01,-1.347126685066290033e-02,9.378618110615409842e-01,4.235354717838544225e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.881376061395579224e-01,3.486026252457002372e-01,1.499375340022348624e+00,2.999000000000000110e+00
4.761904761904761640e-02,9.889785340578687300e-01,-4.173321267788998243e-03,9.423516405947716112e-01,4.326405898189988330e-01,1.000000000000000048e-04,9.906249999999999778e-01,9.889602874272493960e-01,3.593363241369740835e-01,1.406291100989770948e+00,2.999000000000000110e+00
7.142857142857142461e-02,9.880198554673353950e-01,-8.037556576452387080e-03,9.359805790570590034e-01,4.622192163538629828e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.887315967982421849e-01,3.354063865963035629e-01,1.505058445615366614e+00,2.999000000000000110e+00
4.761904761904761640e-02,9.878730356026947934e-01,2.743037135777282032e-02,9.407656443647928191e-01,4.554202624399148469e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.878582061875172959e-01,3.416354550807967905e-01,1.506562000587127415e+00,2.408233542351739587e+00
4.761904761904761640e-02,9.878576795852220815e-01,-1.513399534554077941e-01,9.356018861984947144e-01,3.864371927799715167e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.877514768714860116e-01,3.463675244251236962e-01,1.478956959166477070e+00,2.999000000000000110e+00
5.555555555555555247e-02,9.882953204771347533e-01,-3.092025300116308939e-01,9.412921966632158410e-01,3.492930300061497517e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.886237430851064767e-01,3.469183853594044464e-01,1.459448027515167334e+00,2.999000000000000110e+00
5.555555555555555247e-02,9.868441624300763326e-01,-1.513854083862862521e-01,9.370617033132979667e-01,4.197215344288990346e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.871365722703620005e-01,3.260210558058198038e-01,1.480239033277307437e+00,2.999000000000000110e+00
5.263157894736841813e-02,9.885007342749220216e-01,-2.201328149258247047e-02,9.416722914098636377e-01,4.784516586578480002e-01,7.257525083612039740e-01,9.906249999999999778e-01,9.885553599318643858e-01,3.480553008929868075e-01,1.488679195495308027e+00,2.999000000000000110e+00
5.000000000000000278e-02,9.867134499533154468e-01,-2.874070613542700769e-01,9.420697591995564890e-01,2.906753286765817457e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.867270456490141450e-01,3.289032434926776882e-01,1.450855719711563463e+00,2.999000000000000110e+00
4.347826086956521618e-02,9.891105046462863593e-01,5.438202845233329474e-02,9.429983282190693705e-01,5.141513960024399754e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.890611598843879193e-01,3.537890565050320069e-01,1.518729326511449651e+00,2.999000000000000110e+00
7.142857142857142461e-02,9.873770103925512132e-01,-1.634136292182805372e-01,9.398335966093448457e-01,2.602907556482604856e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.877428557037962742e-01,3.387956326361506454e-01,1.465338505437856931e+00,2.999000000000000110e+00
5.000000000000000278e-02,9.883590572059596235e-01,-8.101057842849140878e-02,9.394832378364835757e-01,4.340345336096563256e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.879945734733492912e-01,3.392363814326470051e-01,1.492547486910066556e+00,2.999000000000000110e+00
4.761904761904761640e-02,9.870653197006062918e-01,-1.257092091976017012e-01,9.405471476547502263e-01,3.531295924279263532e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.875844189525784245e-01,3.409526860644552793e-01,1.477152838081619679e+00,2.999000000000000110e+00
5.000000000000000278e-02,9.882959036339101777e-01,-2.078587524732631447e-02,9.433795699815014091e-01,4.359994322492848906e-01,8.795986622073578287e-01,9.906249999999999778e-01,9.875978218295070610e-01,3.363040077954243534e-01,1.499450295017205725e+00,2.999000000000000110e+00
