# Feature,NegativeMSE, R2, Negative_MedianAbsoluteError, explained_variance,SVs-Trees-Neurons, Distance, RMSE, correlation, Weighted_Sum, Classification_Model
9.090909090909091161e-02,9.891410869449910326e-01,2.482598198698798275e-01,9.415967229934135707e-01,5.578671425605752354e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.887454365933164846e-01,3.559942343009669385e-01,1.532278042246922434e+00,2.977600212595674645e+00
9.090909090909091161e-02,9.808181845470278493e-01,-1.943115721030179044e+00,9.207336423794884039e-01,-5.483665346973152221e-01,9.665551839464883166e-01,9.937500000000000222e-01,9.806600436707022528e-01,2.852419694213548795e-01,1.173422168896656403e+00,2.999000000000000110e+00
1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04
9.090909090909091161e-02,9.890205231811047826e-01,-3.190623573598534712e-02,9.408143222591296428e-01,3.650045544717441248e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.880412737266850431e-01,3.390485587882360319e-01,1.477537317752788848e+00,2.977600212595674645e+00
2.000000000000000111e-01,9.852916006941924154e-01,-3.008583603851806565e-01,9.318372529512001234e-01,2.562655085797596044e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.851809166190961253e-01,3.211804448685916524e-01,1.440248981457838084e+00,2.999000000000000110e+00
8.333333333333332871e-02,9.866216280731704424e-01,-2.096219359359444978e-01,9.338659144890839592e-01,3.554888718733358877e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.869964860606860180e-01,3.249645810947857649e-01,1.450773621688015158e+00,2.977600212595674645e+00
9.090909090909091161e-02,9.884216443955731179e-01,-2.554156980438561098e-01,9.437991853094451766e-01,1.685551261868130923e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.884553974467774617e-01,3.416200881228632080e-01,1.430873188603557056e+00,2.977600212595674645e+00
8.333333333333332871e-02,9.856737255778925677e-01,-1.045667376267708920e-01,9.326916571512531284e-01,3.753355819229791668e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.853329266916993623e-01,3.065839932818749669e-01,1.461240786008715986e+00,2.977600212595674645e+00
1.000000000000000056e-01,9.869458565662609928e-01,-2.842634744958972837e-01,9.339024052871871540e-01,3.581663261601958359e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.871361558078080023e-01,3.302780997059334700e-01,1.445599682408109654e+00,2.999000000000000110e+00
7.692307692307692735e-02,9.887650578148415859e-01,-3.225256879474319716e-01,9.373246237609202947e-01,2.849564030015641625e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.886304243550160242e-01,3.410114350237890557e-01,1.434409990756722486e+00,2.999000000000000110e+00
1.000000000000000056e-01,9.838794848421276162e-01,-1.000772259314004931e+00,9.244040499431636082e-01,1.306231732115266664e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.834521551246313553e-01,3.132593904557815501e-01,1.333942269043058459e+00,2.999000000000000110e+00
1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04
1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000048e-04
8.333333333333332871e-02,9.883384905876202442e-01,-1.114183124666033170e-01,9.381717132122967540e-01,3.967635894601195257e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.885559379031206850e-01,3.519863334628585694e-01,1.471832951591830918e+00,2.999000000000000110e+00
8.333333333333332871e-02,9.881062668073056221e-01,1.743191194100273678e-01,9.446072693346861948e-01,5.273363273152936737e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.885723028542621194e-01,3.511114630168284401e-01,1.518451282986959860e+00,2.999000000000000110e+00
1.000000000000000056e-01,9.866107984611030002e-01,-7.966965154576202135e-01,9.351236470512649390e-01,-2.346337650565042537e-02,7.157190635451504690e-01,9.937500000000000222e-01,9.869509538255026859e-01,3.269694947568339560e-01,1.345634583536279072e+00,2.977600212595674645e+00
7.692307692307692735e-02,9.888525008504692737e-01,1.667713880378953739e-01,9.402841965951723724e-01,5.179824133479249415e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.886199738262668735e-01,3.487673260328533753e-01,1.515954716312559292e+00,2.977600212595674645e+00
7.692307692307692735e-02,9.885137348862955697e-01,1.116845558488302331e-01,9.370107643223424265e-01,5.186098461782726599e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.885967098926075058e-01,3.406204452195755183e-01,1.508255756754756982e+00,2.999000000000000110e+00
1.428571428571428492e-01,9.886475231360772886e-01,8.099195460262666180e-02,9.430559262369625495e-01,4.674561184794961965e-01,1.471571906354515180e-01,9.937500000000000222e-01,9.887640526509458017e-01,3.495387642934074668e-01,1.445144042346311997e+00,2.977600212595674645e+00
9.090909090909091161e-02,9.881057338694816394e-01,1.778008084919691922e-01,9.420452116047415281e-01,5.282593604559208122e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.885594857326902574e-01,3.599066442748001249e-01,1.520473000412130959e+00,2.999000000000000110e+00
1.111111111111111049e-01,9.522818218454817130e-01,-7.681281682076951611e+00,8.632434978961806005e-01,-1.235411772202564595e+00,3.219670577082592855e-01,9.937500000000000222e-01,9.531502842396946118e-01,2.454685806857386798e-01,3.445628106462539919e-01,6.161567768265308054e-01
1.666666666666666574e-01,9.862843956237261622e-01,-1.313257488886068192e-01,9.348118087770213025e-01,4.389719242831341961e-01,1.471571906354515180e-01,9.937500000000000222e-01,9.862490505042422750e-01,3.389850140403994350e-01,1.416039984695063536e+00,2.977600212595674645e+00
7.692307692307692735e-02,9.865307075986321506e-01,-3.734368633590451902e-01,9.380863258728692200e-01,2.126127632141470991e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.870522805987465009e-01,3.221976966486349570e-01,1.416051268825544662e+00,2.977600212595674645e+00
1.428571428571428492e-01,9.811708930199972700e-01,-5.833658082525655653e-01,9.218935898619544655e-01,1.202911628380004122e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.812088584972962213e-01,3.114954835078706519e-01,1.380200935894980274e+00,2.977600212595674645e+00
1.000000000000000056e-01,9.869053783420232984e-01,-2.607192300534443286e-01,9.417704171641420041e-01,2.765504265587778177e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.872976364240960701e-01,3.390568254336141507e-01,1.440969880276951942e+00,2.977600212595674645e+00
1.111111111111111049e-01,9.874778084440174464e-01,-1.682120485763709608e-02,9.348780400856238071e-01,4.470598732567641065e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.872590322231775684e-01,3.318760183446215484e-01,1.487317779794331774e+00,2.977600212595674645e+00
8.333333333333332871e-02,9.888037941940682751e-01,1.318083884518554405e-01,9.425325521016110208e-01,5.078246506124064474e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.885726562200327638e-01,3.327395014102307313e-01,1.510063120846144802e+00,2.999000000000000110e+00
2.500000000000000000e-01,9.842226480021084578e-01,-4.186045859190229979e-01,9.250072345694958509e-01,2.889434870285927381e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.842063842886693559e-01,3.067309206061533122e-01,1.432692109348902232e+00,2.999000000000000110e+00
5.000000000000000000e-01,9.609379030243730968e-01,-5.361928310824096044e+00,8.856789954548400789e-01,-1.920139440921496243e+00,7.157190635451504690e-01,9.937500000000000222e-01,9.613222490339191628e-01,2.842228944543129798e-01,6.304727201095956524e-01,2.999000000000000110e+00
8.333333333333332871e-02,9.887590159894024122e-01,6.884914153777287049e-02,9.401049204792499836e-01,4.701426527464626082e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.882226329345022986e-01,3.397615599054169544e-01,1.499302607152879219e+00,2.999000000000000110e+00
7.142857142857142461e-02,9.887743472271420808e-01,-7.900841211676110087e-02,9.451000447313346875e-01,4.353143667020351049e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.885515424235912230e-01,3.566566585895470376e-01,1.480167256397209918e+00,2.999000000000000110e+00
1.111111111111111049e-01,9.857055893259538681e-01,-4.885249883293451556e-01,9.316825852952741460e-01,2.975733408910197220e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.854934937636505854e-01,3.231957826527124267e-01,1.414811809132123566e+00,2.999000000000000110e+00
9.090909090909091161e-02,9.885898802842068012e-01,1.648830123553415850e-01,9.429944692159880626e-01,4.988285805088829017e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.887182189243434172e-01,3.592407853490663383e-01,1.516354669294436963e+00,2.999000000000000110e+00
9.090909090909091161e-02,9.862099562164681199e-01,-6.194192600377996794e-01,9.349645367407358743e-01,1.365983275061189717e-01,1.471571906354515180e-01,9.937500000000000222e-01,9.864819606986892087e-01,3.254493932916850962e-01,1.318248977989850523e+00,2.977600212595674645e+00
1.250000000000000000e-01,9.882974159995967511e-01,-5.203275192019862945e-03,9.409616395589138760e-01,4.457590638661795834e-01,1.471571906354515180e-01,9.937500000000000222e-01,9.882598361781795848e-01,3.450279999791409646e-01,1.429992957224645922e+00,2.977600212595674645e+00
1.000000000000000056e-01,9.869900899794104010e-01,-4.111476262065272280e-01,9.373764889821494251e-01,2.411452120394492749e-01,1.471571906354515180e-01,9.937500000000000222e-01,9.870716400094659004e-01,3.261671353604730372e-01,1.355296771179396176e+00,2.977600212595674645e+00
2.000000000000000111e-01,9.837268513679643389e-01,-7.252498658038486479e-01,9.301992761706970869e-01,-2.919590995628405100e-02,7.157190635451504690e-01,9.937500000000000222e-01,9.837823469214852512e-01,3.069604626273448322e-01,1.357720431909354097e+00,2.977600212595674645e+00
7.692307692307692735e-02,9.873536674713434547e-01,-1.848457531970643664e-01,9.353810499665160538e-01,4.008000205518499892e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.871263360356561378e-01,3.420176250687360087e-01,1.460739788178595289e+00,2.999000000000000110e+00
1.111111111111111049e-01,9.872701309240127232e-01,-6.676396137041391843e-02,9.337368385590929520e-01,4.530365696681776244e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.880791933609032185e-01,3.440609557813797958e-01,1.483520119988392283e+00,2.999000000000000110e+00
1.111111111111111049e-01,9.876352560416741255e-01,-4.383340066258519657e-02,9.401983216698833745e-01,3.928546622856449733e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.876420561763780137e-01,3.284357743940958252e-01,1.478720016548491278e+00,2.999000000000000110e+00
5.000000000000000000e-01,9.611740833766819758e-01,-5.421536457227570160e+00,8.858190967106379654e-01,-1.908050003546449602e+00,7.157190635451504690e-01,9.937500000000000222e-01,9.612777554199103403e-01,2.798059340528065708e-01,6.249751358579228588e-01,2.999000000000000110e+00
8.333333333333332871e-02,9.875660463080779827e-01,8.834125279697106758e-02,9.403875523494213962e-01,4.825537595050642392e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.875958744379126353e-01,3.549970111818273599e-01,1.503176478914495684e+00,2.999000000000000110e+00
