UniprotID,Protein_Accession
Q9CQV8-1,NP_061223.2
Q9CQV8-1,NM_018753.6
Q9CQV8-1,XP_006499972.1
Q9CQV8-1,XM_006499909.1
P62259,NP_033562.3
P62259,NM_009536.4
P68510,NP_035868.1
P68510,NM_011738.2
P61982,NP_061359.2
P61982,NM_018871.3
O70456,NP_061224.2
O70456,NM_018754.2
P68254-1,NP_035869.1
P68254-1,NM_011739.3
P63101,NP_001240734.1
P63101,NM_001253805.1
P63101,NP_001240735.1
P63101,NM_001253806.1
P63101,NP_035870.1
P63101,NM_011740.3
P63101,XP_011243654.1
P63101,XM_011245352.2
A2AIG8-1,NP_001277711.1
A2AIG8-1,NM_001290782.1
A2AIG8-2,NP_899043.1
A2AIG8-2,NM_183220.3
A2AIG8-1,XP_006499823.1
A2AIG8-1,XM_006499760.2
A2AIG8-1,XP_006499824.1
A2AIG8-1,XM_006499761.2
A2AIG8-2,XP_006499826.1
A2AIG8-2,XM_006499763.2
A2AIG8-2,XP_006499827.1
A2AIG8-2,XM_006499764.2
A2AIG8-2,XP_006499828.1
A2AIG8-2,XM_006499765.2
A2AIG8-2,XP_006499829.1
A2AIG8-2,XM_006499766.2
Q3UX83-1,NP_001028624.2
Q3UX83-1,NM_001033452.4
Q3UX83,XP_011237948.1
Q3UX83,XM_011239646.1
Q6PD03,NP_659129.2
Q6PD03,NM_144880.4
Q6PD28,NP_937811.1
Q6PD28,NM_198168.3
Q61151,NP_036154.1
Q61151,NM_012024.2
Q61151,XP_006515988.1
Q61151,XM_006515925.2
Q60996-3,NP_001074926.1
Q60996-3,NM_001081457.2
Q60996-2,NP_001074927.1
Q60996-2,NM_001081458.2
Q60996-1,NP_036153.2
Q60996-1,NM_012023.3
Q60996,XP_017170571.1
Q60996,XM_017315082.1
Q76MZ3,NP_058587.1
Q76MZ3,NM_016891.3
Q7TNP2,NP_082890.2
Q7TNP2,NM_028614.3
Q6P1F6,NP_001192117.1
Q6P1F6,NM_001205188.1
Q6P1F6,NP_082308.1
Q6P1F6,NM_028032.3
Q6ZWR4-2,NP_082668.1
Q6ZWR4-2,NM_028392.3
Q925E7,NP_080667.1
Q925E7,NM_026391.2
Q8BG02,NP_766582.1
Q8BG02,NM_172994.2
P24815,NP_001291729.1
P24815,NM_001304800.1
P24815,NP_032319.1
P24815,NM_008293.4
P24815,XP_006501099.1
P24815,XM_006501036.2
P26149,NP_694873.2
P26149,NM_153193.3
P26149,XP_006501101.1
P26149,XM_006501038.3
P26150,NP_001155214.1
P26150,NM_001161742.1
P26150,NP_001155215.1
P26150,NM_001161743.1
P26150,NP_001155216.1
P26150,NM_001161744.1
P26150,NP_001155217.1
P26150,NM_001161745.1
P26150,XP_006501104.1
P26150,XM_006501041.1
Q61767,NP_001104806.1
Q61767,NM_001111336.1
Q61767,NP_001257358.1
Q61767,NM_001270429.1
Q61767,NP_032320.1
Q61767,NM_008294.2
Q61767,XP_017174900.1
Q61767,XM_017319411.1
Q61767,XP_017174957.1
Q61767,XM_017319468.1
Q61694,NP_032321.2
Q61694,NM_008295.2
O35469,NP_038849.2
O35469,NM_013821.3
Q9EQC1,NP_598704.2
Q9EQC1,NM_133943.2
P55194,NP_001303613.1
P55194,NM_001316684.1
Q99LH9,NP_001154810.1
Q99LH9,NM_001161338.2
Q99LH9,NP_001295097.1
Q99LH9,NM_001308168.1
Q99LH9,NP_077800.3
Q99LH9,NM_024480.5
Q99LH9,XP_006534586.1
Q99LH9,XM_006534523.1
Q9Z131-3,NP_001334514.1
Q9Z131-3,NM_001347585.1
Q9Z131-2,NP_036024.2
Q9Z131-2,NM_011894.3
Q78JT3,NP_079601.1
Q78JT3,NM_025325.2
Q78JT3,XP_006523526.1
Q78JT3,XM_006523463.3
Q99L13,NP_663542.1
Q99L13,NM_145567.1
Q04841,NP_034952.2
Q04841,NM_010822.3
Q60876,NP_031944.3
Q60876,NM_007918.3
P70445,NP_034254.1
P70445,NM_010124.2
P70445,XP_017169281.1
P70445,XM_017313792.1
P70445,XP_017169282.1
P70445,XM_017313793.1
Q80VV3,NP_957708.1
Q80VV3,NM_201256.4
Q9EST3-1,NP_001160019.1
Q9EST3-1,NM_001166547.1
Q9EST3-2,NP_001160020.1
Q9EST3-2,NM_001166548.1
Q9EST3-2,NP_001160021.1
Q9EST3-2,NM_001166549.1
Q9EST3-1,NP_076232.2
Q9EST3-1,NM_023743.2
Q9EST3-1,XP_006514904.1
Q9EST3-1,XM_006514841.2
Q9EST3-1,XP_006514905.1
Q9EST3-1,XM_006514842.3
Q9EST3-1,XP_006514906.1
Q9EST3-1,XM_006514843.3
Q9EST3-2,XP_006514907.1
Q9EST3-2,XM_006514844.2
Q9EST3-2,XP_017170295.1
Q9EST3-2,XM_017314806.1
P10852-2,NP_001154885.1
P10852-2,NM_001161413.1
P10852-1,NP_032603.3
P10852-1,NM_008577.4
P10852-1,XP_017173567.1
P10852-1,XM_017318078.1
Q64264,NP_032334.2
Q64264,NM_008308.4
P28334,NP_034612.1
P28334,NM_010482.1
Q61224,NP_001272411.1
Q61224,NM_001285482.1
Q61224,NP_001272412.1
Q61224,NM_001285483.1
Q61224,NP_001272413.1
Q61224,NM_001285484.1
Q61224,NP_032335.2
Q61224,NM_008309.5
Q61224,XP_006538640.1
Q61224,XM_006538577.2
Q61224,XP_006538641.1
Q61224,XM_006538578.2
Q61224,XP_017175475.1
Q61224,XM_017319986.1
Q02284,NP_032336.1
Q02284,NM_008310.3
P35363,NP_766400.1
P35363,NM_172812.2
Q02152,NP_032337.2
Q02152,NM_008311.2
Q02152,XP_006529210.1
Q02152,XM_006529147.2
P34968,NP_032338.3
P34968,NM_008312.4
P23979,NP_038589.2
P23979,NM_013561.2
Q9JHJ5,NP_064670.1
Q9JHJ5,NM_020274.4
P97288-1,NP_032339.2
P97288-1,NM_008313.4
P97288-1,XP_006525739.1
P97288-1,XM_006525676.3
P97288-1,XP_006525741.1
P97288-1,XM_006525678.3
P97288-2,XP_006525743.1
P97288-2,XM_006525680.3
P97288-3,XP_006525746.1
P97288-3,XM_006525683.3
P97288,XP_017173328.1
P97288,XM_017317839.1
P30966,NP_032340.2
P30966,NM_008314.2
Q9R1C8,NP_067333.1
Q9R1C8,NM_021358.2
Q9R1C8,XP_011248498.1
Q9R1C8,XM_011250196.2
P32304,NP_032341.2
P32304,NM_008315.2
Q91VK1,NP_080116.2
Q91VK1,NM_025840.3
Q9CQC6,NP_080100.1
Q9CQC6,NM_025824.3
A3KFX0,NP_001078971.1
A3KFX0,NM_001085502.1
Q91YE9-1,NP_081864.2
Q91YE9-1,NM_027588.3
Q9D020-1,NP_001239303.1
Q9D020-1,NM_001252374.1
Q9D020-3,NP_080280.3
Q9D020-3,NM_026004.3
Q9D020,XP_006505335.1
Q9D020,XM_006505272.1
Q9D020-1,XP_006505336.1
Q9D020-1,XM_006505273.1
Q9D020-1,XP_011239413.1
Q9D020-1,XM_011241111.1
Q3UFY7-1,NP_001096120.1
Q3UFY7-1,NM_001102650.1
Q3UFY7-2,NP_080837.3
Q3UFY7-2,NM_026561.4
