uidA,uidB,ConfidenceA,ConfidenceB,PPI_type,MMGBSA_1,MMGBSA_2,MMGBSA_3,MMGBSA_4,MMGBSA_5,MMGBSA_6,MMGBSA_7,MMGBSA_8,MMGBSA_9,MMGBSA_10,AVERAGE_3,AVERAGE_5,AVERAGE_10
P25963,P04083,82.58,95.59,1,-70.73,-63.24,-58.65,-56.99,-46.44,-43.54,-41.45,-39.41,-31.7,-22.45,-64.20666667,-59.21,-47.46
Q9Y6K9,O14980,82.83,91.62,1,-77.42,-52.88,-48.75,-46.68,-43.86,-42.45,-36.59,-33.52,-28.69,-17.79,-59.68333333,-53.918,-42.863
Q8IV04,P16298,81.7,85.85,1,-76.38,-66.62,-64.71,-60.58,-57.01,-52.62,-46.38,-41.37,-38.4,-29.36,-69.23666667,-65.06,-53.343
Q14164,K9JA46,88.66,84.41,1,-66.9,-45.88,-44.74,-41.28,-31.6,-26.09,-23.25,-19.13,-5.35,-2.18,-52.50666667,-46.08,-30.64
Q9Y333,P31689,94.61,83.35,1,-54.52,-51.94,-44.4,-40.85,-32.71,-32.64,-30.98,-26.13,-24.07,-22.66,-50.28666667,-44.884,-36.09
Q9UHD2,P0DPH7,89.88,91.52,1,-56.92,-53.5,-38.05,-33.79,-29.04,-25.06,-24.07,-23.12,-19.52,-17.18,-49.49,-42.26,-32.025
Q9Y6K9,Q9UBF6,82.83,83.71,1,-62.91,-62.01,-37.5,-36.65,-33.6,-33.17,-31.95,-31.93,-30.22,-28.39,-54.14,-46.534,-38.833
O95167,O75800,96.84,88.78,1,-71.46,-58.2,-56.62,-55.67,-50.5,-48.18,-45.84,-41.37,-38.52,-28.94,-62.09333333,-58.49,-49.53
P63261,Q14164,95.34,88.66,1,-63.61,-59.79,-52.4,-51.6,-48.89,-46.28,-41.5,-39.97,-24.46,-7.18,-58.6,-55.258,-43.568
Q9Y6K9,A0A024RD80,82.83,82.98,1,-56.03,-46.17,-44.74,-42.7,-42.12,-32.54,-31.07,-30.27,-28.79,-25.52,-48.98,-46.352,-37.995
P07437,Q9UHD2,91.86,89.88,1,-43.51,-41.99,-38.96,-38.78,-34.48,-28.34,-26.57,-17.87,-16.69,-11.26,-41.48666667,-39.544,-29.845
Q9Y4K3,P31689,86.19,83.35,1,-68.22,-65.29,-57.65,-55.97,-53.99,-46.71,-38.83,-32.67,-25.96,-15.37,-63.72,-60.224,-46.066
Q9Y6K9,A0A024R4Q8,82.83,88.76,1,-54.64,-52.39,-44.05,-43.59,-41.87,-32.94,-31.72,-31.67,-29.09,-13.58,-50.36,-47.308,-37.554
Q15628,Q15628,84.91,84.91,1,-85.73,-78.08,-76.33,-62.58,-61.28,-53.78,-46.97,-41.91,-35.8,-33.42,-80.04666667,-72.8,-57.588
Q9Y6K9,Q9NY65,82.83,91.91,1,-53.58,-44.24,-33.9,-31.06,-28.41,-23.12,-22.83,-22.7,-22.64,-21.23,-43.90666667,-38.238,-30.371
A0A024R8H5,P27708,87.27,87.41,1,-80.14,-54.37,-51.33,-40.75,-39.81,-39.37,-37.43,-32.18,-31.08,-18.43,-61.94666667,-53.28,-42.489
