UniprotID,Protein_Accession
P05100,NP_418005.1
P05100,NC_000913.3
P05100,WP_000438957.1
P05100,NZ_SSZK01000068.1
P04395,NP_416572.1
P04395,NC_000913.3
P04395,WP_000288420.1
P04395,NZ_LN832404.1
P30871,NP_417526.1
P30871,NC_000913.3
P30871,WP_000046281.1
P30871,NZ_LN832404.1
P76491,NP_416794.1
P76491,NC_000913.3
P76491,WP_000813859.1
P76491,NZ_LN832404.1
P0AC28,NP_417387.3
P0AC28,NC_000913.3
P00350,NP_416533.1
P00350,NC_000913.3
P00350,WP_000043484.1
P00350,NZ_LN832404.1
P52697,NP_415288.1
P52697,NC_000913.3
P52697,WP_000815435.1
P52697,NZ_SSZK01000002.1
P76578,NP_417015.1
P76578,NC_000913.3
P76578,WP_000736312.1
P76578,NZ_LN832404.1
P46854,NP_417898.1
P46854,NC_000913.3
P46854,WP_001295206.1
P46854,NZ_SSZK01000008.1
P46482,NP_417708.1
P46482,NC_000913.3
P46482,WP_000854021.1
P46482,NZ_STEB01000012.1
P46481,NP_417707.1
P46481,NC_000913.3
P46481,WP_000510991.1
P46481,NZ_CP064683.1
P67662,NP_417710.1
P67662,NC_000913.3
P67662,WP_000440317.1
P67662,NZ_STEB01000012.1
P46478,NP_417709.2
P46478,NC_000913.3
P46478,WP_000051841.1
P46478,NZ_STEB01000012.1
P31119,NP_417313.1
P31119,NC_000913.3
P31119,WP_000899054.1
P31119,NZ_STEB01000034.1
P00509,NP_415448.1
P00509,NC_000913.3
P00509,WP_000462687.1
P00509,NZ_STEB01000006.1
P77674,NP_415961.1
P77674,NC_000913.3
P77674,WP_001163872.1
P77674,NZ_LN832404.1
P77357,NP_415854.4
P77357,NC_000913.3
P77357,WP_000444929.1
P77357,NZ_SSZK01000012.1
P76052,NP_415853.1
P76052,NC_000913.3
P76052,WP_001156451.1
P76052,NZ_SSZK01000012.1
P77744,NP_415855.1
P77744,NC_000913.3
P77744,WP_000885458.1
P77744,NZ_LN832404.1
P46133,NP_415852.2
P46133,NC_000913.3
P46133,WP_000062973.1
P46133,NZ_SSUW01000011.1
P52127,NP_417117.1
P52127,NC_000913.3
P52127,WP_000445380.1
P52127,NZ_LN832404.1
P52126,NP_417116.1
P52126,NC_000913.3
P52126,WP_000136402.1
P52126,NZ_LN832404.1
P75747,NP_415243.4
P75747,NC_000913.3
P75747,WP_001336221.1
P75747,NZ_SSZK01000033.1
P67603,NP_417376.1
P67603,NC_000913.3
P67603,WP_001182957.1
P67603,NZ_SSUV01000019.1
P0ABD5,NP_414727.1
P0ABD5,NC_000913.3
P0ABD5,WP_000055741.1
P0ABD5,NZ_STEB01000032.1
P24182,NP_417722.1
P24182,NC_000913.3
P24182,WP_000884639.1
P24182,NZ_STEB01000012.1
P0A9Q5,NP_416819.1
P0A9Q5,NC_000913.3
P0A9Q5,WP_000118404.1
P0A9Q5,NZ_STEB01000008.1
P77580,NP_414885.1
P77580,NC_000913.3
P77580,WP_000044314.1
P77580,NZ_SSZK01000061.1
P0A9G6,NP_418439.1
P0A9G6,NC_000913.3
P0A9G6,WP_000857856.1
P0A9G6,NZ_STEB01000022.1
P11071,NP_418440.1
P11071,NC_000913.3
P11071,WP_001137220.1
P11071,NZ_SSZK01000049.1
P0CK95,WP_001034469.1
P0CK95,NZ_LN832404.1
P0CK95,YP_026189.1
P0CK95,NC_000913.3
P0A6A3,NP_416799.1
P0A6A3,NC_000913.3
P0A6A3,WP_000095707.1
P0A6A3,NZ_STEB01000008.1
P25516,NP_415792.1
P25516,NC_000913.3
P25516,WP_000099535.1
P25516,NZ_LN832404.1
P36683,NP_414660.1
P36683,NC_000913.3
P36683,WP_001307570.1
P36683,NZ_STEB01000010.1
P76518,NP_416872.4
P76518,NC_000913.3
P76518,WP_001296867.1
P76518,NZ_LN832404.1
P21515,NP_414938.1
P21515,NC_000913.3
P21515,WP_001009885.1
P21515,NZ_SSZK01000009.1
P24224,NP_417058.1
P24224,NC_000913.3
P24224,WP_000986023.1
P24224,NZ_STEB01000011.1
P37623,NP_417932.1
P37623,NC_000913.3
P37623,WP_000285774.1
P37623,NZ_SSZK01000008.1
P0A6A8,NP_415612.1
P0A6A8,NC_000913.3
P0A6A8,WP_000103754.1
P0A6A8,NZ_STEB01000016.1
P0AE06,NP_414996.1
P0AE06,NC_000913.3
P0AE06,WP_001295324.1
P0AE06,NZ_STEB01000007.1
P31224,NP_414995.1
P31224,NC_000913.3
P31224,WP_001132469.1
P31224,NZ_STEB01000007.1
P24177,NP_416965.1
P24177,NC_000913.3
P24177,WP_001273151.1
P24177,NZ_LN832404.1
P24180,NP_417731.1
P24180,NC_000913.3
P24180,WP_000160334.1
P24180,NZ_STEB01000012.1
P24181,NP_417732.1
P24181,NC_000913.3
P24181,WP_001273238.1
P24181,NZ_SSZK01000072.1
P0ACS9,NP_414997.1
P0ACS9,NC_000913.3
P0ACS9,WP_000101737.1
P0ACS9,NZ_STEB01000007.1
P0AAW9,NP_415283.1
P0AAW9,NC_000913.3
P0AAW9,WP_000891515.1
P0AAW9,NZ_STEB01000028.1
P27550,NP_418493.1
P27550,NC_000913.3
P27550,WP_000078239.1
P27550,NZ_STEB01000014.1
P32705,NP_418491.1
P32705,NC_000913.3
P32705,WP_000832573.1
P32705,NZ_SSZK01000016.1
P26646,NP_417719.1
P26646,NC_000913.3
P26646,WP_001148481.1
P26646,NZ_SSZK01000034.1
P0AB65,NP_415488.1
P0AB65,NC_000913.3
P0AB65,WP_000048252.1
P0AB65,NZ_SSZK01000002.1
P06134,NP_416717.1
P06134,NC_000913.3
P06134,WP_000710375.1
P06134,NZ_LN832404.1
P22333,NP_416140.1
P22333,NC_000913.3
P22333,WP_000567490.1
P22333,NZ_SSZK01000001.1
P31441,NP_418121.1
P31441,NC_000913.3
P31441,WP_001065718.1
P31441,NZ_SSZK01000043.1
P31466,NP_418170.1
P31466,NC_000913.3
P31466,WP_000019348.1
P31466,NZ_SSZK01000035.1
P31440,NP_418120.2
P31440,NC_000913.3
P31440,WP_001403836.1
P31440,NZ_SSZK01000043.1
P37686,WP_000741518.1
