UniprotID,Protein_Accession
P32234,NP_536733.1
P32234,NM_080485.6
P81928,NP_001262561.1
P81928,NM_001275632.1
P81928,NP_476951.1
P81928,NM_057603.6
P92177-3,NP_732309.1
P92177-3,NM_169796.2
P92177-2,NP_732310.1
P92177-2,NM_169797.3
P92177-1,NP_732311.1
P92177-1,NM_169798.3
P92177-4,NP_732312.1
P92177-4,NM_169799.2
P29310-1,NP_001014515.1
P29310-1,NM_001014515.2
P29310-2,NP_001014516.1
P29310-2,NM_001014516.2
P29310-1,NP_001260845.1
P29310-1,NM_001273916.1
P29310-1,NP_001260846.1
P29310-1,NM_001273917.1
P29310-1,NP_476885.2
P29310-1,NM_057537.4
P29310-1,NP_724884.1
P29310-1,NM_165740.3
P29310-2,NP_724885.1
P29310-2,NM_165741.3
P29310-2,NP_724886.1
P29310-2,NM_165742.2
P29310-3,NP_724887.2
P29310-3,NM_165743.3
P29310-3,NP_724888.2
P29310-3,NM_165744.3
P29310-2,NP_724889.2
P29310-2,NM_165745.3
P29310-2,NP_995792.1
P29310-2,NM_206070.2
P16909,NP_524188.1
P16909,NM_079464.3
P36179,NP_001027225.1
P36179,NM_001032054.3
P36179,NP_001027226.1
P36179,NM_001032055.3
P36179,NP_001027227.1
P36179,NM_001032056.3
P36872-1,NP_001287269.1
P36872-1,NM_001300340.1
P36872-1,NP_476880.1
P36872-1,NM_057532.4
P36872-2,NP_476881.1
P36872-2,NM_057533.3
P36872-2,NP_599111.1
P36872-2,NM_134284.3
P36872-2,NP_599112.1
P36872-2,NM_134285.2
P36872-2,NP_599113.1
P36872-2,NM_134286.3
P36872-1,NP_731451.1
P36872-1,NM_169329.2
P36872-2,NP_731452.1
P36872-2,NM_169330.2
P36872-2,NP_731453.1
P36872-2,NM_169331.2
Q9V785,NP_611010.4
Q9V785,NM_137166.5
Q9V8M5,NP_001188972.1
Q9V8M5,NM_001202043.2
Q9V8M5,NP_611373.1
Q9V8M5,NM_137529.4
Q9V8M5,NP_725824.1
Q9V8M5,NM_166306.3
Q9XZ56,NP_001285588.1
Q9XZ56,NM_001298659.1
Q9XZ56,NP_477295.1
Q9XZ56,NM_057947.4
Q8IH18-2,NP_001259078.1
Q8IH18-2,NM_001272149.2
Q8IH18-1,NP_726618.3
Q8IH18-1,NM_166796.2
Q8IH18-1,NP_726619.2
Q8IH18-1,NM_166797.2
Q8IH18-1,NP_726620.2
Q8IH18-1,NM_166798.2
P20905,NP_001263131.1
P20905,NM_001276202.1
P20905,NP_524599.1
P20905,NM_079860.3
P28285,NP_725849.1
P28285,NM_166322.2
P28286,NP_001137708.2
P28286,NM_001144236.2
P28286,NP_523789.3
P28286,NM_079065.6
Q9W197,NP_611895.1
Q9W197,NM_138051.4
P27091,NP_001286786.1
P27091,NM_001299857.1
P27091,NP_477340.1
