UniprotID,Protein_Accession
P38903,NP_014657.1
P38903,NM_001183433.1
P31383,NP_009386.1
P31383,NM_001178161.1
Q00362,NP_011325.1
Q00362,NM_001181055.1
P47177,NP_012683.4
P47177,NM_001181807.4
P47096,NP_012559.1
P47096,NM_001181683.1
P40433,NP_012159.1
P40433,NM_001179455.1
Q12471,NP_014505.1
Q12471,NM_001183390.1
P38720,NP_012053.3
P38720,NM_001179314.3
P53319,NP_011772.3
P53319,NM_001181385.3
P47182,NP_012689.1
P47182,NM_001181813.1
P42884,NP_014068.1
P42884,NM_001183169.1
Q08361,NP_014477.1
Q08361,NM_001183418.1
Q02895,NP_015237.1
Q02895,NM_001183902.1
P25612,NP_010032.1
P25612,NM_001178814.1
Q07747,NP_010038.1
Q07747,NM_001180303.1
P12904,NP_011400.1
P12904,NM_001180980.1
P37898,NP_011913.1
P37898,NM_001179177.1
P08521,NP_014946.1
P08521,NM_001183721.1
P32357,NP_009479.1
P32357,NM_001178314.1
P23542,NP_013127.2
P23542,NM_001181914.1
Q01802,NP_012816.1
Q01802,NM_001179672.1
Q08641-1,NP_014882.4
Q08641-1,NM_001183658.6
P14164,NP_012810.1
P14164,NM_001179678.1
Q02486,NP_013788.1
Q02486,NM_001182570.1
P47146,NP_012642.1
P47146,NM_001181766.1
P15891,NP_010012.1
P15891,NM_001178794.1
P39970,NP_010964.3
P39970,NM_001178936.3
P40535,NP_012228.1
P40535,NM_001179386.1
Q00955,NP_014413.1
Q00955,NM_001183193.1
P31787,NP_011551.3
P31787,NM_001181166.3
P21192,NP_013232.1
P21192,NM_001182018.1
P28240,NP_010987.3
P28240,NM_001178956.3
Q12031,NP_015331.1
Q12031,NM_001184103.1
P47129,NP_012616.1
P47129,NM_001181740.1
P32316,NP_009538.1
P32316,NM_001178255.1
Q07622,NP_010078.1
Q07622,NM_001180263.1
Q03771,NP_010445.1
Q03771,NM_001180468.1
Q08981,NP_015056.1
Q08981,NM_001184081.1
P21147,NP_011460.3
P21147,NM_001180920.3
P39533,NP_012335.1
P39533,NM_001181633.1
P19414,NP_013407.1
P19414,NM_001182192.1
P13711,NP_011310.1
P13711,NM_001181070.1
P32463,NP_012729.1
P32463,NM_001179758.1
Q01574,NP_009347.1
Q01574,NM_001178197.1
P52910,NP_013254.1
P52910,NM_001182040.1
P60010,NP_116614.1
P60010,NM_001179927.1
Q02336,NP_010736.3
Q02336,NM_001180756.3
P37254,NP_014431.1
P37254,NM_001183210.1
Q03233,NP_013909.1
Q03233,NM_001182690.1
