uid,db,ID
P31946,GeneCards,YWHAB
P62258,GeneCards,YWHAE
Q04917,GeneCards,YWHAH
P61981,GeneCards,YWHAG
P31947,GeneCards,SFN
P27348,GeneCards,YWHAQ
P63104,GeneCards,YWHAZ
Q96QU6,GeneCards,ACCS
Q4AC99,GeneCards,ACCSL
Q15172,GeneCards,PPP2R5A
Q15173,GeneCards,PPP2R5B
Q14738,GeneCards,PPP2R5D
Q16537,GeneCards,PPP2R5E
Q13362,GeneCards,PPP2R5C
P30153,GeneCards,PPP2R1A
P30154,GeneCards,PPP2R1B
P63151,GeneCards,PPP2R2A
Q00005,GeneCards,PPP2R2B
Q66LE6,GeneCards,PPP2R2D
Q9Y2T4,GeneCards,PPP2R2C
P14060,GeneCards,HSD3B1
P26439,GeneCards,HSD3B2
Q9H2F3,GeneCards,HSD3B7
Q9Y3L3,GeneCards,SH3BP1
P78314,GeneCards,SH3BP2
Q7L8J4,GeneCards,SH3BP5L
O60239,GeneCards,SH3BP5
P46952,GeneCards,HAAO
P31937,GeneCards,HIBADH
P29372,GeneCards,MPG
Q13541,GeneCards,EIF4EBP1
Q13542,GeneCards,EIF4EBP2
O60516,GeneCards,EIF4EBP3
Q9NRA8,GeneCards,EIF4ENIF1
P08195,GeneCards,SLC3A2
P08908,GeneCards,HTR1A
P28222,GeneCards,HTR1B
P28221,GeneCards,HTR1D
P28566,GeneCards,HTR1E
P30939,GeneCards,HTR1F
P28223,GeneCards,HTR2A
P41595,GeneCards,HTR2B
P28335,GeneCards,HTR2C
P46098,GeneCards,HTR3A
O95264,GeneCards,HTR3B
Q8WXA8,GeneCards,HTR3C
Q70Z44,GeneCards,HTR3D
A5X5Y0,GeneCards,HTR3E
Q13639,GeneCards,HTR4
P47898,GeneCards,HTR5A
P50406,GeneCards,HTR6
P34969,GeneCards,HTR7
Q9Y6E2,GeneCards,BZW2
Q7L1Q6,GeneCards,BZW1
Q9BXI3,GeneCards,NT5C1A
Q96P26,GeneCards,NT5C1B
Q9H0P0,GeneCards,NT5C3A
Q969T7,GeneCards,NT5C3B
P49902,GeneCards,NT5C2
P21589,GeneCards,NT5E
P52209,GeneCards,PGD
O95336,GeneCards,PGLS
P05408,GeneCards,SCG5
P36639,GeneCards,NUDT1
P0DKL9,GeneCards,ARL14EPL
Q8IZ83,GeneCards,ALDH16A1
Q676U5,GeneCards,ATG16L1
Q8NAA4,GeneCards,ATG16L2
P02763,GeneCards,ORM1
P19652,GeneCards,ORM2
P20848,GeneCards,SERPINA2
P01009,GeneCards,SERPINA1
P04217,GeneCards,A1BG
Q9NQ94,GeneCards,A1CF
Q8NF67,GeneCards,ANKRD20A12P
Q5TYW2,GeneCards,ANKRD20A1
Q5SQ80,GeneCards,ANKRD20A2P
Q5VUR7,GeneCards,ANKRD20A3P
Q4UJ75,GeneCards,ANKRD20A4P
A0PJZ0,GeneCards,ANKRD20A5P
Q96IX9,GeneCards,ANKRD36BP1
P08697,GeneCards,SERPINF2
P02750,GeneCards,LRG1
P01023,GeneCards,A2M
A8K2U0,GeneCards,A2ML1
A7E2S9,GeneCards,ANKRD30BL
