UniprotID,Protein_Accession
P31946-1,NP_003395.1
P31946-1,NM_003404.4
P31946-1,NP_647539.1
P31946-1,NM_139323.3
P31946-1,XP_016883528.1
P31946-1,XM_017028039.1
P62258-1,NP_006752.1
P62258-1,NM_006761.4
Q04917,NP_003396.1
Q04917,NM_003405.3
P61981,NP_036611.2
P61981,NM_012479.3
P31947-1,NP_006133.1
P31947-1,NM_006142.3
P27348,NP_006817.1
P27348,NM_006826.3
P63104-1,NP_001129171.1
P63104-1,NM_001135699.1
P63104-1,NP_001129172.1
P63104-1,NM_001135700.1
P63104-1,NP_001129173.1
P63104-1,NM_001135701.1
P63104-1,NP_001129174.1
P63104-1,NM_001135702.1
P63104-1,NP_003397.1
P63104-1,NM_003406.3
P63104-1,NP_663723.1
P63104-1,NM_145690.2
P63104-1,XP_005251118.1
P63104-1,XM_005251061.3
P63104-1,XP_005251120.1
P63104-1,XM_005251063.3
P63104-1,XP_016869299.1
P63104-1,XM_017013810.1
P63104-1,XP_016869300.1
P63104-1,XM_017013811.1
Q96QU6-1,NP_001120691.1
Q96QU6-1,NM_001127219.1
Q96QU6-1,NP_115981.1
Q96QU6-1,NM_032592.3
Q4AC99,NP_001027025.2
Q4AC99,NM_001031854.2
Q15172-2,NP_001186685.1
Q15172-2,NM_001199756.1
Q15172-1,NP_006234.1
Q15172-1,NM_006243.3
Q15173-1,NP_006235.1
Q15173-1,NM_006244.3
Q14738,NP_001257405.1
Q14738,NM_001270476.1
Q14738-1,NP_006236.1
Q14738-1,NM_006245.3
Q14738-2,NP_851307.1
Q14738-2,NM_180976.2
Q14738-3,NP_851308.1
Q14738-3,NM_180977.2
Q16537-1,NP_001269108.1
Q16537-1,NM_001282179.1
Q16537-2,NP_001269109.1
Q16537-2,NM_001282180.1
Q16537-3,NP_001269110.1
Q16537-3,NM_001282181.1
Q16537-3,NP_001269111.1
Q16537-3,NM_001282182.1
Q16537-1,NP_006237.1
Q16537-1,NM_006246.3
Q13362-5,NP_001155197.1
Q13362-5,NM_001161725.1
Q13362-4,NP_001155198.1
Q13362-4,NM_001161726.1
Q13362-1,NP_002710.2
Q13362-1,NM_002719.3
Q13362-3,NP_848701.1
Q13362-3,NM_178586.2
Q13362-2,NP_848702.1
Q13362-2,NM_178587.2
Q13362,XP_005267884.1
Q13362,XM_005267827.1
Q13362,XP_011535222.1
Q13362,XM_011536920.1
P30153,NP_055040.2
P30153,NM_014225.5
P30154-4,NP_001171033.1
P30154-4,NM_001177562.1
P30154-5,NP_001171034.1
P30154-5,NM_001177563.1
P30154-1,NP_002707.3
P30154-1,NM_002716.4
P30154-2,NP_859050.1
P30154-2,NM_181699.2
P30154-3,NP_859051.1
P30154-3,NM_181700.1
P63151-2,NP_001171062.1
P63151-2,NM_001177591.1
P63151-1,NP_002708.1
P63151-1,NM_002717.3
Q00005-3,NP_001258828.1
Q00005-3,NM_001271899.1
Q00005-4,NP_001258829.1
Q00005-4,NM_001271900.1
Q00005-6,NP_001258877.1
Q00005-6,NM_001271948.1
Q00005-5,NP_858060.2
