uidA,uidB,ConfidenceA,ConfidenceB,PPI_type
Q9UHD2,A0A024R7B7,89.88,79.77,1
Q9Y6K9,Q15653,82.83,77.34,1
A0A024R6W2,Q01201,90.96,69.8,1
Q99558,P62913,61.29,92.01,1
P04350,A0A0S2Z4Z8,92.24,75.22,1
Q04864,Q04864,66.88,66.88,1
Q6Q0C0,Q99759,80.41,67.2,1
A0A1U9X777,Q9NQ84,88.64,70.78,1
Q5TD97,O75558,90.31,79.88,1
O15479,Q13263,72.5,67.51,1
P25963,P04083,82.58,95.59,1
A0A024R854,A0A024R328,70.94,78.95,1
Q00653,Q00653,76.08,76.08,1
Q9Y6K9,O14980,82.83,91.62,1
Q9UBF1,Q13263,66.55,67.51,1
P46087,Q13233,63.42,59.63,1
P20333,A0A384P5G6,67.53,84.94,1
P23396,Q04206,91.34,73.46,1
Q15653,O14920,77.34,86.45,1
Q8IV04,P16298,81.7,85.85,1
Q8WTS6,Q96RI1,94.46,69.77,1
Q14164,K9JA46,88.66,84.41,1
Q9Y333,P31689,94.61,83.35,1
P42285,A0A024RCR3,85.02,67.61,1
Q9UHD2,P0DPH7,89.88,91.52,1
A0A0U2ZQU7,A0A0U2ZQU7,77.11,77.11,1
Q9Y6K9,Q9UBF6,82.83,83.71,1
Q9NYJ8,P17858,53.03,92.8,1
Q9Y6K9,Q9UNM6,82.83,72.14,1
Q16352,A0A024RBB7,76.17,77.14,1
Q15645,P20333,86.98,67.53,1
Q99558,Q9BQG0,61.29,75.1,1
O95167,O75800,96.84,88.78,1
Q9NYJ8,A0A384P5G6,53.03,84.94,1
A0A0S2Z3A9,A8MTZ0,77.52,82.21,1
P46783,Q01201,75.14,69.8,1
P25963,A0A0S2Z4T1,82.58,71.59,1
A0A024R1N1,Q99759,,,1
P49327,Q99759,85.91,67.2,1
Q00653,Q9NR30,76.08,70.33,1
P19438,Q9BUF5,71.68,92.16,1
A0A024R7I0,P22888,79.83,79.67,1
B2R491,Q99558,95.46,61.29,1
Q14164,P52732,88.66,74.77,1
P20333,A0A024R8H5,67.53,87.27,1
P63261,Q14164,95.34,88.66,1
P07910,P20333,71.56,67.53,1
Q9Y6K9,A0A024RD80,82.83,82.98,1
Q99558,P05455,61.29,74.62,1
Q15788,P19785,47.39,66.42,1
P04350,Q99759,92.24,67.2,1
Q9UQB8,A0A024RCR3,73.19,67.61,1
P07437,Q9UHD2,91.86,89.88,1
A0A024RBH9,Q15628,75.04,84.91,1
P53355,Q9Y572,82.81,67.62,1
O15111,P35580,84.64,75.49,1
Q15653,O15160,77.34,92.79,1
A0A024R1N1,A0A0S2Z4Z8,,,1
Q15653,Q8NI77,77.34,67.74,1
Q9NQH7,P20333,92.33,67.53,1
P49842,Q07864,70.6,80.3,1
P61513,Q13233,96.28,59.63,1
O14543,Q66K74,71.37,65.88,1
Q9Y4K3,P31689,86.19,83.35,1
Q9Y572,A0A140VJJ8,67.62,96.58,1
P51784,Q01201,79.69,69.8,1
P11021,Q99759,90.33,67.2,1
P11142,Q92844,89.18,60.39,1
A8K6K3,A0A140VKE7,77.07,83.28,1
Q08211,Q13233,81.38,59.63,1
P41279,Q04864,74.45,66.88,1
Q9Y6K9,Q9UHB6-3,82.83,,1
A0A384N5Z8,Q00653,64.85,76.08,1
A0A024RBI5,Q99759,88.33,67.2,1
P19838,P25963,74.5,82.58,1
P09038,Q9BZZ5,71.09,85.09,1
P31151,Q99759,95.74,67.2,1
Q9Y6K9,A0A024R4Q8,82.83,88.76,1
Q99558,K9JA46,61.29,84.41,1
Q5S007,A0A024R7B7,77.62,79.77,1
