uid,db,ID
P31946,Ensembl,ENSG00000166913.13
P62258,Ensembl,ENSG00000108953.17
P62258,Ensembl,ENSG00000274474.3
Q04917,Ensembl,ENSG00000128245.15
P61981,Ensembl,ENSG00000170027.7
P31947,Ensembl,ENSG00000175793.12
P27348,Ensembl,ENSG00000134308.14
P63104,Ensembl,ENSG00000164924.18
Q96QU6,Ensembl,ENSG00000110455.14
Q4AC99,Ensembl,ENSG00000205126.2
Q15172,Ensembl,ENSG00000066027.12
Q15173,Ensembl,ENSG00000068971.14
Q14738,Ensembl,ENSG00000112640.16
Q16537,Ensembl,ENSG00000154001.14
Q13362,Ensembl,ENSG00000078304.20
P30153,Ensembl,ENSG00000105568.19
P30154,Ensembl,ENSG00000137713.16
P63151,Ensembl,ENSG00000221914.11
Q00005,Ensembl,ENSG00000156475.19
Q66LE6,Ensembl,ENSG00000175470.20
Q9Y2T4,Ensembl,ENSG00000074211.14
P14060,Ensembl,ENSG00000203857.10
P26439,Ensembl,ENSG00000203859.10
Q9H2F3,Ensembl,ENSG00000099377.14
Q9Y3L3,Ensembl,ENSG00000100092.24
P78314,Ensembl,ENSG00000087266.17
Q7L8J4,Ensembl,ENSG00000175137.11
O60239,Ensembl,ENSG00000131370.16
P46952,Ensembl,ENSG00000162882.15
P31937,Ensembl,ENSG00000106049.9
P29372,Ensembl,ENSG00000103152.12
Q13541,Ensembl,ENSG00000187840.5
Q13542,Ensembl,ENSG00000148730.7
O60516,Ensembl,ENSG00000243056.2
Q9NRA8,Ensembl,ENSG00000184708.18
P08195,Ensembl,ENSG00000168003.19
P08908,Ensembl,ENSG00000178394.5
P28222,Ensembl,ENSG00000135312.7
P28221,Ensembl,ENSG00000179546.5
P28566,Ensembl,ENSG00000168830.8
P30939,Ensembl,ENSG00000179097.7
P28223,Ensembl,ENSG00000102468.11
P41595,Ensembl,ENSG00000135914.6
P28335,Ensembl,ENSG00000147246.10
P46098,Ensembl,ENSG00000166736.12
O95264,Ensembl,ENSG00000149305.8
Q8WXA8,Ensembl,ENSG00000178084.2
Q70Z44,Ensembl,ENSG00000186090.11
A5X5Y0,Ensembl,ENSG00000186038.9
Q13639,Ensembl,ENSG00000164270.18
P47898,Ensembl,ENSG00000157219.5
P50406,Ensembl,ENSG00000158748.4
P34969,Ensembl,ENSG00000148680.16
Q9Y6E2,Ensembl,ENSG00000136261.16
Q7L1Q6,Ensembl,ENSG00000082153.18
Q9BXI3,Ensembl,ENSG00000116981.4
Q96P26,Ensembl,ENSG00000185013.17
Q9H0P0,Ensembl,ENSG00000122643.23
Q969T7,Ensembl,ENSG00000141698.17
P49902,Ensembl,ENSG00000076685.19
P21589,Ensembl,ENSG00000135318.12
P52209,Ensembl,ENSG00000142657.21
O95336,Ensembl,ENSG00000130313.7
P05408,Ensembl,ENSG00000166922.9
P05408,Ensembl,ENSG00000277614.1
P05408,Ensembl,ENSG00000281931.1
P36639,Ensembl,ENSG00000106268.16
P0DKL9,Ensembl,ENSG00000268223.7
Q8IZ83,Ensembl,ENSG00000161618.10
Q676U5,Ensembl,ENSG00000085978.22
Q676U5,Ensembl,ENSG00000281089.3
Q8NAA4,Ensembl,ENSG00000168010.11
P02763,Ensembl,ENSG00000229314.6
P19652,Ensembl,ENSG00000228278.5
P20848,Ensembl,ENSG00000274821.5
P01009,Ensembl,ENSG00000197249.14
P04217,Ensembl,ENSG00000121410.12
Q9NQ94,Ensembl,ENSG00000148584.15
Q5TYW2,Ensembl,ENSG00000260691.8
P08697,Ensembl,ENSG00000167711.14
P08697,Ensembl,ENSG00000276838.4
P02750,Ensembl,ENSG00000171236.10
P01023,Ensembl,ENSG00000175899.15
A8K2U0,Ensembl,ENSG00000166535.20
A7E2S9,Ensembl,ENSG00000163046.16
U3KPV4,Ensembl,ENSG00000184389.9
Q9NPC4,Ensembl,ENSG00000128274.17
Q9UNA3,Ensembl,ENSG00000118017.4
P05067,Ensembl,ENSG00000142192.21
Q96GX2,Ensembl,ENSG00000253719.4
P30542,Ensembl,ENSG00000163485.17
P29274,Ensembl,ENSG00000128271.22
P29275,Ensembl,ENSG00000170425.4
P0DMS8,Ensembl,ENSG00000282608.2
Q9NS82,Ensembl,ENSG00000130876.11
P22760,Ensembl,ENSG00000114771.14
Q9NRG9,Ensembl,ENSG00000094914.14
Q15758,Ensembl,ENSG00000105281.12
Q86V21,Ensembl,ENSG00000081760.17
P01011,Ensembl,ENSG00000196136.18
Q8N5Z0,Ensembl,ENSG00000109576.14
Q6PD74,Ensembl,ENSG00000103591.13
Q2M2I8,Ensembl,ENSG00000115977.21
Q9Y478,Ensembl,ENSG00000111725.11
O43741,Ensembl,ENSG00000131791.8
P54619,Ensembl,ENSG00000181929.13
Q9UGJ0,Ensembl,ENSG00000106617.15
Q9UGI9,Ensembl,ENSG00000115592.12
Q9H7C9,Ensembl,ENSG00000087884.16
Q13685,Ensembl,ENSG00000127837.10
Q13131,Ensembl,ENSG00000132356.12
P54646,Ensembl,ENSG00000162409.12
Q9Y312,Ensembl,ENSG00000131043.13
Q4LEZ3,Ensembl,ENSG00000205002.4
Q9BTE6,Ensembl,ENSG00000108825.18
Q9BTE6,Ensembl,ENSG00000266967.7
Q9UDR5,Ensembl,ENSG00000008311.16
Q8NHS2,Ensembl,ENSG00000169154.7
P17174,Ensembl,ENSG00000120053.12
Q9NY61,Ensembl,ENSG00000275700.6
Q9NY61,Ensembl,ENSG00000276072.2
P00505,Ensembl,ENSG00000125166.13
Q7Z5M8,Ensembl,ENSG00000131969.15
Q96GS6,Ensembl,ENSG00000129968.17
Q5VST6,Ensembl,ENSG00000107362.14
Q6PCB6,Ensembl,ENSG00000136379.12
Q7Z5R6,Ensembl,ENSG00000077420.16
P31941,Ensembl,ENSG00000128383.13
P31941,Ensembl,ENSG00000262156.4
Q9UH17,Ensembl,ENSG00000179750.16
Q9NRW3,Ensembl,ENSG00000244509.4
Q96AK3,Ensembl,ENSG00000243811.12
Q8IUX4,Ensembl,ENSG00000128394.17
Q9HC16,Ensembl,ENSG00000239713.9
Q6NTF7,Ensembl,ENSG00000100298.16
O95477,Ensembl,ENSG00000165029.17
Q9BZC7,Ensembl,ENSG00000107331.18
Q99758,Ensembl,ENSG00000167972.14
P78363,Ensembl,ENSG00000198691.14
Q8WWZ7,Ensembl,ENSG00000154265.16
Q8N139,Ensembl,ENSG00000154262.13
Q8IZY2,Ensembl,ENSG00000064687.13
O94911,Ensembl,ENSG00000141338.15
Q8IUA7,Ensembl,ENSG00000154258.17
Q8WWZ4,Ensembl,ENSG00000154263.18
Q86UK0,Ensembl,ENSG00000144452.15
Q86UQ4,Ensembl,ENSG00000179869.15
Q2M3G0,Ensembl,ENSG00000004846.17
Q9NP58,Ensembl,ENSG00000115657.14
O75027,Ensembl,ENSG00000131269.19
Q9NP78,Ensembl,ENSG00000150967.19
Q9NRK6,Ensembl,ENSG00000135776.5
O95342,Ensembl,ENSG00000073734.10
Q09428,Ensembl,ENSG00000006071.16
O60706,Ensembl,ENSG00000069431.14
P33897,Ensembl,ENSG00000101986.12
Q9UBJ2,Ensembl,ENSG00000173208.4
P28288,Ensembl,ENSG00000117528.14
O14678,Ensembl,ENSG00000119688.21
P61221,Ensembl,ENSG00000164163.11
Q8NE71,Ensembl,ENSG00000204574.14
Q8NE71,Ensembl,ENSG00000206490.11
Q8NE71,Ensembl,ENSG00000236342.8
Q8NE71,Ensembl,ENSG00000232169.9
Q8NE71,Ensembl,ENSG00000225989.9
Q8NE71,Ensembl,ENSG00000231129.8
Q8NE71,Ensembl,ENSG00000236149.9
Q9UG63,Ensembl,ENSG00000033050.9
Q9NUQ8,Ensembl,ENSG00000161204.12
P45844,Ensembl,ENSG00000160179.19
Q9UNQ0,Ensembl,ENSG00000118777.12
Q9H172,Ensembl,ENSG00000172350.10
Q9H222,Ensembl,ENSG00000138075.14
