IDs	Initial Pvalue	Adjusted Pvalue	Fold Change	Standard Deviation of Fold Changes
A1AG1	0.5188191139914967	0.9544690458493156	-87.80652478131742	0
A1AT	0.500211922446955	0.9544690458493156	30.78	0
A1BG	0.10472119587732238	0.9544690458493156	-42.31	0
A2MG	0.4489071797276152	0.9544690458493156	67.63000000000001	0
A4	0.4873117649218004	0.9544690458493156	41.71696871177001	0
AACT	0.5988137547023192	0.9544690458493156	14.789999999999992	0
AEBP1	0.7972416196904974	0.9544690458493156	-13.138496253535365	0
AGRIN	0.22425791187414978	0.9544690458493156	24.30000000000001	0
AMBP	0.9912539515056712	0.9912539515056712	-0.3400000000000034	0
ANGI	0.7469816407344138	0.9544690458493156	24.710000000000008	0
ANT3	0.3041006579388002	0.9544690458493156	76.39000000000001	0
ANXA2	0.6753280501431486	0.9544690458493156	-15.25	0
ANXA5	0.14354317285420012	0.9544690458493156	84.16000000000001	0
APOA1	0.6396716031315827	0.9544690458493156	33.239999999999995	0
APOA2	0.8908711684235763	0.9677985201653533	7.689999999999998	0
APOA4	0.9081291252799596	0.9706860149388118	5.859999999999999	0
APOC1	0.49012211338011125	0.9544690458493156	-40.390000000000015	0
APOC3	0.5524803687359323	0.9544690458493156	-34.94915127420421	0
APOE	0.24876701562053236	0.9544690458493156	67.38999999999999	0
APOH	0.48725775399254845	0.9544690458493156	-25.39999999999999	0
ASPN	0.11212715256280394	0.9544690458493156	-74.51	0
B2MG	0.6127624464385159	0.9544690458493156	13.200000000000003	0
BCAM	0.5162045954905201	0.9544690458493156	-29.700000000000003	0
BGH3	0.43188546287808594	0.9544690458493156	-36.41999999999999	0
CAD13	0.24097364363923995	0.9544690458493156	49.769999999999996	0
CAN1	0.43394618893472303	0.9544690458493156	17.290000000000006	0
CATB	0.5507109563125183	0.9544690458493156	-16.38964630865381	0
CATD	0.9118565594879747	0.9706860149388118	-6.430000000000007	0
CATG	0.8885840308154382	0.9677985201653533	-5.809999999999988	0
CCL18	0.18957482177160703	0.9544690458493156	79.89569586075451	0
CD44	0.261136774119954	0.9544690458493156	53.634284128327124	0
CERU	0.7274457657079454	0.9544690458493156	23.409499052876896	0
CFAB	0.5272150744015498	0.9544690458493156	-40.409622920115694	0
CFAD	0.7774335102484994	0.9544690458493156	15.53813260369435	0
CFAH	0.9832750204958547	0.9912539515056712	-1.0400000000000063	0
CLUS	0.5176465662291474	0.9544690458493156	41.47	0
CMA1	0.7675617591200921	0.9544690458493156	-7.670000000000002	0
CNN2	0.7151386281611285	0.9544690458493156	-18.53	0
CO1A1	0.47581658544372063	0.9544690458493156	-29.75	0
CO1A2	0.2787472949802589	0.9544690458493156	-57.739999999999995	0
CO2A1	0.3332629785005926	0.9544690458493156	-55.81	0
CO3	0.6444458910739439	0.9544690458493156	25.63000000000001	0
CO3A1	0.2900973619014444	0.9544690458493156	-26.819999999999993	0
CO4A1	0.7551528807234038	0.9544690458493156	10.779999999999987	0
CO4A2	0.674864364770992	0.9544690458493156	15.569999999999993	0
CO5A1	0.2812924569697665	0.9544690458493156	-24.5	0
CO5A2	0.4956326711100275	0.9544690458493156	-22.590000000000003	0
CO5A3	0.7467043498574013	0.9544690458493156	-15.212615373033046	0
CO6	0.7246162966694565	0.9544690458493156	-9.960000000000008	0
CO6A1	0.7074196518852554	0.9544690458493156	-19.0	0
CO6A2	0.6147024106190344	0.9544690458493156	-30.72	0
CO6A3	0.829406281727653	0.9544690458493156	-12.040000000000006	0
CO8A1	0.7585413976381012	0.9544690458493156	-13.129999999999995	0
CO8A2	0.8580580311170615	0.9544690458493156	-7.6299999999999955	0
CO9	0.5277249123344833	0.9544690458493156	22.400000000000006	0
COCA1	0.5579788557665256	0.9544690458493156	-34.08000000000001	0
